Name,FastballPA,FastballH,Fastball1B,Fastball2B,Fastball3B,FastballHR,BreakingPA,BreakingH,Breaking1B,Breaking2B,Breaking3B,BreakingHR,OffspeedPA,OffspeedH,Offspeed1B,Offspeed2B,Offspeed3B,OffspeedHR,TotalPA,TotalH,Total1B,Total2B,Total3B,TotalHR,ZoneSwing,ZoneContact,ChaseSwing,ChaseContact,AVG,OBP,OPS
Austin Shenton,30,7,3,3,0,1,14,1,0,1,0,0,6,1,0,1,0,0,50,9,3,5,0,1,0.596,0.694,0.204,0.500,0.214,0.34,0.745
Cade Marlowe,4,2,2,0,0,0,28,5,5,0,0,0,20,2,1,0,1,0,52,9,8,0,1,0,0.800,0.833,0.316,0.500,0.25,0.33,0.75
Dominic Canzone,62,11,6,3,0,2,75,16,9,3,0,4,49,6,3,1,0,2,186,33,18,7,0,8,0.689,0.759,0.370,0.481,0.196,0.271,0.652
Dylan Moore,273,47,21,15,2,9,124,16,9,5,1,1,42,11,7,3,1,0,439,74,37,23,4,10,0.653,0.804,0.177,0.532,0.333,0.429,0.762
J.P. Crawford,277,50,34,9,1,6,124,23,13,6,1,3,50,6,5,1,0,0,451,79,52,16,2,9,0.620,0.837,0.182,0.630,0.202,0.304,0.625
Julio Rodriguez,324,94,71,10,0,13,202,47,37,5,0,5,86,14,10,2,0,2,612,155,118,17,0,20,0.746,0.787,0.374,0.532,0.273,0.325,0.734
Leo Rivas,51,10,9,0,1,0,25,6,5,1,0,0,10,1,1,0,0,0,86,17,15,1,1,0,0.566,0.811,0.149,0.423,0.233,0.333,0.607
Luke Raley,214,56,28,12,1,15,159,27,15,5,1,6,82,15,12,2,0,1,455,98,55,19,2,22,0.752,0.762,0.279,0.347,0.243,0.32,0.783
Mitch Garver,228,36,15,9,0,12,151,15,8,5,0,2,51,12,8,3,0,1,430,63,31,17,0,15,0.576,0.786,0.200,0.426,0.172,0.286,0.627
Mitch Haniger,246,48,29,9,0,10,134,25,22,2,0,1,43,6,4,1,0,1,423,79,55,12,0,12,0.634,0.766,0.241,0.435,0.208,0.286,0.62
Randy Arozarena,375,67,43,14,0,10,196,40,18,14,0,8,77,13,6,5,0,2,648,120,67,33,0,20,0.627,0.759,0.268,0.573,0.219,0.332,0.72
Ryan Bliss,36,6,4,0,1,1,23,7,3,3,0,1,12,1,1,0,0,0,71,14,8,3,1,2,0.779,0.697,0.210,0.360,0.222,0.29,0.687
Samad Taylor,3,1,1,0,0,0,2,1,1,0,0,0,13,2,2,0,0,0,18,4,4,0,0,0,0.693,0.726,0.304,0.531,0.4,0.4,0.8
Tyler Locklear,18,1,1,0,0,0,23,4,2,1,0,1,8,2,1,0,0,1,49,7,4,1,0,2,0.688,0.788,0.340,0.324,0.156,0.224,0.535
Cal Raleigh,328,64,38,8,0,18,140,26,14,3,0,9,156,30,18,5,0,7,624,120,70,16,0,34,0.744,0.765,0.327,0.531,0.22,0.312,0.748
Victor Robles,165,49,32,13,0,4,96,23,17,6,0,0,34,6,5,1,0,0,295,78,54,20,0,4,0.727,0.809,0.300,0.533,0.307,0.381,0.814
