Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Sam Aldegheri,1,128,222,0.577,0.423,0.568,0.000,0.000,0.000,0.135,0.086,0.000,0.000,0.000,0.000,0.212,0.000,0.000
Tyler Anderson,1,1863,2915,0.639,0.361,0.396,0.000,0.185,0.033,0.013,0.000,0.000,0.000,0.000,0.000,0.371,0.000,0.000
Caden Dana,1,122,206,0.592,0.408,0.524,0.000,0.044,0.000,0.267,0.073,0.000,0.000,0.000,0.000,0.092,0.000,0.000
Reid Detmers,1,1021,1559,0.655,0.345,0.468,0.000,0.000,0.000,0.244,0.146,0.000,0.001,0.000,0.000,0.141,0.000,0.000
Jack Kochanowicz,1,587,859,0.683,0.317,0.062,0.000,0.000,0.724,0.000,0.184,0.000,0.000,0.000,0.000,0.030,0.000,0.000
Chase Silseth,1,106,167,0.635,0.365,0.425,0.000,0.000,0.090,0.000,0.000,0.000,0.263,0.000,0.192,0.000,0.000,0.000
Jose Soriano,1,1089,1739,0.626,0.374,0.146,0.000,0.000,0.464,0.055,0.254,0.000,0.000,0.000,0.081,0.000,0.000,0.000
Brock Burke,2,219,305,0.718,0.282,0.525,0.000,0.000,0.047,0.259,0.000,0.000,0.000,0.000,0.000,0.169,0.000,0.000
Griffin Canning,2,1806,2872,0.629,0.371,0.376,0.000,0.000,0.010,0.240,0.107,0.000,0.000,0.000,0.000,0.267,0.000,0.000
Adam Cimber,2,254,416,0.611,0.389,0.315,0.000,0.000,0.358,0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jose Cisnero,2,190,313,0.607,0.393,0.319,0.000,0.000,0.252,0.291,0.000,0.000,0.000,0.000,0.000,0.131,0.000,0.000
Roansy Contreras,2,527,820,0.643,0.357,0.376,0.000,0.000,0.100,0.250,0.094,0.000,0.073,0.000,0.000,0.105,0.000,0.000
Hans Crouse,2,267,437,0.611,0.389,0.000,0.000,0.000,0.494,0.389,0.000,0.000,0.000,0.000,0.000,0.112,0.000,0.000
Johnny Cueto,2,108,169,0.639,0.361,0.090,0.000,0.054,0.359,0.204,0.000,0.000,0.000,0.000,0.000,0.287,0.000,0.000
Davis Daniel,2,347,508,0.683,0.317,0.480,0.000,0.000,0.000,0.238,0.077,0.000,0.000,0.000,0.000,0.205,0.000,0.000
Carson Fulmer,2,932,1474,0.632,0.368,0.234,0.000,0.000,0.237,0.161,0.056,0.000,0.043,0.000,0.000,0.270,0.000,0.000
Amir Garrett,2,60,104,0.577,0.423,0.346,0.000,0.000,0.019,0.635,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ben Joyce,2,350,541,0.647,0.353,0.457,0.000,0.000,0.353,0.152,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.000
Zac Kristofak,2,23,39,0.590,0.410,0.436,0.000,0.000,0.000,0.359,0.051,0.000,0.000,0.000,0.000,0.154,0.000,0.000
Jose Marte,2,185,311,0.595,0.405,0.241,0.000,0.000,0.283,0.386,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.000
Victor Mederos,2,60,108,0.556,0.444,0.327,0.000,0.000,0.187,0.224,0.159,0.000,0.000,0.000,0.000,0.103,0.000,0.000
Ryan Miller,2,142,220,0.645,0.355,0.000,0.000,0.000,0.425,0.406,0.000,0.000,0.169,0.000,0.000,0.000,0.000,0.000
Matt Moore,2,531,854,0.622,0.378,0.500,0.000,0.007,0.000,0.000,0.176,0.000,0.000,0.000,0.000,0.317,0.000,0.000
Zach Plesac,2,125,209,0.598,0.402,0.442,0.000,0.000,0.000,0.269,0.053,0.000,0.000,0.000,0.000,0.236,0.000,0.000
Jose Quijada,2,216,379,0.570,0.430,0.945,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000
Kenny Rosenberg,2,253,403,0.628,0.372,0.486,0.000,0.136,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.328,0.000,0.000
Patrick Sandoval,2,909,1447,0.628,0.372,0.160,0.000,0.000,0.174,0.247,0.090,0.000,0.046,0.000,0.000,0.283,0.000,0.000
Miguel Sano,2,3,3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Michael Stefanic,2,9,15,0.600,0.400,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hunter Strickland,2,738,1162,0.635,0.365,0.319,0.000,0.314,0.090,0.131,0.000,0.000,0.085,0.000,0.000,0.061,0.000,0.000
Jose Suarez,2,594,990,0.600,0.400,0.399,0.000,0.015,0.088,0.127,0.000,0.000,0.123,0.000,0.000,0.247,0.000,0.000
Andrew Wantz,2,21,35,0.600,0.400,0.200,0.000,0.229,0.286,0.000,0.000,0.000,0.286,0.000,0.000,0.000,0.000,0.000
Ryan Zeferjahn,2,135,208,0.649,0.351,0.356,0.000,0.476,0.000,0.000,0.000,0.000,0.163,0.000,0.000,0.000,0.000,0.000
Guillo Zuniga,2,162,271,0.598,0.402,0.325,0.000,0.000,0.347,0.218,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000
