Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Cristian Javier,1,337,571,0.590,0.410,0.393,0.000,0.000,0.000,0.295,0.044,0.000,0.000,0.000,0.000,0.268,0.000,0.000
Framber Valdez,1,1647,2605,0.632,0.367,0.012,0.000,0.000,0.458,0.043,0.313,0.000,0.000,0.000,0.000,0.175,0.000,0.000
Hunter Brown,1,1821,2890,0.630,0.370,0.348,0.000,0.168,0.181,0.053,0.125,0.000,0.000,0.000,0.000,0.126,0.000,0.000
J.P. France,1,269,466,0.577,0.423,0.294,0.000,0.238,0.000,0.000,0.193,0.000,0.030,0.000,0.000,0.227,0.000,0.000
Ronel Blanco,1,1759,2753,0.639,0.361,0.383,0.000,0.000,0.000,0.302,0.094,0.000,0.000,0.000,0.000,0.221,0.000,0.000
Spencer Arrighetti,1,1612,2509,0.642,0.358,0.410,0.000,0.196,0.000,0.000,0.199,0.000,0.108,0.000,0.000,0.086,0.000,0.000
Alex Speas,2,23,39,0.590,0.410,0.205,0.000,0.718,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000
Blair Henley,2,18,40,0.450,0.550,0.385,0.000,0.000,0.000,0.000,0.231,0.000,0.128,0.000,0.000,0.000,0.000,0.000
Bryan Abreu,2,840,1302,0.645,0.355,0.464,0.000,0.000,0.000,0.531,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bryan King,2,273,416,0.656,0.344,0.524,0.000,0.000,0.055,0.346,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Caleb Ferguson,2,225,352,0.639,0.361,0.433,0.000,0.265,0.098,0.000,0.000,0.000,0.000,0.202,0.000,0.000,0.000,0.000
Dylan Coleman,2,9,16,0.563,0.437,0.625,0.000,0.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Forrest Whitley,2,55,94,0.585,0.415,0.053,0.000,0.053,0.628,0.000,0.181,0.000,0.000,0.043,0.021,0.000,0.000,0.000
Hector Neris,2,155,222,0.698,0.302,0.463,0.000,0.000,0.098,0.035,0.000,0.000,0.000,0.000,0.404,0.000,0.000,0.000
Jake Bloss,2,157,239,0.657,0.343,0.437,0.000,0.000,0.017,0.231,0.130,0.000,0.105,0.000,0.000,0.080,0.000,0.000
Josh Hader,2,779,1168,0.667,0.333,0.000,0.000,0.000,0.715,0.274,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000
Justin Verlander,2,779,1168,0.667,0.333,0.487,0.000,0.000,0.000,0.193,0.219,0.000,0.000,0.000,0.000,0.101,0.000,0.000
Kaleb Ort,2,242,366,0.661,0.339,0.555,0.000,0.189,0.000,0.000,0.000,0.000,0.178,0.000,0.000,0.079,0.000,0.000
Luis Contreras,2,64,105,0.610,0.390,0.467,0.000,0.000,0.000,0.229,0.210,0.000,0.000,0.000,0.000,0.095,0.000,0.000
Miguel Diaz,2,7,10,0.700,0.390,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000
Nick Hernandez,2,93,141,0.660,0.340,0.374,0.000,0.000,0.000,0.583,0.000,0.000,0.000,0.000,0.000,0.043,0.000,0.000
Parker Mushinski,2,120,194,0.619,0.381,0.186,0.000,0.412,0.093,0.000,0.216,0.000,0.093,0.000,0.000,0.000,0.000,0.000
Rafael Montero,2,406,683,0.594,0.406,0.458,0.000,0.000,0.234,0.075,0.000,0.000,0.000,0.000,0.000,0.233,0.000,0.000
Ryan Pressly,2,631,969,0.651,0.348,0.333,0.000,0.000,0.018,0.289,0.249,0.000,0.000,0.000,0.000,0.111,0.000,0.000
Seth Martinez,2,530,839,0.632,0.368,0.326,0.000,0.000,0.210,0.000,0.000,0.000,0.319,0.000,0.000,0.146,0.000,0.000
Shawn Dubin,2,510,840,0.607,0.393,0.439,0.000,0.158,0.000,0.000,0.158,0.000,0.093,0.000,0.000,0.151,0.000,0.000
Tayler Scott,2,729,1204,0.605,0.394,0.485,0.000,0.000,0.057,0.221,0.000,0.000,0.000,0.000,0.237,0.000,0.000,0.000
Wander Suero,2,729,1204,0.605,0.394,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Yusei Kikuchi,2,636,971,0.655,0.345,0.470,0.000,0.000,0.000,0.236,0.183,0.000,0.000,0.000,0.000,0.111,0.000,0.000
