Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Joey Estes,1,1400,2027,0.691,0.309,0.517,0.000,0.007,0.034,0.136,0.000,0.000,0.195,0.000,0.000,0.111,0.000,0.000
JP Sears,1,1865,2858,0.653,0.347,0.363,0.000,0.000,0.106,0.098,0.000,0.000,0.240,0.000,0.000,0.192,0.000,0.000
Luis Medina,1,451,720,0.626,0.374,0.425,0.000,0.000,0.143,0.251,0.101,0.000,0.000,0.000,0.000,0.079,0.000,0.000
Mitch Spence,1,1600,2482,0.645,0.355,0.000,0.000,0.395,0.146,0.326,0.121,0.000,0.000,0.000,0.000,0.011,0.000,0.000
Aaron Brooks,2,261,403,0.648,0.352,0.280,0.000,0.000,0.243,0.325,0.017,0.000,0.000,0.000,0.000,0.134,0.000,0.000
Alex Wood,2,466,756,0.616,0.384,0.000,0.000,0.000,0.462,0.315,0.000,0.000,0.000,0.000,0.000,0.224,0.000,0.000
Austin Adams,2,481,805,0.598,0.402,0.239,0.000,0.000,0.024,0.738,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brady Basso,2,223,350,0.637,0.363,0.469,0.000,0.180,0.000,0.000,0.206,0.000,0.000,0.000,0.000,0.123,0.000,0.000
Brandon Bielak,2,122,200,0.610,0.390,0.229,0.000,0.000,0.241,0.151,0.100,0.000,0.000,0.000,0.000,0.278,0.000,0.000
Dany Jimenez,2,275,450,0.611,0.389,0.376,0.000,0.000,0.000,0.584,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000
Gerardo Reyes,2,48,79,0.608,0.392,0.532,0.000,0.076,0.076,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Grant Holman,2,172,292,0.589,0.411,0.531,0.000,0.000,0.000,0.134,0.000,0.000,0.000,0.000,0.000,0.336,0.000,0.000
Hogan Harris,2,766,1213,0.631,0.369,0.563,0.000,0.000,0.000,0.115,0.157,0.000,0.000,0.000,0.000,0.165,0.000,0.000
J.T. Ginn,2,320,516,0.620,0.380,0.035,0.000,0.000,0.511,0.309,0.000,0.000,0.000,0.000,0.000,0.146,0.000,0.000
Jack OLoughlin,2,109,176,0.619,0.381,0.506,0.000,0.000,0.000,0.222,0.159,0.000,0.000,0.000,0.000,0.097,0.000,0.000
Janson Junk,2,17,33,0.515,0.485,0.480,0.000,0.000,0.080,0.246,0.126,0.000,0.069,0.000,0.000,0.000,0.000,0.000
Joe Boyle,2,541,966,0.560,0.440,0.590,0.000,0.000,0.000,0.343,0.037,0.000,0.030,0.000,0.000,0.000,0.000,0.000
Kyle Muller,2,492,727,0.677,0.323,0.534,0.000,0.000,0.000,0.247,0.141,0.000,0.000,0.000,0.000,0.079,0.000,0.000
Mason Miller,2,694,1025,0.677,0.323,0.631,0.000,0.000,0.000,0.350,0.000,0.000,0.000,0.000,0.003,0.017,0.000,0.000
Michael Kelly,2,309,470,0.657,0.343,0.319,0.000,0.000,0.009,0.132,0.000,0.000,0.540,0.000,0.000,0.000,0.000,0.000
Michel Otanez,2,378,602,0.628,0.372,0.411,0.000,0.000,0.178,0.411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Osvaldo Bido,2,659,1056,0.624,0.376,0.393,0.000,0.143,0.099,0.211,0.000,0.000,0.000,0.000,0.000,0.152,0.000,0.000
Ross Stripling,2,897,1359,0.660,0.340,0.303,0.000,0.159,0.142,0.134,0.086,0.000,0.000,0.000,0.000,0.176,0.000,0.000
Scott Alexander,2,366,568,0.644,0.356,0.000,0.000,0.000,0.645,0.226,0.000,0.000,0.000,0.000,0.000,0.129,0.000,0.000
Sean Newcomb,2,103,185,0.557,0.443,0.473,0.000,0.000,0.120,0.000,0.163,0.000,0.000,0.207,0.000,0.038,0.000,0.000
T.J. McFarland,2,559,837,0.668,0.332,0.006,0.000,0.000,0.486,0.000,0.000,0.000,0.384,0.000,0.000,0.123,0.000,0.000
Tyler Ferguson,2,536,819,0.654,0.346,0.386,0.000,0.126,0.219,0.000,0.000,0.000,0.245,0.000,0.000,0.024,0.000,0.000
Will Klein,2,21,45,0.467,0.533,0.568,0.000,0.000,0.000,0.137,0.295,0.000,0.000,0.000,0.000,0.000,0.000,0.000
