Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Alek Manoah,1,143,251,394,0.637,0.363,0.277,0.000,0.000,0.272,0.305,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000
Chris Bassitt,1,1086,1882,2968,0.634,0.366,0.045,0.000,0.197,0.407,0.044,0.137,0.000,0.074,0.000,0.043,0.053,0.000,0.000
José Berríos,1,1005,1911,2916,0.655,0.345,0.183,0.000,0.035,0.337,0.000,0.000,0.000,0.000,0.286,0.000,0.160,0.000,0.000
Kevin Gausman,1,1032,1927,2959,0.651,0.349,0.511,0.000,0.000,0.053,0.081,0.000,0.000,0.000,0.000,0.324,0.000,0.000,0.000
Yariel Rodríguez,1,572,930,1502,0.619,0.381,0.409,0.000,0.000,0.108,0.282,0.105,0.000,0.000,0.000,0.096,0.000,0.000,0.000
Yerry Rodríguez,1,31,65,96,0.677,0.323,0.580,0.000,0.000,0.000,0.308,0.000,0.000,0.000,0.000,0.000,0.112,0.000,0.000
Bowden Francis,2,509,1052,1561,0.674,0.326,0.513,0.000,0.000,0.029,0.092,0.182,0.000,0.000,0.000,0.184,0.000,0.000,0.000
Brandon Eisert,2,45,65,110,0.591,0.409,0.364,0.000,0.000,0.000,0.409,0.000,0.000,0.000,0.000,0.000,0.227,0.000,0.000
Brendon Little,2,271,426,697,0.611,0.389,0.000,0.000,0.112,0.570,0.000,0.318,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chad Green,2,281,559,840,0.665,0.335,0.600,0.000,0.000,0.000,0.393,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dillon Tate,2,26,36,62,0.581,0.419,0.000,0.000,0.000,0.541,0.000,0.000,0.000,0.334,0.000,0.000,0.125,0.000,0.000
Easton Lucas,2,30,53,83,0.639,0.361,0.537,0.000,0.211,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.000
Erik Swanson,2,241,426,667,0.639,0.361,0.498,0.000,0.000,0.000,0.192,0.000,0.000,0.000,0.000,0.309,0.000,0.000,0.000
Ernie Clement,2,5,11,16,0.689,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Génesis Cabrera,2,386,645,1031,0.626,0.374,0.184,0.000,0.393,0.225,0.000,0.120,0.000,0.000,0.000,0.000,0.077,0.000,0.000
Jordan Romano,2,75,140,215,0.651,0.349,0.479,0.000,0.000,0.000,0.521,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jose Cuas,2,30,32,62,0.516,0.484,0.335,0.000,0.000,0.398,0.000,0.000,0.000,0.232,0.000,0.000,0.034,0.000,0.000
Luis Frías,2,36,53,89,0.596,0.404,0.284,0.000,0.463,0.096,0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nick Robertson,2,5,7,12,0.583,0.417,0.447,0.000,0.000,0.000,0.166,0.000,0.000,0.143,0.000,0.000,0.230,0.000,0.000
Paolo Espino,2,61,97,158,0.614,0.386,0.329,0.000,0.000,0.000,0.000,0.316,0.000,0.120,0.000,0.000,0.234,0.000,0.000
Ryan Burr,2,194,376,570,0.659,0.341,0.395,0.000,0.000,0.000,0.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ryan Yarbrough,2,160,296,456,0.649,0.351,0.215,0.000,0.099,0.256,0.000,0.275,0.000,0.000,0.000,0.000,0.155,0.000,0.000
Tommy Nance,2,108,214,322,0.665,0.335,0.000,0.000,0.000,0.363,0.258,0.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Zach Pop,2,270,474,744,0.637,0.363,0.000,0.000,0.124,0.730,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
