Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Chris Sale,1,925,1893,2818,0.672,0.328,0.378,0.000,0.000,0.072,0.403,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000
Reynaldo López,1,737,1380,2117,0.652,0.348,0.552,0.000,0.000,0.000,0.294,0.116,0.000,0.000,0.000,0.000,0.038,0.000,0.000
Spencer Schwellenbach,1,580,1307,1887,0.693,0.307,0.291,0.000,0.168,0.068,0.199,0.146,0.000,0.000,0.000,0.128,0.000,0.000,0.000
Spencer Strider,1,63,115,178,0.646,0.354,0.511,0.000,0.000,0.000,0.320,0.124,0.000,0.000,0.000,0.000,0.045,0.000,0.000
A.J. Minter,2,168,354,522,0.678,0.322,0.477,0.000,0.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.178,0.000,0.000
Aaron Bummer,2,353,622,975,0.638,0.362,0.100,0.000,0.050,0.398,0.000,0.023,0.000,0.418,0.000,0.000,0.011,0.000,0.000
AJ Smith-Shawver,2,32,55,87,0.632,0.368,0.540,0.000,0.000,0.000,0.000,0.207,0.000,0.000,0.000,0.000,0.253,0.000,0.000
Allan Winans,2,50,97,147,0.660,0.340,0.156,0.000,0.000,0.231,0.197,0.000,0.000,0.000,0.000,0.000,0.415,0.000,0.000
Bryce Elder,2,328,536,864,0.620,0.380,0.127,0.000,0.000,0.426,0.315,0.000,0.000,0.000,0.000,0.000,0.132,0.000,0.000
Charlie Morton,2,1031,1764,2795,0.631,0.369,0.289,0.000,0.078,0.099,0.000,0.424,0.000,0.000,0.000,0.000,0.110,0.000,0.000
Darius Vines,2,92,165,257,0.642,0.358,0.377,0.000,0.125,0.000,0.132,0.054,0.000,0.000,0.000,0.000,0.311,0.000,0.000
Daysbel Hernández,2,122,208,330,0.630,0.370,0.409,0.000,0.000,0.048,0.542,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dylan Dodd,2,12,22,34,0.647,0.353,0.000,0.000,0.206,0.000,0.235,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000
Dylan Lee,2,252,611,863,0.708,0.292,0.332,0.000,0.000,0.000,0.547,0.000,0.000,0.000,0.000,0.000,0.121,0.000,0.000
Grant Holmes,2,332,692,1024,0.676,0.324,0.373,0.000,0.082,0.000,0.318,0.215,0.000,0.000,0.000,0.000,0.012,0.000,0.000
Hurston Waldrep,2,53,80,133,0.602,0.398,0.398,0.000,0.000,0.000,0.226,0.038,0.000,0.000,0.000,0.338,0.000,0.000,0.000
Jackson Stephens,2,15,36,51,0.706,0.294,0.275,0.000,0.098,0.255,0.000,0.235,0.000,0.000,0.000,0.000,0.098,0.000,0.000
Jesse Chavez,2,379,666,1045,0.637,0.363,0.000,0.000,0.511,0.269,0.016,0.070,0.000,0.000,0.000,0.000,0.134,0.000,0.000
Jimmy Herget,2,59,130,189,0.688,0.312,0.175,0.000,0.000,0.259,0.101,0.402,0.000,0.000,0.000,0.000,0.063,0.000,0.000
Joe Jiménez,2,350,739,1089,0.679,0.321,0.462,0.000,0.000,0.000,0.496,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000
John Brebbia,2,36,73,109,0.670,0.330,0.479,0.000,0.000,0.000,0.518,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Luke Jackson,2,134,209,343,0.609,0.391,0.317,0.000,0.009,0.000,0.519,0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Max Fried,2,1009,1757,2766,0.635,0.365,0.336,0.000,0.047,0.156,0.056,0.210,0.000,0.059,0.000,0.000,0.136,0.000,0.000
Parker Dunshee,2,22,29,51,0.569,0.431,0.000,0.000,0.000,0.392,0.529,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pierce Johnson,2,328,589,917,0.642,0.358,0.241,0.000,0.043,0.000,0.000,0.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Raisel Iglesias,2,291,637,928,0.686,0.314,0.284,0.000,0.000,0.202,0.207,0.000,0.000,0.000,0.000,0.000,0.307,0.000,0.000
Ray Kerr,2,137,246,383,0.642,0.358,0.446,0.000,0.000,0.000,0.000,0.470,0.000,0.000,0.000,0.044,0.000,0.000,0.000
Tyler Matzek,2,57,122,179,0.682,0.318,0.670,0.000,0.000,0.000,0.324,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
