Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Aaron Civale,1,439,801,1240,0.646,0.354,0.099,0.000,0.322,0.240,0.014,0.156,0.000,0.149,0.000,0.020,0.000,0.000,0.000
Freddy Peralta,1,1204,1866,3070,0.608,0.392,0.539,0.000,0.000,0.000,0.216,0.071,0.000,0.000,0.000,0.000,0.175,0.000,0.000
Robert Gasser,1,116,283,399,0.709,0.291,0.198,0.000,0.093,0.246,0.000,0.000,0.000,0.321,0.000,0.000,0.143,0.000,0.000
Tobias Myers,1,734,1419,2153,0.659,0.341,0.401,0.000,0.230,0.005,0.210,0.041,0.000,0.000,0.000,0.000,0.114,0.000,0.000
Aaron Ashby,2,167,317,484,0.655,0.345,0.014,0.000,0.000,0.455,0.136,0.192,0.000,0.000,0.000,0.000,0.202,0.000,0.000
Abner Uribe,2,111,147,258,0.570,0.430,0.000,0.000,0.000,0.647,0.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bryan Hudson,2,310,619,929,0.666,0.334,0.521,0.000,0.246,0.000,0.000,0.000,0.000,0.233,0.000,0.000,0.000,0.000,0.000
Bryse Wilson,2,568,1075,1643,0.654,0.346,0.150,0.000,0.349,0.320,0.000,0.139,0.000,0.000,0.000,0.000,0.042,0.000,0.000
Carlos Rodriguez,2,88,145,233,0.622,0.378,0.185,0.000,0.180,0.215,0.155,0.107,0.000,0.000,0.000,0.000,0.159,0.000,0.000
Colin Rea,2,927,1725,2652,0.650,0.350,0.193,0.000,0.194,0.311,0.000,0.042,0.000,0.172,0.000,0.088,0.000,0.000,0.000
Dallas Keuchel,2,140,168,308,0.545,0.455,0.000,0.000,0.146,0.568,0.000,0.000,0.000,0.000,0.000,0.000,0.276,0.000,0.000
Devin Williams,2,149,242,391,0.619,0.381,0.535,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.000
DL Hall,2,298,485,783,0.619,0.381,0.453,0.000,0.000,0.000,0.143,0.199,0.000,0.000,0.000,0.000,0.205,0.000,0.000
Elieser Hernandez,2,37,55,92,0.598,0.402,0.434,0.000,0.283,0.068,0.032,0.000,0.000,0.000,0.000,0.000,0.183,0.000,0.000
Elvis Peguero,2,295,535,830,0.645,0.355,0.000,0.000,0.000,0.493,0.505,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Frankie Montas,2,379,643,1022,0.629,0.371,0.332,0.000,0.187,0.191,0.107,0.000,0.000,0.000,0.000,0.183,0.000,0.000,0.000
Hoby Milner,2,368,677,1045,0.648,0.352,0.214,0.000,0.000,0.320,0.000,0.000,0.000,0.329,0.000,0.000,0.137,0.000,0.000
J.B. Bukauskas,2,33,55,88,0.625,0.375,0.000,0.000,0.000,0.489,0.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
James Meeker,2,8,8,16,0.500,0.500,0.500,0.000,0.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jared Koenig,2,345,674,1019,0.661,0.339,0.006,0.000,0.252,0.572,0.000,0.131,0.000,0.000,0.000,0.000,0.039,0.000,0.000
Joe Ross,2,414,784,1198,0.654,0.346,0.160,0.000,0.000,0.366,0.373,0.017,0.000,0.000,0.000,0.000,0.084,0.000,0.000
Joel Payamps,2,316,584,900,0.649,0.351,0.329,0.000,0.000,0.191,0.403,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000
Kevin Herget,2,46,105,151,0.695,0.305,0.470,0.000,0.159,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.351,0.000,0.000
Mitch White,2,41,89,130,0.685,0.315,0.387,0.000,0.000,0.138,0.114,0.136,0.000,0.225,0.000,0.000,0.000,0.000,0.000
Nick Mears,2,56,142,198,0.717,0.283,0.602,0.000,0.000,0.000,0.226,0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rob Zastryzny,2,39,82,121,0.678,0.322,0.403,0.000,0.487,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.042,0.000,0.000
Trevor Megill,2,216,452,668,0.677,0.323,0.713,0.000,0.000,0.000,0.000,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tyler Jay,2,22,42,64,0.656,0.344,0.078,0.000,0.222,0.523,0.000,0.000,0.000,0.176,0.000,0.000,0.000,0.000,0.000
Wade Miley,2,47,71,118,0.602,0.398,0.212,0.000,0.381,0.153,0.000,0.025,0.000,0.000,0.000,0.000,0.203,0.000,0.000
