Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Andre Pallante,1,754,1227,1981,0.619,0.381,0.500,0.000,0.000,0.186,0.168,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Erick Fedde,1,355,565,920,0.614,0.386,0.003,0.000,0.323,0.308,0.000,0.000,0.000,0.202,0.000,0.000,0.164,0.000,0.000
Michael McGreevy,1,107,204,311,0.656,0.344,0.196,0.000,0.109,0.350,0.190,0.061,0.000,0.000,0.000,0.000,0.093,0.000,0.000
Miles Mikolas,1,844,1861,2705,0.688,0.312,0.278,0.000,0.000,0.231,0.242,0.121,0.000,0.041,0.000,0.000,0.085,0.000,0.000
Sonny Gray,1,835,1651,2486,0.664,0.336,0.239,0.000,0.178,0.178,0.000,0.139,0.000,0.201,0.000,0.000,0.064,0.000,0.000
Adam Kloffenstein,2,5,10,15,0.667,0.333,0.000,0.000,0.000,0.667,0.000,0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Andrew Kittredge,2,318,712,1030,0.691,0.309,0.124,0.000,0.006,0.375,0.494,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brandon Crawford,2,21,14,35,0.400,0.600,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.457,0.000,0.000
Chris Roycroft,2,212,384,596,0.644,0.356,0.324,0.000,0.000,0.466,0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Giovanny Gallegos,2,154,247,401,0.616,0.384,0.441,0.000,0.000,0.000,0.491,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000
Gordon Graceffo,2,35,70,105,0.667,0.333,0.410,0.000,0.000,0.000,0.190,0.152,0.000,0.000,0.000,0.000,0.248,0.000,0.000
John King,2,278,580,858,0.676,0.324,0.015,0.000,0.000,0.588,0.120,0.000,0.000,0.000,0.000,0.000,0.277,0.000,0.000
JoJo Romero,2,343,578,921,0.628,0.372,0.099,0.000,0.000,0.391,0.339,0.000,0.000,0.000,0.000,0.000,0.171,0.000,0.000
Kyle Gibson,2,1113,1651,2764,0.597,0.403,0.132,0.000,0.211,0.264,0.000,0.086,0.000,0.207,0.000,0.000,0.099,0.000,0.000
Kyle Leahy,2,239,456,695,0.656,0.344,0.443,0.000,0.000,0.000,0.255,0.063,0.000,0.147,0.000,0.000,0.092,0.000,0.000
Lance Lynn,2,766,1274,2040,0.625,0.375,0.472,0.000,0.223,0.167,0.000,0.062,0.000,0.013,0.000,0.000,0.063,0.000,0.000
Matthew Liberatore,2,453,905,1358,0.666,0.334,0.283,0.000,0.128,0.204,0.275,0.065,0.000,0.000,0.000,0.000,0.044,0.000,0.000
Riley OBrien,2,86,108,194,0.557,0.443,0.021,0.000,0.000,0.459,0.258,0.247,0.000,0.015,0.000,0.000,0.000,0.000,0.000
Ryan Fernandez,2,468,725,1193,0.608,0.392,0.402,0.000,0.103,0.013,0.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ryan Helsley,2,288,647,935,0.692,0.308,0.454,0.000,0.000,0.000,0.483,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ryan Loutos,2,16,19,35,0.543,0.457,0.000,0.000,0.000,0.543,0.000,0.000,0.000,0.429,0.000,0.000,0.000,0.000,0.000
Steven Matz,2,266,488,754,0.647,0.353,0.000,0.000,0.000,0.598,0.069,0.076,0.000,0.000,0.000,0.000,0.257,0.000,0.000
Zack Thompson,2,112,205,317,0.647,0.353,0.360,0.000,0.000,0.000,0.278,0.142,0.000,0.000,0.000,0.221,0.000,0.000,0.000
