Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Jameson Taillon,1,833,1650,2483,0.665,0.335,0.296,0.000,0.251,0.109,0.000,0.147,0.000,0.155,0.000,0.000,0.043,0.000,0.000
Javier Assad,1,982,1556,2538,0.613,0.387,0.158,0.000,0.216,0.357,0.017,0.116,0.000,0.090,0.000,0.000,0.046,0.000,0.000
Jordan Wicks,1,318,534,852,0.627,0.373,0.448,0.000,0.014,0.131,0.087,0.061,0.000,0.000,0.000,0.000,0.258,0.000,0.000
Justin Steele,1,642,1405,2047,0.686,0.314,0.595,0.000,0.000,0.053,0.297,0.022,0.000,0.000,0.000,0.000,0.033,0.000,0.000
Shota Imanaga,1,816,1778,2594,0.685,0.315,0.520,0.000,0.005,0.021,0.000,0.033,0.000,0.077,0.000,0.306,0.039,0.000,0.000
Adbert Alzolay,2,123,206,329,0.626,0.374,0.204,0.000,0.076,0.237,0.474,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000
Ben Brown,2,294,555,849,0.654,0.346,0.627,0.000,0.000,0.000,0.000,0.357,0.000,0.000,0.000,0.000,0.016,0.000,0.000
Caleb Kilian,2,62,105,167,0.629,0.371,0.455,0.000,0.383,0.024,0.000,0.048,0.000,0.078,0.000,0.000,0.012,0.000,0.000
Colten Brewer,2,148,244,392,0.622,0.378,0.404,0.000,0.018,0.020,0.269,0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Daniel Palencia,2,106,158,264,0.598,0.402,0.567,0.000,0.000,0.080,0.243,0.000,0.000,0.000,0.000,0.099,0.000,0.000,0.000
Drew Smyly,2,371,646,1017,0.635,0.365,0.000,0.000,0.033,0.480,0.000,0.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Enoli Paredes,2,1,8,9,0.889,0.111,0.404,0.000,0.000,0.219,0.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ethan Roberts,2,174,300,474,0.633,0.367,0.000,0.000,0.321,0.086,0.000,0.000,0.000,0.593,0.000,0.000,0.000,0.000,0.000
Gavin Hollowell,2,10,19,29,0.655,0.345,0.483,0.000,0.000,0.103,0.000,0.000,0.000,0.414,0.000,0.000,0.000,0.000,0.000
Hayden Wesneski,2,386,691,1077,0.642,0.358,0.365,0.000,0.088,0.112,0.000,0.000,0.000,0.406,0.000,0.000,0.030,0.000,0.000
Jack Neely,2,37,61,98,0.622,0.378,0.531,0.000,0.000,0.000,0.469,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jorge López,2,114,256,370,0.692,0.308,0.200,0.000,0.000,0.362,0.188,0.132,0.000,0.000,0.000,0.000,0.118,0.000,0.000
Julian Merryweather,2,104,169,273,0.619,0.381,0.438,0.000,0.000,0.000,0.430,0.000,0.000,0.000,0.000,0.000,0.121,0.000,0.000
Keegan Thompson,2,210,328,538,0.610,0.390,0.361,0.000,0.305,0.017,0.000,0.154,0.000,0.141,0.000,0.000,0.022,0.000,0.000
Kyle Hendricks,2,754,1381,2135,0.647,0.353,0.127,0.000,0.000,0.355,0.000,0.131,0.000,0.000,0.000,0.000,0.387,0.000,0.000
Luke Little,2,180,259,439,0.590,0.410,0.724,0.000,0.000,0.000,0.000,0.000,0.000,0.263,0.000,0.014,0.000,0.000,0.000
Nate Pearson,2,109,233,342,0.681,0.319,0.460,0.000,0.000,0.017,0.407,0.115,0.000,0.000,0.000,0.001,0.000,0.000,0.000
Porter Hodge,2,243,400,643,0.622,0.378,0.612,0.000,0.000,0.000,0.000,0.000,0.000,0.375,0.000,0.012,0.000,0.000,0.000
Shawn Armstrong,2,46,79,125,0.632,0.368,0.332,0.000,0.315,0.271,0.030,0.000,0.000,0.052,0.000,0.000,0.000,0.000,0.000
Trey Wingenter,2,42,78,120,0.650,0.350,0.497,0.000,0.000,0.000,0.453,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000
Tyson Miller,2,266,509,775,0.657,0.343,0.473,0.000,0.000,0.034,0.000,0.032,0.000,0.438,0.000,0.000,0.022,0.000,0.000
Yency Almonte,2,115,153,268,0.571,0.429,0.112,0.000,0.131,0.375,0.000,0.000,0.000,0.356,0.000,0.000,0.000,0.000,0.000
