Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Brandon Hughes,1,212,351,0.604,0.396,0.371,0.000,0.000,0.226,0.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Eduardo Rodriguez,1,551,870,0.633,0.367,0.440,0.000,0.193,0.076,0.066,0.000,0.000,0.000,0.000,0.000,0.225,0.000,0.000
Merrill Kelly,1,742,1143,0.649,0.351,0.196,0.000,0.252,0.146,0.118,0.078,0.000,0.000,0.000,0.000,0.209,0.000,0.000
Zac Gallen,1,1554,2507,0.620,0.380,0.463,0.000,0.031,0.000,0.087,0.277,0.000,0.000,0.000,0.000,0.140,0.000,0.000
A.J. Puk,2,295,417,0.707,0.293,0.429,0.000,0.000,0.151,0.216,0.000,0.000,0.165,0.000,0.026,0.014,0.000,0.000
Andrew Saalfrank,2,11,26,0.423,0.577,0.000,0.000,0.000,0.731,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Blake Walston,2,208,343,0.606,0.394,0.327,0.000,0.178,0.038,0.000,0.131,0.000,0.163,0.000,0.000,0.163,0.000,0.000
Brandon Pfaadt,2,1869,2797,0.668,0.332,0.334,0.000,0.000,0.222,0.000,0.053,0.000,0.273,0.000,0.006,0.112,0.000,0.000
Bryce Jarvis,2,634,1008,0.629,0.371,0.344,0.000,0.127,0.149,0.237,0.007,0.000,0.000,0.000,0.000,0.136,0.000,0.000
Cristian Mena,2,40,70,0.571,0.429,0.386,0.000,0.000,0.000,0.000,0.314,0.000,0.100,0.000,0.000,0.114,0.000,0.000
Dylan Floro,2,170,272,0.625,0.375,0.158,0.000,0.000,0.477,0.269,0.000,0.000,0.000,0.000,0.000,0.095,0.000,0.000
Humberto Castellanos,2,117,186,0.629,0.371,0.145,0.000,0.269,0.317,0.000,0.145,0.000,0.000,0.000,0.000,0.124,0.000,0.000
Joe Jacques,2,10,17,0.588,0.412,0.000,0.000,0.000,0.640,0.100,0.000,0.000,0.260,0.000,0.000,0.000,0.000,0.000
Joe Mantiply,2,588,869,0.677,0.323,0.044,0.000,0.000,0.427,0.000,0.265,0.000,0.000,0.000,0.000,0.264,0.000,0.000
Jordan Montgomery,2,1216,1935,0.628,0.372,0.173,0.000,0.000,0.308,0.018,0.307,0.000,0.000,0.000,0.000,0.193,0.000,0.000
Justin Martinez,2,743,1178,0.631,0.369,0.114,0.000,0.000,0.452,0.216,0.000,0.000,0.000,0.000,0.218,0.000,0.000,0.000
Kevin Ginkel,2,760,1185,0.641,0.359,0.519,0.000,0.000,0.097,0.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kyle Nelson,2,100,145,0.690,0.310,0.276,0.000,0.214,0.000,0.510,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Logan Allen,2,301,470,0.640,0.360,0.187,0.000,0.221,0.164,0.000,0.013,0.000,0.209,0.000,0.206,0.000,0.000,0.000
Miguel Castro,2,148,233,0.635,0.365,0.000,0.000,0.000,0.457,0.388,0.000,0.000,0.000,0.000,0.000,0.155,0.000,0.000
Paul Sewald,2,440,629,0.700,0.300,0.598,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.000,0.000,0.000,0.000,0.000
Ryan Thompson,2,660,980,0.673,0.327,0.102,0.000,0.000,0.641,0.257,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ryne Nelson,2,1633,2407,0.678,0.322,0.557,0.000,0.184,0.000,0.085,0.057,0.000,0.018,0.000,0.000,0.099,0.000,0.000
Scott McGough,2,359,578,0.621,0.379,0.501,0.000,0.000,0.040,0.139,0.000,0.000,0.000,0.000,0.321,0.000,0.000,0.000
Slade Cecconi,2,857,1294,0.662,0.338,0.548,0.000,0.000,0.000,0.240,0.089,0.000,0.000,0.000,0.000,0.122,0.000,0.000
Thyago Vieira,2,178,278,0.640,0.360,0.227,0.000,0.000,0.404,0.361,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000
Tommy Henry,2,448,706,0.635,0.365,0.323,0.000,0.000,0.190,0.072,0.238,0.000,0.000,0.000,0.000,0.177,0.000,0.000
Yilber Diaz,2,290,469,0.618,0.382,0.580,0.000,0.000,0.000,0.273,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000
