Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Landon Knack,1,724,1149,0.630,0.370,0.463,0.000,0.000,0.000,0.223,0.162,0.000,0.007,0.000,0.000,0.145,0.000,0.000
Tyler Glasnow,1,1309,2012,0.651,0.349,0.450,0.000,0.000,0.087,0.277,0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Yoshinobu Yamamoto,1,981,1474,0.666,0.334,0.404,0.000,0.061,0.029,0.033,0.231,0.000,0.000,0.000,0.242,0.000,0.000,0.000
Alex Vesia,2,696,1112,0.626,0.374,0.632,0.000,0.000,0.000,0.317,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000
Anthony Banda,2,510,774,0.659,0.341,0.351,0.000,0.000,0.242,0.283,0.000,0.000,0.000,0.000,0.000,0.124,0.000,0.000
Ben Casparius,2,103,156,0.660,0.340,0.487,0.000,0.038,0.000,0.359,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Blake Treinen,2,490,737,0.665,0.335,0.111,0.000,0.161,0.342,0.000,0.000,0.000,0.385,0.000,0.000,0.000,0.000,0.000
Bobby Miller,2,637,1054,0.604,0.396,0.379,0.000,0.000,0.136,0.096,0.190,0.000,0.000,0.000,0.000,0.199,0.000,0.000
Brent Honeywell,2,342,534,0.640,0.360,0.511,0.000,0.000,0.010,0.218,0.000,0.000,0.018,0.000,0.000,0.003,0.000,0.000
Brusdar Graterol,2,67,101,0.663,0.337,0.149,0.000,0.119,0.416,0.307,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Clayton Kershaw,2,334,504,0.663,0.337,0.351,0.000,0.000,0.000,0.437,0.161,0.000,0.000,0.000,0.042,0.004,0.000,0.000
Connor Brogdon,2,11,21,0.524,0.476,0.433,0.000,0.206,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.361,0.000,0.000
Daniel Hudson,2,635,999,0.636,0.364,0.495,0.000,0.000,0.058,0.409,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.000
Dinelson Lamet,2,47,74,0.635,0.365,0.514,0.000,0.000,0.000,0.459,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Edgardo Henriquez,2,37,59,0.627,0.373,0.644,0.000,0.356,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Evan Phillips,2,601,917,0.655,0.345,0.365,0.000,0.147,0.101,0.000,0.000,0.000,0.386,0.000,0.000,0.000,0.000,0.000
Gavin Stone,2,1406,2153,0.653,0.347,0.247,0.000,0.053,0.226,0.148,0.042,0.000,0.017,0.000,0.000,0.266,0.000,0.000
J.P. Feyereisen,2,115,180,0.639,0.361,0.475,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.285,0.000,0.000
Jack Flaherty,2,600,967,0.620,0.380,0.430,0.000,0.000,0.021,0.282,0.212,0.000,0.000,0.000,0.000,0.026,0.000,0.000
Joe Kelly,2,348,554,0.628,0.372,0.246,0.000,0.000,0.290,0.217,0.178,0.000,0.000,0.000,0.000,0.069,0.000,0.000
Justin Wrobleski,2,373,593,0.629,0.371,0.591,0.000,0.130,0.044,0.083,0.120,0.000,0.000,0.000,0.000,0.032,0.000,0.000
Kyle Hurt,2,65,87,0.747,0.253,0.379,0.000,0.000,0.046,0.000,0.023,0.000,0.000,0.000,0.000,0.540,0.000,0.000
Michael Grove,2,527,827,0.637,0.363,0.018,0.000,0.160,0.221,0.531,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Michael Kopeck,2,229,367,0.624,0.376,0.784,0.000,0.105,0.000,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nabil Crismatt,2,66,93,0.710,0.290,0.183,0.000,0.000,0.022,0.043,0.054,0.000,0.000,0.000,0.000,0.699,0.000,0.000
Nick Ramirez,2,124,194,0.639,0.361,0.000,0.000,0.000,0.485,0.000,0.000,0.000,0.232,0.000,0.000,0.273,0.000,0.000
River Ryan,2,183,296,0.618,0.382,0.400,0.000,0.031,0.102,0.227,0.156,0.000,0.000,0.000,0.000,0.085,0.000,0.000
Ryan Brasier,2,270,375,0.720,0.280,0.294,0.000,0.120,0.163,0.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Walker Buehler,2,846,1336,0.633,0.367,0.290,0.000,0.208,0.163,0.013,0.192,0.000,0.082,0.000,0.000,0.052,0.000,0.000
Zach Logue,2,34,43,0.791,0.209,0.744,0.000,0.047,0.047,0.000,0.116,0.000,0.000,0.000,0.000,0.047,0.000,0.000
