Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Hayden Birdsong,1,820,1388,0.591,0.409,0.446,0.000,0.000,0.000,0.184,0.187,0.000,0.000,0.000,0.000,0.184,0.000,0.000
Keaton Winn,1,586,877,0.668,0.332,0.254,0.000,0.000,0.186,0.135,0.000,0.000,0.000,0.000,0.391,0.000,0.000,0.000
Landen Roupp,1,564,907,0.622,0.378,0.000,0.000,0.000,0.405,0.042,0.441,0.000,0.000,0.000,0.000,0.094,0.000,0.000
Logan Webb,1,2117,3202,0.661,0.339,0.053,0.000,0.026,0.399,0.000,0.000,0.000,0.212,0.000,0.000,0.309,0.000,0.000
Mason Black,1,438,663,0.661,0.339,0.321,0.000,0.000,0.285,0.118,0.000,0.000,0.253,0.000,0.000,0.023,0.000,0.000
Robbie Ray,1,357,568,0.629,0.371,0.530,0.000,0.000,0.000,0.320,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Austin Warren,2,113,173,0.653,0.347,0.202,0.000,0.127,0.277,0.393,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Blake Snell,2,1110,1774,0.626,0.374,0.464,0.000,0.000,0.000,0.100,0.261,0.000,0.000,0.000,0.000,0.175,0.000,0.000
Camilo Doval,2,681,1121,0.607,0.393,0.000,0.000,0.348,0.142,0.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Erik Miller,2,754,1271,0.593,0.407,0.497,0.000,0.000,0.000,0.164,0.000,0.000,0.000,0.000,0.000,0.339,0.000,0.000
Jordan Hicks,2,1193,1960,0.609,0.391,0.054,0.000,0.000,0.515,0.000,0.000,0.000,0.241,0.000,0.191,0.000,0.000,0.000
Kai-Wei Teng,2,116,204,0.569,0.431,0.059,0.000,0.000,0.441,0.108,0.186,0.000,0.172,0.000,0.000,0.000,0.000,0.000
Kyle Harrison,2,1330,2078,0.640,0.360,0.577,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.223,0.000,0.197,0.000,0.000
Nick Avila,2,144,225,0.640,0.360,0.347,0.000,0.311,0.129,0.040,0.173,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Randy Rodríguez,2,571,879,0.650,0.350,0.473,0.000,0.000,0.073,0.398,0.000,0.000,0.000,0.000,0.000,0.056,0.000,0.000
Raymond Burgos,2,14,25,0.560,0.440,0.120,0.000,0.000,0.480,0.000,0.000,0.000,0.160,0.000,0.000,0.240,0.000,0.000
Ryan Walker,2,821,1221,0.672,0.328,0.005,0.000,0.000,0.547,0.447,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sean Hjelle,2,822,1209,0.680,0.320,0.000,0.000,0.106,0.550,0.000,0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Spencer Bivens,2,498,768,0.648,0.352,0.061,0.000,0.099,0.466,0.000,0.000,0.000,0.238,0.000,0.000,0.135,0.000,0.000
Taylor Rogers,2,699,1082,0.646,0.354,0.008,0.000,0.000,0.637,0.355,0.000,0.000,0.472,0.000,0.000,0.000,0.000,0.000
Trevor McDonald,2,26,39,0.667,0.333,0.077,0.000,0.000,0.436,0.385,0.000,0.000,0.000,0.000,0.000,0.103,0.000,0.000
Tristan Beck,2,165,242,0.682,0.318,0.504,0.000,0.000,0.000,0.145,0.198,0.000,0.153,0.000,0.000,0.000,0.000,0.000
