Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Ben Lively,1,835,1574,2409,0.653,0.347,0.314,0.000,0.000,0.290,0.049,0.088,0.000,0.169,0.000,0.000,0.091,0.000,0.000
Gavin Williams,1,488,880,1368,0.643,0.357,0.515,0.000,0.120,0.000,0.113,0.198,0.000,0.000,0.000,0.000,0.054,0.000,0.000
Tanner Bibee,1,963,1890,2853,0.662,0.338,0.434,0.000,0.245,0.003,0.069,0.069,0.000,0.000,0.000,0.000,0.180,0.000,0.000
Alex Cobb,2,91,151,242,0.624,0.376,0.000,0.000,0.000,0.430,0.000,0.132,0.000,0.000,0.000,0.438,0.000,0.000,0.000
Andrew Walters,2,49,84,133,0.632,0.368,0.629,0.000,0.000,0.000,0.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Anthony Gose,2,26,53,79,0.671,0.329,0.557,0.000,0.000,0.000,0.443,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cade Smith,2,365,801,1166,0.687,0.313,0.691,0.000,0.000,0.000,0.000,0.000,0.000,0.102,0.000,0.207,0.000,0.000,0.000
Carlos Carrasco,2,596,1097,1693,0.648,0.352,0.258,0.000,0.000,0.165,0.243,0.069,0.000,0.032,0.000,0.000,0.233,0.000,0.000
Connor Gillispie,2,55,83,138,0.601,0.399,0.420,0.000,0.217,0.000,0.138,0.000,0.000,0.000,0.000,0.000,0.225,0.000,0.000
Eli Morgan,2,204,443,647,0.685,0.315,0.402,0.000,0.000,0.000,0.361,0.000,0.000,0.000,0.000,0.000,0.237,0.000,0.000
Emmanuel Clase,2,282,702,984,0.713,0.287,0.012,0.000,0.778,0.000,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Erik Sabrowski,2,68,130,198,0.657,0.343,0.576,0.000,0.000,0.000,0.167,0.258,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hunter Gaddis,2,340,735,1075,0.684,0.316,0.383,0.000,0.000,0.000,0.448,0.000,0.000,0.000,0.000,0.000,0.168,0.000,0.000
Joey Cantillo,2,276,435,711,0.612,0.388,0.488,0.000,0.000,0.000,0.084,0.152,0.000,0.000,0.000,0.000,0.276,0.000,0.000
Logan Allen,2,624,1041,1665,0.625,0.375,0.484,0.000,0.146,0.000,0.000,0.000,0.000,0.187,0.000,0.000,0.183,0.000,0.000
Matthew Boyd,2,235,434,669,0.649,0.351,0.383,0.000,0.000,0.102,0.173,0.081,0.000,0.000,0.000,0.000,0.262,0.000,0.000
Nick Sandlin,2,390,614,1004,0.612,0.388,0.295,0.000,0.000,0.092,0.348,0.000,0.000,0.000,0.000,0.265,0.000,0.000,0.000
Pedro Avila,2,484,813,1297,0.627,0.373,0.392,0.000,0.000,0.123,0.068,0.161,0.000,0.037,0.000,0.000,0.220,0.000,0.000
Peter Strzelecki,2,75,117,192,0.609,0.391,0.422,0.000,0.130,0.073,0.177,0.000,0.000,0.000,0.000,0.000,0.198,0.000,0.000
Sam Hentges,2,112,239,351,0.681,0.319,0.308,0.000,0.000,0.160,0.214,0.319,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scott Barlow,2,420,603,1023,0.589,0.411,0.205,0.000,0.000,0.134,0.451,0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Shane Bieber,2,56,110,166,0.663,0.337,0.416,0.000,0.096,0.000,0.247,0.108,0.000,0.000,0.000,0.000,0.133,0.000,0.000
Spencer Howard,2,41,80,121,0.661,0.339,0.510,0.000,0.000,0.000,0.251,0.069,0.000,0.000,0.000,0.000,0.169,0.000,0.000
Tim Herrin,2,345,666,1011,0.659,0.341,0.245,0.000,0.000,0.126,0.276,0.353,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Triston McKenzie,2,534,774,1308,0.592,0.408,0.524,0.000,0.000,0.000,0.210,0.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tyler Beede,2,103,167,270,0.619,0.381,0.294,0.000,0.000,0.075,0.000,0.234,0.000,0.000,0.000,0.396,0.000,0.000,0.000
Wes Parsons,2,18,42,60,0.700,0.300,0.372,0.000,0.000,0.155,0.203,0.216,0.000,0.000,0.000,0.000,0.054,0.000,0.000
