Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Braxton Garrett,1,198,391,589,0.664,0.336,0.141,0.000,0.092,0.333,0.265,0.044,0.000,0.000,0.000,0.000,0.124,0.000,0.000
Edward Cabrera,1,670,1064,1734,0.614,0.386,0.274,0.000,0.000,0.092,0.085,0.217,0.000,0.000,0.000,0.000,0.332,0.000,0.000
Jesús Luzardo,1,390,694,1084,0.640,0.360,0.394,0.000,0.000,0.083,0.292,0.000,0.000,0.000,0.000,0.000,0.229,0.000,0.000
Max Meyer,1,371,597,968,0.617,0.383,0.394,0.000,0.000,0.021,0.407,0.000,0.000,0.000,0.000,0.000,0.179,0.000,0.000
Ryan Weathers,1,528,887,1415,0.627,0.373,0.397,0.000,0.000,0.121,0.009,0.000,0.000,0.213,0.000,0.000,0.260,0.000,0.000
Valente Bellozo,1,417,678,1095,0.619,0.381,0.374,0.000,0.253,0.000,0.000,0.125,0.000,0.103,0.000,0.000,0.144,0.000,0.000
Adam Oller,2,284,427,711,0.601,0.399,0.514,0.000,0.000,0.000,0.008,0.149,0.000,0.000,0.258,0.000,0.070,0.000,0.000
Andrew Nardi,2,316,590,906,0.651,0.349,0.608,0.000,0.000,0.000,0.384,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000
Anthony Bender,2,339,616,955,0.645,0.355,0.041,0.000,0.000,0.452,0.000,0.000,0.000,0.469,0.000,0.000,0.039,0.000,0.000
Anthony Maldonado,2,109,188,297,0.633,0.367,0.000,0.000,0.000,0.343,0.620,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Anthony Veneziano,2,64,133,197,0.675,0.325,0.471,0.000,0.000,0.000,0.236,0.000,0.000,0.231,0.000,0.000,0.062,0.000,0.000
Austin Kitchen,2,56,102,158,0.646,0.354,0.139,0.000,0.000,0.342,0.000,0.114,0.000,0.228,0.000,0.000,0.177,0.000,0.000
