Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
David Peterson,1,667,1208,1875,0.644,0.356,0.265,0.000,0.000,0.310,0.184,0.076,0.000,0.000,0.000,0.000,0.164,0.000,0.000
Kodai Senga,1,21,52,73,0.712,0.288,0.397,0.000,0.151,0.000,0.041,0.014,0.000,0.000,0.000,0.329,0.000,0.000,0.000
Paul Blackburn,1,153,255,408,0.625,0.375,0.195,0.000,0.220,0.136,0.167,0.101,0.000,0.000,0.000,0.000,0.181,0.000,0.000
Adam Ottavino,2,352,654,1006,0.650,0.350,0.099,0.000,0.107,0.339,0.023,0.000,0.000,0.383,0.000,0.000,0.050,0.000,0.000
Adrian Houser,2,420,711,1131,0.629,0.371,0.168,0.000,0.000,0.445,0.173,0.087,0.000,0.000,0.000,0.000,0.127,0.000,0.000
Alex Young,2,95,141,236,0.597,0.403,0.007,0.000,0.000,0.382,0.004,0.142,0.000,0.000,0.000,0.000,0.464,0.000,0.000
Brooks Raley,2,42,77,119,0.647,0.353,0.000,0.000,0.244,0.000,0.000,0.000,0.000,0.479,0.000,0.000,0.185,0.000,0.000
Christian Scott,2,279,509,788,0.646,0.354,0.529,0.000,0.000,0.000,0.179,0.000,0.000,0.188,0.000,0.104,0.000,0.000,0.000
Danny Young,2,278,419,697,0.601,0.399,0.000,0.000,0.006,0.472,0.000,0.000,0.000,0.522,0.000,0.000,0.000,0.000,0.000
Dedniel Núñez,2,142,380,522,0.728,0.272,0.476,0.000,0.000,0.025,0.489,0.002,0.000,0.000,0.000,0.000,0.008,0.000,0.000
Drew Smith,2,113,215,328,0.655,0.345,0.436,0.000,0.268,0.027,0.140,0.076,0.000,0.000,0.000,0.000,0.052,0.000,0.000
Eddy Alvarez,2,5,8,13,0.615,0.385,0.000,0.000,0.000,0.000,0.615,0.231,0.000,0.000,0.000,0.000,0.154,0.000,0.000
Edwin Díaz,2,333,581,914,0.636,0.364,0.521,0.000,0.000,0.000,0.479,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Eric Orze,2,18,24,42,0.571,0.429,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000
Grant Hartwig,2,56,62,118,0.525,0.475,0.042,0.000,0.212,0.347,0.000,0.000,0.000,0.331,0.000,0.000,0.068,0.000,0.000
Huascar Brazobán,2,161,242,403,0.600,0.400,0.218,0.000,0.249,0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.287,0.000,0.000
Jake Diekman,2,249,378,627,0.603,0.397,0.612,0.000,0.000,0.002,0.000,0.000,0.000,0.289,0.000,0.000,0.097,0.000,0.000
Joey Lucchesi,2,78,102,180,0.567,0.433,0.000,0.000,0.268,0.453,0.000,0.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000
José Buttó,2,514,709,1223,0.580,0.420,0.315,0.000,0.000,0.230,0.129,0.000,0.000,0.105,0.000,0.000,0.221,0.000,0.000
Jose Quintana,2,1150,1676,2826,0.593,0.407,0.225,0.000,0.000,0.304,0.000,0.219,0.000,0.000,0.060,0.000,0.193,0.000,0.000
Josh Walker,2,78,137,215,0.637,0.363,0.340,0.000,0.000,0.279,0.000,0.381,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Julio Teheran,2,31,37,68,0.544,0.456,0.000,0.000,0.294,0.426,0.000,0.118,0.000,0.000,0.000,0.000,0.088,0.000,0.000
Luis Severino,2,1007,1885,2892,0.652,0.348,0.355,0.000,0.081,0.248,0.070,0.000,0.000,0.172,0.000,0.000,0.075,0.000,0.000
Phil Maton,2,167,303,470,0.645,0.355,0.000,0.000,0.355,0.093,0.040,0.288,0.000,0.224,0.000,0.000,0.000,0.000,0.000
Reed Garrett,2,375,605,980,0.617,0.383,0.165,0.000,0.237,0.128,0.000,0.000,0.000,0.199,0.000,0.271,0.000,0.000,0.000
Ryne Stanek,2,104,179,283,0.633,0.367,0.600,0.000,0.000,0.020,0.166,0.000,0.000,0.000,0.000,0.214,0.000,0.000,0.000
Sean Manaea,2,1050,1947,2997,0.650,0.350,0.113,0.000,0.071,0.447,0.059,0.000,0.000,0.192,0.000,0.000,0.118,0.000,0.000
Sean Reid-Foley,2,145,240,385,0.623,0.377,0.673,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.197,0.000,0.000
Ty Adcock,2,32,55,87,0.632,0.368,0.384,0.000,0.279,0.000,0.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tylor Megill,2,496,871,1367,0.637,0.363,0.467,0.000,0.143,0.098,0.109,0.076,0.000,0.016,0.000,0.075,0.015,0.000,0.000
