Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
DJ Herz,1,567,1020,1587,0.643,0.357,0.542,0.000,0.000,0.000,0.179,0.033,0.000,0.000,0.000,0.000,0.245,0.000,0.000
Jackson Rutledge,1,49,90,139,0.647,0.353,0.151,0.000,0.158,0.338,0.237,0.029,0.000,0.000,0.000,0.086,0.000,0.000,0.000
Jake Irvin,1,1061,1985,3046,0.652,0.348,0.379,0.000,0.065,0.205,0.003,0.313,0.000,0.000,0.000,0.000,0.035,0.000,0.000
Josiah Gray,1,66,110,176,0.625,0.375,0.222,0.000,0.244,0.097,0.119,0.108,0.000,0.108,0.000,0.000,0.102,0.000,0.000
MacKenzie Gore,1,1074,1921,2995,0.641,0.359,0.553,0.000,0.000,0.000,0.143,0.196,0.000,0.016,0.000,0.000,0.093,0.000,0.000
Mitchell Parker,1,799,1605,2404,0.668,0.332,0.486,0.000,0.000,0.000,0.098,0.225,0.000,0.000,0.000,0.191,0.000,0.000,0.000
Amos Willingham,2,7,13,20,0.650,0.350,0.650,0.000,0.200,0.000,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Derek Law,2,483,888,1371,0.648,0.352,0.136,0.000,0.379,0.098,0.300,0.036,0.000,0.000,0.000,0.000,0.051,0.000,0.000
Eduardo Salazar,2,178,273,451,0.605,0.395,0.069,0.000,0.000,0.498,0.427,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000
Ildemaro Vargas,2,9,14,23,0.609,0.391,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jacob Barnes,2,415,703,1118,0.629,0.371,0.472,0.000,0.491,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Joan Adon,2,68,110,178,0.618,0.382,0.371,0.000,0.000,0.213,0.107,0.118,0.000,0.000,0.000,0.000,0.191,0.000,0.000
Jordan Weems,2,269,465,734,0.634,0.366,0.615,0.000,0.000,0.000,0.349,0.008,0.000,0.000,0.000,0.027,0.000,0.000,0.000
Kyle Finnegan,2,349,729,1078,0.676,0.324,0.676,0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.268,0.000,0.000,0.000
Matt Barnes,2,99,138,237,0.582,0.418,0.392,0.000,0.000,0.000,0.000,0.435,0.000,0.000,0.000,0.173,0.000,0.000,0.000
Orlando Ribalta,2,33,64,97,0.660,0.340,0.464,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.000,0.340,0.000,0.000
Patrick Corbin,2,1057,1831,2888,0.634,0.366,0.076,0.000,0.192,0.338,0.343,0.017,0.000,0.000,0.000,0.000,0.034,0.000,0.000
Robert Garcia,2,290,658,948,0.694,0.306,0.529,0.000,0.000,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.312,0.000,0.000
Tanner Rainey,2,355,584,939,0.622,0.378,0.709,0.000,0.000,0.000,0.277,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000
Trevor Williams,2,397,667,1064,0.627,0.373,0.364,0.000,0.000,0.121,0.135,0.000,0.000,0.211,0.000,0.000,0.168,0.000,0.000
Zach Brzykcy,2,38,67,105,0.638,0.362,0.558,0.000,0.000,0.000,0.000,0.231,0.000,0.000,0.000,0.000,0.212,0.000,0.000
