Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Albert Suárez,1,844,1394,2238,0.623,0.377,0.500,0.000,0.195,0.000,0.000,0.132,0.000,0.000,0.000,0.000,0.172,0.000,0.000
Cade Povich,1,491,898,1389,0.647,0.353,0.407,0.000,0.075,0.084,0.000,0.196,0.000,0.130,0.000,0.000,0.109,0.000,0.000
Chayce McDermott,1,30,52,82,0.634,0.366,0.415,0.000,0.000,0.000,0.232,0.000,0.000,0.061,0.000,0.000,0.195,0.000,0.000
Dean Kremer,1,788,1383,2171,0.637,0.363,0.321,0.000,0.230,0.150,0.000,0.114,0.000,0.000,0.000,0.185,0.000,0.000,0.000
Grayson Rodriguez,1,634,1245,1879,0.663,0.337,0.465,0.000,0.000,0.012,0.158,0.155,0.000,0.000,0.000,0.000,0.210,0.000,0.000
Kyle Bradish,1,253,421,674,0.625,0.375,0.131,0.000,0.000,0.399,0.298,0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Trevor Rogers,1,131,226,357,0.633,0.367,0.317,0.000,0.000,0.240,0.206,0.000,0.000,0.000,0.000,0.000,0.238,0.000,0.000
Tyler Wells,1,87,172,259,0.664,0.336,0.344,0.000,0.178,0.000,0.104,0.185,0.000,0.000,0.000,0.000,0.189,0.000,0.000
Zach Eflin,1,277,555,832,0.667,0.333,0.089,0.000,0.282,0.283,0.002,0.188,0.000,0.094,0.000,0.000,0.060,0.000,0.000
Bryan Baker,2,132,239,371,0.644,0.356,0.486,0.000,0.000,0.000,0.281,0.092,0.000,0.000,0.000,0.000,0.138,0.000,0.000
Burch Smith,2,130,266,396,0.672,0.328,0.500,0.000,0.214,0.002,0.000,0.183,0.000,0.093,0.000,0.000,0.008,0.000,0.000
Cionel Pérez,2,333,532,865,0.615,0.385,0.242,0.000,0.000,0.383,0.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colin Selby,2,26,37,63,0.587,0.413,0.268,0.000,0.000,0.321,0.196,0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Corbin Burnes,2,1064,1933,2997,0.645,0.355,0.000,0.000,0.450,0.078,0.128,0.215,0.000,0.018,0.000,0.000,0.110,0.000,0.000
Craig Kimbrel,2,380,586,966,0.607,0.393,0.657,0.000,0.000,0.000,0.000,0.289,0.000,0.049,0.000,0.000,0.005,0.000,0.000
Danny Coulombe,2,167,299,466,0.642,0.358,0.155,0.000,0.300,0.135,0.000,0.124,0.000,0.285,0.000,0.000,0.000,0.000,0.000
Gregory Soto,2,116,196,312,0.628,0.372,0.122,0.000,0.000,0.456,0.335,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000
Jacob Webb,2,331,603,934,0.646,0.354,0.442,0.000,0.000,0.000,0.000,0.000,0.000,0.281,0.000,0.000,0.276,0.000,0.000
John Means,2,111,209,320,0.653,0.347,0.375,0.000,0.000,0.000,0.231,0.109,0.000,0.000,0.000,0.000,0.284,0.000,0.000
Jonathan Heasley,2,41,67,108,0.620,0.380,0.194,0.000,0.000,0.000,0.231,0.231,0.000,0.343,0.000,0.000,0.000,0.000,0.000
Keegan Akin,2,428,816,1244,0.656,0.344,0.560,0.000,0.000,0.000,0.332,0.000,0.000,0.000,0.000,0.000,0.108,0.000,0.000
Matt Bowman,2,87,151,238,0.634,0.366,0.006,0.000,0.197,0.388,0.000,0.000,0.000,0.258,0.000,0.151,0.000,0.000,0.000
Matt Krook,2,11,16,27,0.593,0.407,0.000,0.000,0.074,0.667,0.000,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000
Nick Vespi,2,54,115,169,0.680,0.320,0.000,0.000,0.568,0.000,0.249,0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Seranthony Domínguez,2,151,260,411,0.633,0.367,0.404,0.000,0.000,0.184,0.400,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000
Tucker Davidson,2,23,44,67,0.657,0.343,0.149,0.000,0.000,0.164,0.343,0.119,0.000,0.000,0.000,0.179,0.000,0.000,0.000
Vinny Nittoli,2,21,40,61,0.656,0.344,0.000,0.000,0.579,0.017,0.000,0.084,0.000,0.298,0.000,0.000,0.000,0.000,0.000
Yennier Cano,2,372,636,1008,0.631,0.369,0.110,0.000,0.000,0.515,0.130,0.000,0.000,0.000,0.000,0.000,0.245,0.000,0.000
