Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Dylan Cease,1,1999,3188,0.627,0.373,0.435,0.000,0.006,0.000,0.429,0.079,0.000,0.042,0.000,0.000,0.009,0.000,0.000
Joe Musgrove,1,1036,1582,0.655,0.345,0.246,0.000,0.204,0.044,0.003,0.225,0.000,0.200,0.000,0.000,0.078,0.000,0.000
Matt Waldron,1,1570,2451,0.641,0.359,0.191,0.000,0.086,0.143,0.000,0.000,0.000,0.198,0.000,0.000,0.000,0.000,0.000
Michael King,1,1872,2895,0.647,0.353,0.241,0.000,0.000,0.279,0.056,0.000,0.000,0.178,0.000,0.000,0.246,0.000,0.000
Randy Vásquez,1,1091,1688,0.646,0.354,0.285,0.000,0.137,0.157,0.000,0.197,0.000,0.100,0.000,0.000,0.124,0.000,0.000
Yu Darvish,1,846,1264,0.669,0.331,0.190,0.000,0.044,0.168,0.231,0.136,0.000,0.140,0.000,0.090,0.000,0.000,0.000
Adam Mazur,2,352,585,0.602,0.398,0.392,0.000,0.000,0.041,0.337,0.127,0.000,0.000,0.000,0.000,0.103,0.000,0.000
Adrian Morejon,2,714,1064,0.671,0.329,0.234,0.000,0.000,0.360,0.304,0.000,0.000,0.026,0.000,0.076,0.000,0.000,0.000
Alek Jacob,2,149,232,0.642,0.358,0.211,0.000,0.000,0.341,0.000,0.000,0.000,0.142,0.000,0.000,0.306,0.000,0.000
Austin Davis,2,81,142,0.570,0.430,0.000,0.000,0.380,0.380,0.000,0.000,0.000,0.239,0.000,0.000,0.000,0.000,0.000
Bryan Hoeing,2,201,305,0.659,0.341,0.060,0.000,0.000,0.505,0.229,0.000,0.000,0.000,0.000,0.206,0.000,0.000,0.000
Carl Jr. Edwards,2,4,12,0.333,0.667,0.500,0.000,0.000,0.000,0.000,0.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jason Adam,2,255,403,0.633,0.367,0.374,0.000,0.000,0.000,0.206,0.000,0.000,0.161,0.000,0.000,0.258,0.000,0.000
Jeremiah Estrada,2,672,1004,0.669,0.331,0.565,0.000,0.000,0.000,0.236,0.000,0.000,0.000,0.000,0.198,0.000,0.000,0.000
Jhony Brito,2,408,630,0.648,0.352,0.263,0.000,0.000,0.248,0.091,0.022,0.000,0.029,0.000,0.000,0.344,0.000,0.000
Logan Gillaspie,2,113,151,0.748,0.252,0.470,0.000,0.066,0.000,0.013,0.199,0.000,0.106,0.000,0.000,0.146,0.000,0.000
Martín Pérez,2,524,816,0.642,0.358,0.053,0.000,0.221,0.358,0.000,0.141,0.000,0.000,0.000,0.000,0.227,0.000,0.000
Robert Suarez,2,655,978,0.670,0.330,0.714,0.000,0.004,0.156,0.000,0.000,0.000,0.000,0.000,0.000,0.126,0.000,0.000
Sean Reynolds,2,137,225,0.609,0.391,0.489,0.000,0.000,0.000,0.436,0.000,0.000,0.022,0.000,0.000,0.053,0.000,0.000
Stephen Kolek,2,534,799,0.668,0.332,0.132,0.000,0.193,0.405,0.097,0.000,0.000,0.104,0.000,0.000,0.069,0.000,0.000
Tanner Scott,2,304,423,0.719,0.281,0.592,0.000,0.000,0.000,0.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tom Cosgrove,2,204,323,0.632,0.368,0.229,0.000,0.000,0.260,0.000,0.000,0.000,0.511,0.000,0.000,0.000,0.000,0.000
Wandy Peralta,2,376,616,0.610,0.390,0.091,0.000,0.000,0.390,0.101,0.000,0.000,0.000,0.000,0.000,0.418,0.000,0.000
Yuki Matsui,2,661,1053,0.628,0.372,0.411,0.000,0.000,0.000,0.269,0.010,0.000,0.066,0.000,0.245,0.000,0.000,0.000
