Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Aaron Nola,1,1101,2092,3193,0.655,0.345,0.278,0.000,0.092,0.204,0.000,0.329,0.000,0.000,0.000,0.000,0.096,0.000,0.000
Cristopher Sánchez,1,902,1896,2798,0.678,0.322,0.000,0.000,0.000,0.473,0.169,0.000,0.000,0.000,0.000,0.000,0.357,0.000,0.000
Ranger Suárez,1,830,1525,2355,0.648,0.352,0.195,0.000,0.121,0.315,0.001,0.205,0.000,0.000,0.000,0.000,0.163,0.000,0.000
Taijuan Walker,1,543,892,1435,0.622,0.378,0.125,0.000,0.094,0.275,0.000,0.108,0.000,0.178,0.000,0.219,0.000,0.000,0.000
Zack Wheeler,1,1079,2057,3136,0.656,0.344,0.414,0.000,0.096,0.190,0.000,0.101,0.000,0.125,0.000,0.073,0.000,0.000,0.000
Carlos Estévez,2,112,231,343,0.673,0.327,0.611,0.000,0.000,0.000,0.281,0.000,0.000,0.000,0.000,0.000,0.104,0.000,0.000
Jeff Hoffman,2,333,669,1002,0.668,0.332,0.391,0.000,0.000,0.082,0.408,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.000
José Alvarado,2,405,651,1056,0.616,0.384,0.000,0.000,0.403,0.594,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000
José Ruiz,2,289,546,835,0.654,0.346,0.278,0.000,0.000,0.238,0.040,0.412,0.000,0.000,0.000,0.000,0.032,0.000,0.000
Kolby Allard,2,148,288,436,0.661,0.339,0.401,0.000,0.174,0.060,0.000,0.122,0.000,0.000,0.000,0.000,0.243,0.000,0.000
Matt Strahm,2,298,685,983,0.697,0.303,0.541,0.000,0.118,0.146,0.195,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Max Lazar,2,74,140,214,0.654,0.346,0.612,0.000,0.168,0.000,0.000,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Michael Mercado,2,102,158,260,0.608,0.392,0.473,0.000,0.254,0.000,0.000,0.223,0.000,0.000,0.000,0.000,0.050,0.000,0.000
Nick Nelson,2,34,62,96,0.646,0.354,0.271,0.000,0.000,0.292,0.240,0.000,0.000,0.000,0.000,0.000,0.177,0.000,0.000
Orion Kerkering,2,379,708,1087,0.651,0.349,0.292,0.000,0.000,0.152,0.000,0.000,0.000,0.557,0.000,0.000,0.000,0.000,0.000
Ricardo Pinto,2,88,133,221,0.602,0.398,0.077,0.000,0.000,0.445,0.109,0.000,0.000,0.068,0.000,0.300,0.000,0.000,0.000
Seth Johnson,2,21,37,58,0.638,0.362,0.483,0.000,0.000,0.000,0.293,0.103,0.000,0.000,0.000,0.000,0.121,0.000,0.000
Spencer Turnbull,2,363,557,920,0.605,0.395,0.348,0.000,0.000,0.123,0.053,0.090,0.000,0.332,0.000,0.000,0.053,0.000,0.000
Tanner Banks,2,137,255,392,0.651,0.349,0.309,0.000,0.000,0.084,0.329,0.149,0.000,0.000,0.000,0.000,0.129,0.000,0.000
Tyler Gilbert,2,46,99,145,0.683,0.317,0.324,0.000,0.131,0.366,0.000,0.021,0.000,0.152,0.000,0.000,0.000,0.000,0.000
Tyler Phillips,2,195,383,578,0.663,0.337,0.187,0.000,0.000,0.311,0.000,0.144,0.000,0.292,0.000,0.000,0.066,0.000,0.000
Yunior Marte,2,195,290,485,0.598,0.402,0.160,0.000,0.008,0.353,0.417,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000
