Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Bailey Falter,1,727,1413,2140,0.660,0.340,0.485,0.000,0.000,0.142,0.216,0.152,0.000,0.000,0.000,0.006,0.000,0.000,0.000
Jared Jones,1,636,1276,1912,0.667,0.333,0.493,0.000,0.000,0.000,0.348,0.093,0.000,0.000,0.000,0.000,0.066,0.000,0.000
Mitch Keller,1,962,1890,2852,0.663,0.337,0.303,0.000,0.122,0.220,0.095,0.096,0.000,0.155,0.000,0.000,0.007,0.000,0.000
Paul Skenes,1,721,1406,2127,0.661,0.339,0.392,0.000,0.000,0.284,0.061,0.108,0.000,0.101,0.000,0.000,0.054,0.000,0.000
Aroldis Chapman,2,418,712,1130,0.630,0.370,0.342,0.000,0.000,0.272,0.266,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.000
Ben Heller,2,102,153,255,0.600,0.400,0.133,0.000,0.204,0.235,0.169,0.000,0.000,0.043,0.000,0.000,0.216,0.000,0.000
Brady Feigl,2,15,29,44,0.659,0.341,0.636,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.114,0.000,0.000
Carmen Mlodzinski,2,318,549,867,0.633,0.367,0.398,0.000,0.200,0.000,0.279,0.000,0.000,0.119,0.000,0.000,0.003,0.000,0.000
Colin Holderman,2,335,535,870,0.615,0.385,0.007,0.000,0.257,0.260,0.000,0.000,0.000,0.476,0.000,0.000,0.000,0.000,0.000
Daulton Jefferies,2,52,120,172,0.698,0.302,0.085,0.000,0.146,0.374,0.246,0.000,0.000,0.000,0.000,0.000,0.149,0.000,0.000
David Bednar,2,354,672,1026,0.655,0.345,0.555,0.000,0.000,0.000,0.000,0.204,0.000,0.000,0.000,0.240,0.000,0.000,0.000
Dennis Santana,2,221,460,681,0.675,0.325,0.262,0.000,0.192,0.134,0.328,0.000,0.000,0.000,0.000,0.000,0.084,0.000,0.000
Domingo Germán,2,140,233,373,0.625,0.375,0.399,0.000,0.000,0.043,0.000,0.332,0.000,0.000,0.000,0.000,0.225,0.000,0.000
Hunter Stratton,2,193,394,587,0.671,0.329,0.368,0.000,0.370,0.012,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Isaac Mattson,2,38,62,100,0.620,0.380,0.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.230,0.000,0.000
Jake Woodford,2,170,275,445,0.618,0.382,0.032,0.000,0.191,0.445,0.000,0.000,0.000,0.282,0.000,0.000,0.050,0.000,0.000
Jalen Beeks,2,141,218,359,0.607,0.393,0.556,0.000,0.178,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.255,0.000,0.000
Joey Wentz,2,88,129,217,0.594,0.406,0.365,0.000,0.314,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.191,0.000,0.000
Josh Fleming,2,207,327,534,0.612,0.388,0.000,0.000,0.255,0.376,0.000,0.062,0.000,0.000,0.000,0.000,0.300,0.000,0.000
Justin Bruihl,2,27,72,99,0.727,0.273,0.000,0.000,0.283,0.303,0.000,0.000,0.000,0.414,0.000,0.000,0.000,0.000,0.000
Kyle Nicolas,2,379,571,950,0.601,0.399,0.551,0.000,0.000,0.000,0.224,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Marco Gonzales,2,174,372,546,0.681,0.319,0.315,0.000,0.238,0.092,0.000,0.101,0.000,0.000,0.000,0.000,0.255,0.000,0.000
Mike Burrows,2,27,41,68,0.603,0.397,0.544,0.000,0.000,0.000,0.088,0.103,0.000,0.000,0.000,0.000,0.265,0.000,0.000
Ryan Borucki,2,61,113,174,0.649,0.351,0.000,0.000,0.000,0.247,0.523,0.000,0.000,0.103,0.000,0.000,0.126,0.000,0.000
Ryder Ryan,2,116,228,344,0.663,0.337,0.141,0.000,0.000,0.418,0.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
