Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Cody Bradford,1,801,1176,0.681,0.319,0.523,0.000,0.007,0.000,0.070,0.128,0.000,0.000,0.000,0.000,0.273,0.000,0.000
Jacob deGrom,1,117,172,0.680,0.320,0.459,0.000,0.000,0.000,0.453,0.000,0.000,0.000,0.000,0.000,0.058,0.000,0.000
Jon Gray,1,1087,1631,0.666,0.334,0.444,0.000,0.000,0.000,0.439,0.046,0.000,0.000,0.000,0.000,0.071,0.000,0.000
Tyler Mahle,1,150,229,0.655,0.345,0.528,0.000,0.000,0.000,0.135,0.000,0.000,0.000,0.000,0.301,0.000,0.000,0.000
Kumar Rocker,1,138,218,0.633,0.367,0.422,0.000,0.000,0.170,0.385,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chase Anderson,2,81,132,0.614,0.386,0.149,0.000,0.339,0.017,0.000,0.040,0.000,0.152,0.000,0.000,0.304,0.000,0.000
Grant Anderson,2,309,483,0.640,0.360,0.275,0.000,0.000,0.240,0.410,0.000,0.000,0.000,0.000,0.000,0.075,0.000,0.000
Andrew Chafin,2,196,350,0.560,0.440,0.166,0.000,0.000,0.375,0.458,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Marc Church,2,12,15,0.800,0.200,0.467,0.000,0.000,0.000,0.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dane Dunning,2,1061,1689,0.628,0.372,0.028,0.000,0.188,0.377,0.234,0.047,0.000,0.000,0.000,0.000,0.125,0.000,0.000
Nathan Eovaldi,2,1778,2623,0.678,0.322,0.374,0.000,0.148,0.000,0.033,0.137,0.000,0.000,0.000,0.308,0.000,0.000,0.000
Matt Festa,2,246,359,0.685,0.315,0.400,0.000,0.265,0.000,0.000,0.000,0.000,0.332,0.000,0.000,0.000,0.000,0.000
Gerson Garabito,2,305,492,0.620,0.380,0.392,0.000,0.000,0.104,0.049,0.339,0.000,0.000,0.000,0.000,0.116,0.000,0.000
Andrew Heaney,2,1791,2735,0.655,0.345,0.501,0.000,0.001,0.014,0.278,0.036,0.000,0.000,0.000,0.000,0.170,0.000,0.000
Jacob Latz,2,499,815,0.612,0.388,0.494,0.000,0.000,0.000,0.229,0.050,0.000,0.000,0.000,0.000,0.226,0.000,0.000
José Leclerc,2,740,1204,0.615,0.385,0.348,0.000,0.157,0.071,0.322,0.000,0.000,0.000,0.000,0.000,0.102,0.000,0.000
Jack Leiter,2,422,669,0.631,0.369,0.519,0.000,0.018,0.000,0.291,0.114,0.000,0.000,0.000,0.000,0.058,0.000,0.000
Walter Pennington,2,197,322,0.612,0.388,0.000,0.000,0.270,0.297,0.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Austin Pruitt,2,45,78,0.577,0.423,0.269,0.000,0.000,0.154,0.346,0.103,0.000,0.000,0.000,0.000,0.128,0.000,0.000
Daniel Robert,2,62,104,0.596,0.404,0.456,0.000,0.000,0.000,0.029,0.000,0.000,0.485,0.000,0.000,0.000,0.000,0.000
David Robertson,2,773,1212,0.638,0.362,0.000,0.000,0.634,0.014,0.067,0.268,0.000,0.000,0.000,0.000,0.017,0.000,0.000
Josh Sborz,2,192,284,0.676,0.324,0.458,0.000,0.000,0.000,0.313,0.229,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Max Scherzer,2,460,670,0.687,0.313,0.439,0.000,0.061,0.000,0.221,0.139,0.000,0.000,0.000,0.000,0.139,0.000,0.000
José Ureña,2,1088,1761,0.618,0.382,0.063,0.000,0.000,0.409,0.341,0.000,0.000,0.000,0.000,0.000,0.186,0.000,0.000
Owen White,2,47,69,0.681,0.319,0.493,0.000,0.116,0.000,0.145,0.145,0.000,0.000,0.000,0.000,0.058,0.000,0.000
Cole Winn,2,195,286,0.682,0.318,0.423,0.000,0.000,0.073,0.266,0.000,0.000,0.000,0.000,0.210,0.000,0.000,0.000
Kirby Yates,2,661,1028,0.643,0.357,0.607,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.387,0.000,0.000,0.000
