Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Jacob Waguespack,1,91,130,221,0.588,0.412,0.389,0.000,0.353,0.000,0.000,0.140,0.000,0.000,0.000,0.000,0.118,0.000,0.000
Jeffrey Springs,1,204,361,565,0.639,0.361,0.423,0.000,0.000,0.000,0.204,0.000,0.000,0.032,0.000,0.000,0.317,0.000,0.000
Ryan Pepiot,1,774,1376,2150,0.640,0.360,0.506,0.000,0.060,0.000,0.173,0.027,0.000,0.000,0.000,0.000,0.235,0.000,0.000
Shane Baz,1,419,788,1207,0.653,0.347,0.479,0.000,0.000,0.000,0.213,0.205,0.000,0.000,0.000,0.000,0.103,0.000,0.000
Taj Bradley,1,813,1483,2296,0.646,0.354,0.417,0.000,0.225,0.000,0.000,0.089,0.000,0.000,0.000,0.269,0.000,0.000,0.000
Zack Littell,1,808,1680,2488,0.675,0.325,0.221,0.000,0.000,0.148,0.348,0.000,0.000,0.051,0.000,0.232,0.000,0.000,0.000
Ben Rortvedt,2,19,17,36,0.472,0.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.139,0.000,0.000
Chris Devenski,2,201,333,534,0.624,0.376,0.310,0.000,0.139,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.475,0.000,0.000
Cole Sulser,2,74,124,198,0.626,0.374,0.490,0.000,0.171,0.000,0.082,0.000,0.000,0.000,0.000,0.000,0.257,0.000,0.000
Colin Poche,2,204,339,543,0.624,0.376,0.681,0.000,0.000,0.000,0.319,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Drew Rasmussen,2,148,312,460,0.678,0.322,0.377,0.000,0.277,0.292,0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.000,0.000
Edwin Uceta,2,223,451,674,0.669,0.331,0.402,0.000,0.213,0.000,0.000,0.006,0.000,0.039,0.000,0.000,0.341,0.000,0.000
Erasmo Ramírez,2,108,194,302,0.642,0.358,0.043,0.000,0.397,0.394,0.000,0.099,0.000,0.000,0.000,0.000,0.066,0.000,0.000
Garrett Cleavinger,2,384,673,1057,0.637,0.363,0.248,0.000,0.263,0.095,0.220,0.000,0.000,0.174,0.000,0.000,0.000,0.000,0.000
Hunter Bigge,2,82,147,229,0.642,0.358,0.590,0.000,0.000,0.000,0.297,0.070,0.000,0.043,0.000,0.000,0.000,0.000,0.000
Jacob Lopez,2,78,100,178,0.562,0.438,0.421,0.000,0.129,0.000,0.376,0.000,0.000,0.000,0.000,0.000,0.073,0.000,0.000
Joel Kuhnel,2,36,71,107,0.664,0.336,0.278,0.000,0.000,0.171,0.411,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.000
Justin Sterner,2,22,42,64,0.656,0.344,0.641,0.000,0.344,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000
Kevin Kelly,2,326,707,1033,0.684,0.316,0.022,0.000,0.084,0.615,0.000,0.000,0.000,0.278,0.000,0.000,0.000,0.000,0.000
Manuel Rodríguez,2,216,389,605,0.643,0.357,0.225,0.000,0.000,0.309,0.460,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000
Mason Montgomery,2,58,101,159,0.635,0.365,0.728,0.000,0.000,0.000,0.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pete Fairbanks,2,240,456,696,0.655,0.345,0.522,0.000,0.000,0.000,0.448,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000
Richard Lovelady,2,145,276,421,0.656,0.344,0.197,0.000,0.000,0.343,0.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tyler Alexander,2,523,1146,1669,0.687,0.313,0.223,0.000,0.318,0.131,0.003,0.000,0.000,0.188,0.000,0.000,0.137,0.000,0.000
Tyler Zuber,2,32,43,75,0.573,0.427,0.427,0.000,0.213,0.000,0.000,0.000,0.000,0.360,0.000,0.000,0.000,0.000,0.000
