Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Andrew Abbott,1,843,1490,2333,0.639,0.361,0.535,0.000,0.000,0.000,0.002,0.116,0.000,0.183,0.000,0.000,0.163,0.000,0.000
Carson Spiers,1,540,1014,1554,0.653,0.347,0.299,0.000,0.160,0.175,0.008,0.000,0.000,0.237,0.000,0.000,0.121,0.000,0.000
Graham Ashcraft,1,499,843,1342,0.628,0.372,0.000,0.000,0.479,0.172,0.319,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000
Hunter Greene,1,916,1647,2563,0.643,0.357,0.552,0.000,0.000,0.000,0.346,0.018,0.000,0.000,0.000,0.083,0.000,0.000,0.000
Nick Lodolo,1,678,1187,1865,0.636,0.364,0.430,0.000,0.000,0.133,0.000,0.273,0.000,0.000,0.000,0.000,0.164,0.000,0.000
Nick Martinez,1,691,1435,2126,0.675,0.325,0.224,0.000,0.203,0.176,0.061,0.119,0.000,0.000,0.000,0.000,0.216,0.000,0.000
Rhett Lowder,1,188,310,498,0.622,0.378,0.273,0.000,0.000,0.259,0.273,0.000,0.000,0.000,0.000,0.000,0.195,0.000,0.000
Alan Busenitz,2,28,47,75,0.627,0.373,0.213,0.000,0.200,0.227,0.000,0.120,0.000,0.173,0.000,0.000,0.067,0.000,0.000
Alexis Díaz,2,377,600,977,0.614,0.386,0.579,0.000,0.000,0.000,0.421,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brandon Leibrandt,2,39,78,117,0.667,0.333,0.265,0.000,0.000,0.060,0.274,0.000,0.000,0.000,0.000,0.000,0.325,0.000,0.000
Brandon Williamson,2,101,155,256,0.605,0.395,0.250,0.000,0.457,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.219,0.000,0.000
Brent Suter,2,355,667,1022,0.653,0.347,0.429,0.000,0.000,0.210,0.163,0.000,0.000,0.000,0.000,0.000,0.198,0.000,0.000
Buck Farmer,2,426,745,1171,0.636,0.364,0.198,0.000,0.000,0.243,0.348,0.000,0.000,0.000,0.000,0.000,0.209,0.000,0.000
Casey Kelly,2,26,52,78,0.667,0.333,0.256,0.000,0.000,0.167,0.256,0.115,0.000,0.000,0.000,0.000,0.205,0.000,0.000
Casey Legumina,2,52,114,166,0.687,0.313,0.500,0.000,0.000,0.000,0.229,0.000,0.000,0.000,0.000,0.000,0.265,0.000,0.000
David Buchanan,2,25,33,58,0.569,0.431,0.017,0.000,0.345,0.259,0.000,0.121,0.000,0.000,0.000,0.000,0.259,0.000,0.000
Emilio Pagán,2,185,409,594,0.689,0.311,0.578,0.000,0.272,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.000
Evan Kravetz,2,2,2,4,0.500,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000
Fernando Cruz,2,431,708,1139,0.622,0.378,0.325,0.000,0.256,0.000,0.000,0.000,0.000,0.000,0.000,0.419,0.000,0.000,0.000
Ian Gibaut,2,13,27,40,0.675,0.325,0.400,0.000,0.350,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.075,0.000,0.000
Jakob Junis,2,182,398,580,0.686,0.314,0.100,0.000,0.002,0.362,0.453,0.000,0.000,0.000,0.000,0.000,0.084,0.000,0.000
Julian Aguiar,2,193,338,531,0.637,0.363,0.000,0.000,0.000,0.540,0.179,0.092,0.000,0.000,0.000,0.000,0.189,0.000,0.000
Justin Wilson,2,264,554,818,0.677,0.323,0.495,0.000,0.240,0.000,0.254,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000
Luke Maile,2,21,44,65,0.677,0.323,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lyon Richardson,2,9,17,26,0.654,0.346,0.269,0.000,0.000,0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.000,0.000
Sam Moll,2,225,399,624,0.639,0.361,0.380,0.000,0.000,0.285,0.000,0.000,0.000,0.245,0.000,0.000,0.090,0.000,0.000
Tejay Antone,2,24,23,47,0.489,0.511,0.340,0.000,0.000,0.255,0.255,0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tony Santillan,2,168,337,505,0.667,0.333,0.603,0.000,0.000,0.000,0.387,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000
Yosver Zulueta,2,113,175,288,0.608,0.392,0.049,0.000,0.000,0.608,0.234,0.000,0.000,0.091,0.000,0.000,0.017,0.000,0.000
