Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Brayan Bello,1,1001,1712,2713,0.631,0.369,0.048,0.000,0.000,0.403,0.280,0.000,0.000,0.000,0.000,0.000,0.269,0.000,0.000
Garrett Whitlock,1,116,205,321,0.639,0.361,0.000,0.000,0.193,0.227,0.153,0.000,0.000,0.143,0.000,0.000,0.283,0.000,0.000
Kutter Crawford,1,911,1912,2823,0.677,0.323,0.337,0.000,0.321,0.000,0.000,0.072,0.000,0.185,0.000,0.086,0.000,0.000,0.000
Tanner Houck,1,927,1809,2736,0.661,0.339,0.000,0.000,0.015,0.324,0.000,0.000,0.000,0.414,0.000,0.248,0.000,0.000,0.000
Bailey Horn,2,108,196,304,0.645,0.355,0.238,0.000,0.099,0.000,0.000,0.063,0.000,0.601,0.000,0.000,0.000,0.000,0.000
Brad Keller,2,158,260,418,0.622,0.378,0.377,0.000,0.000,0.050,0.365,0.015,0.000,0.063,0.000,0.000,0.131,0.000,0.000
Brennan Bernardino,2,295,565,860,0.657,0.343,0.000,0.000,0.112,0.466,0.071,0.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cam Booser,2,228,467,695,0.672,0.328,0.410,0.000,0.354,0.000,0.000,0.000,0.000,0.236,0.000,0.000,0.000,0.000,0.000
Chase Shugart,2,44,98,142,0.690,0.310,0.155,0.000,0.197,0.190,0.000,0.000,0.000,0.275,0.000,0.000,0.183,0.000,0.000
Chris Martin,2,186,472,658,0.717,0.283,0.311,0.000,0.455,0.094,0.000,0.000,0.000,0.009,0.000,0.131,0.000,0.000,0.000
Cooper Criswell,2,645,1112,1757,0.633,0.367,0.000,0.000,0.154,0.297,0.019,0.000,0.000,0.268,0.000,0.000,0.261,0.000,0.000
Greg Weissert,2,343,688,1031,0.667,0.333,0.228,0.000,0.000,0.334,0.057,0.000,0.000,0.292,0.000,0.000,0.088,0.000,0.000
Isaiah Campbell,2,43,76,119,0.639,0.361,0.193,0.000,0.000,0.017,0.479,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000
James Paxton,2,53,114,167,0.683,0.317,0.551,0.000,0.031,0.050,0.000,0.303,0.000,0.000,0.000,0.000,0.066,0.000,0.000
Joely Rodríguez,2,78,171,249,0.687,0.313,0.000,0.000,0.000,0.490,0.000,0.000,0.000,0.149,0.000,0.000,0.361,0.000,0.000
Josh Winckowski,2,440,800,1240,0.645,0.355,0.051,0.000,0.352,0.336,0.133,0.000,0.000,0.000,0.000,0.000,0.128,0.000,0.000
Justin Slaten,2,265,547,812,0.674,0.326,0.292,0.000,0.377,0.000,0.000,0.084,0.000,0.247,0.000,0.000,0.000,0.000,0.000
Kenley Jansen,2,263,539,802,0.672,0.328,0.000,0.000,0.849,0.074,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lucas Sims,2,101,149,250,0.596,0.404,0.314,0.000,0.155,0.000,0.027,0.071,0.000,0.431,0.000,0.002,0.000,0.000,0.000
Luis García,2,65,156,221,0.706,0.294,0.060,0.000,0.017,0.524,0.124,0.000,0.000,0.088,0.000,0.186,0.000,0.000,0.000
Luis Guerrero,2,43,90,133,0.677,0.323,0.466,0.000,0.000,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.248,0.000,0.000
Naoyuki Uwasawa,2,25,38,63,0.603,0.397,0.226,0.000,0.113,0.000,0.000,0.081,0.000,0.000,0.000,0.565,0.000,0.000,0.000
Nick Pivetta,2,802,1586,2388,0.664,0.336,0.486,0.000,0.059,0.000,0.034,0.163,0.000,0.257,0.000,0.000,0.000,0.000,0.000
Pablo Reyes,2,9,9,18,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Quinn Priester,2,31,58,89,0.652,0.348,0.144,0.000,0.000,0.302,0.279,0.145,0.000,0.000,0.000,0.000,0.129,0.000,0.000
Rich Hill,2,31,40,71,0.563,0.437,0.169,0.000,0.127,0.225,0.000,0.113,0.000,0.366,0.000,0.000,0.000,0.000,0.000
Richard Fitts,2,102,212,314,0.675,0.325,0.446,0.000,0.000,0.000,0.312,0.000,0.000,0.134,0.000,0.108,0.000,0.000,0.000
Yohan Ramírez,2,13,16,29,0.552,0.448,0.168,0.000,0.000,0.402,0.000,0.141,0.000,0.289,0.000,0.000,0.000,0.000,0.000
Zach Penrod,2,38,48,86,0.558,0.442,0.453,0.000,0.000,0.000,0.244,0.000,0.000,0.000,0.000,0.000,0.302,0.000,0.000
Zack Kelly,2,348,610,958,0.637,0.363,0.299,0.000,0.218,0.000,0.000,0.000,0.000,0.272,0.000,0.000,0.209,0.000,0.000
