Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Antonio Senzatela,1,127,218,0.583,0.417,0.583,0.000,0.000,0.005,0.225,0.069,0.000,0.000,0.000,0.000,0.119,0.000,0.000
Austin Gomber,1,1725,2622,0.658,0.342,0.403,0.000,0.000,0.001,0.167,0.224,0.000,0.000,0.000,0.000,0.205,0.000,0.000
Bradley Blalock,1,327,531,0.616,0.384,0.473,0.000,0.040,0.000,0.221,0.105,0.000,0.000,0.000,0.159,0.000,0.000,0.000
Kyle Freeland,1,1180,1769,0.667,0.333,0.202,0.000,0.000,0.245,0.227,0.188,0.000,0.000,0.000,0.000,0.137,0.000,0.000
Ryan Feltner,1,1662,2580,0.644,0.356,0.370,0.000,0.000,0.127,0.204,0.101,0.000,0.050,0.000,0.000,0.147,0.000,0.000
Angel Chivilli,2,335,514,0.652,0.348,0.000,0.000,0.000,0.415,0.183,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000
Anthony Molina,2,662,1049,0.631,0.369,0.483,0.000,0.000,0.000,0.224,0.069,0.000,0.000,0.000,0.000,0.224,0.000,0.000
Cal Quantrill,2,1613,2645,0.610,0.390,0.000,0.000,0.135,0.402,0.000,0.126,0.000,0.000,0.000,0.320,0.018,0.000,0.000
Chasen Shreve,2,6,10,0.600,0.400,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.400,0.000,0.000,0.000
Dakota Hudson,2,900,1512,0.595,0.404,0.153,0.000,0.005,0.327,0.244,0.172,0.000,0.000,0.000,0.000,0.099,0.000,0.000
Evan Justice,2,4,8,0.500,0.500,0.500,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Geoff Hartlieb,2,95,138,0.688,0.312,0.290,0.000,0.254,0.268,0.188,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Germán Marquez,2,41,70,0.586,0.414,0.414,0.000,0.000,0.100,0.271,0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jaden Hill,2,98,151,0.649,0.351,0.099,0.000,0.000,0.444,0.000,0.000,0.000,0.179,0.000,0.000,0.278,0.000,0.000
Jake Bird,2,429,684,0.627,0.373,0.007,0.000,0.072,0.444,0.297,0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jeff Criswell,2,215,354,0.607,0.393,0.404,0.000,0.000,0.025,0.401,0.025,0.000,0.000,0.000,0.000,0.144,0.000,0.000
John Curtiss,2,29,38,0.763,0.237,0.447,0.000,0.000,0.000,0.526,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Josh Rogers,2,109,170,0.641,0.359,0.347,0.000,0.059,0.047,0.118,0.000,0.000,0.382,0.000,0.000,0.047,0.000,0.000
Justin Lawrence,2,654,1081,0.605,0.395,0.000,0.000,0.000,0.589,0.000,0.000,0.000,0.411,0.000,0.000,0.000,0.000,0.000
Lucas Gilbreath,2,28,47,0.596,0.404,0.660,0.000,0.000,0.000,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Luis Peralta,2,110,182,0.604,0.396,0.757,0.000,0.000,0.000,0.000,0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Matt Carasiti,2,114,170,0.671,0.329,0.182,0.000,0.176,0.329,0.000,0.000,0.000,0.000,0.000,0.312,0.000,0.000,0.000
Matt Koch,2,14,23,0.609,0.391,0.304,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Noah Davis,2,234,365,0.641,0.359,0.011,0.000,0.205,0.460,0.000,0.033,0.000,0.214,0.000,0.000,0.000,0.000,0.000
Peter Lambert,2,656,1039,0.631,0.369,0.385,0.000,0.010,0.023,0.188,0.039,0.000,0.000,0.105,0.000,0.250,0.000,0.000
Riley Pint,2,50,102,0.490,0.510,0.294,0.000,0.000,0.000,0.696,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Seth Halvorsen,2,120,179,0.670,0.330,0.371,0.000,0.000,0.185,0.157,0.000,0.000,0.000,0.000,0.281,0.000,0.000,0.000
Tanner Gordon,2,418,607,0.689,0.311,0.488,0.000,0.000,0.010,0.267,0.044,0.000,0.000,0.000,0.000,0.191,0.000,0.000
Ty Blach,2,756,1133,0.667,0.333,0.345,0.000,0.137,0.162,0.000,0.109,0.000,0.000,0.000,0.000,0.245,0.000,0.000
Tyler Kinley,2,745,1187,0.628,0.372,0.336,0.000,0.000,0.000,0.627,0.000,0.000,0.000,0.000,0.000,0.035,0.000,0.000
Victor Vodnik,2,806,1342,0.601,0.399,0.633,0.000,0.000,0.000,0.201,0.000,0.000,0.000,0.000,0.000,0.166,0.000,0.000
