Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Cole Ragans,1,1138,1980,3118,0.635,0.365,0.418,0.000,0.113,0.000,0.128,0.104,0.000,0.000,0.000,0.000,0.237,0.000,0.000
Michael Wacha,1,927,1676,2603,0.644,0.356,0.238,0.000,0.114,0.153,0.092,0.081,0.000,0.000,0.000,0.000,0.322,0.000,0.000
Seth Lugo,1,1079,2033,3112,0.653,0.347,0.240,0.000,0.082,0.185,0.095,0.161,0.000,0.040,0.101,0.026,0.069,0.000,0.000
Alec Marsh,2,771,1392,2163,0.644,0.356,0.370,0.000,0.000,0.138,0.179,0.164,0.000,0.049,0.000,0.000,0.100,0.000,0.000
Angel Zerpa,2,351,603,954,0.632,0.368,0.201,0.000,0.000,0.433,0.260,0.000,0.000,0.000,0.000,0.000,0.103,0.000,0.000
Brady Singer,2,1105,1864,2969,0.628,0.372,0.113,0.000,0.000,0.413,0.403,0.000,0.000,0.052,0.000,0.000,0.019,0.000,0.000
Carlos Hernández,2,204,356,560,0.636,0.364,0.541,0.000,0.000,0.000,0.202,0.143,0.000,0.000,0.000,0.114,0.000,0.000,0.000
Chris Stratton,2,394,601,995,0.604,0.396,0.382,0.000,0.000,0.087,0.206,0.221,0.000,0.003,0.000,0.000,0.099,0.000,0.000
Dan Altavilla,2,35,48,83,0.578,0.422,0.578,0.000,0.000,0.000,0.373,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.000
Garrett Hampson,2,7,6,13,0.462,0.538,0.000,0.000,0.000,0.000,0.385,0.615,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hunter Harvey,2,51,73,124,0.589,0.411,0.629,0.000,0.000,0.000,0.046,0.093,0.000,0.000,0.000,0.232,0.000,0.000,0.000
James McArthur,2,307,597,904,0.660,0.340,0.090,0.000,0.000,0.357,0.216,0.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000
John Schreiber,2,338,557,895,0.622,0.378,0.245,0.000,0.165,0.259,0.000,0.000,0.000,0.269,0.000,0.000,0.061,0.000,0.000
Jonathan Bowlan,2,25,43,68,0.632,0.368,0.441,0.000,0.000,0.191,0.191,0.132,0.000,0.000,0.000,0.000,0.044,0.000,0.000
Jordan Lyles,2,27,45,72,0.625,0.375,0.264,0.000,0.181,0.097,0.000,0.125,0.000,0.153,0.000,0.000,0.181,0.000,0.000
Kris Bubic,2,141,326,467,0.698,0.302,0.443,0.000,0.000,0.028,0.360,0.000,0.000,0.000,0.000,0.000,0.165,0.000,0.000
Lucas Erceg,2,128,254,382,0.665,0.335,0.309,0.000,0.000,0.213,0.279,0.000,0.000,0.000,0.000,0.000,0.199,0.000,0.000
Matt Sauer,2,127,200,327,0.612,0.388,0.453,0.000,0.000,0.089,0.232,0.162,0.000,0.000,0.000,0.064,0.000,0.000,0.000
Michael Lorenzen,2,168,270,438,0.616,0.384,0.272,0.000,0.100,0.212,0.088,0.079,0.000,0.061,0.000,0.000,0.188,0.000,0.000
Nick Anderson,2,203,371,574,0.646,0.354,0.225,0.000,0.000,0.260,0.000,0.455,0.000,0.000,0.000,0.000,0.059,0.000,0.000
Sam Long,2,257,447,704,0.635,0.365,0.385,0.000,0.000,0.000,0.308,0.222,0.000,0.000,0.000,0.085,0.000,0.000,0.000
Steven Cruz,2,26,56,82,0.683,0.317,0.415,0.000,0.341,0.000,0.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tyler Duffey,2,81,108,189,0.571,0.429,0.280,0.000,0.000,0.164,0.175,0.302,0.000,0.000,0.000,0.000,0.079,0.000,0.000
Will Smith,2,241,432,673,0.642,0.358,0.290,0.000,0.000,0.000,0.447,0.117,0.000,0.000,0.000,0.000,0.146,0.000,0.000
