Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Casey Mize,1,623,1167,1790,0.652,0.348,0.386,0.000,0.000,0.080,0.277,0.075,0.000,0.000,0.000,0.181,0.000,0.000,0.000
Keider Montero,1,526,1014,1540,0.658,0.342,0.417,0.000,0.000,0.077,0.283,0.117,0.000,0.000,0.000,0.000,0.107,0.000,0.000
Reese Olson,1,690,1165,1855,0.628,0.372,0.236,0.000,0.000,0.203,0.278,0.060,0.000,0.000,0.000,0.000,0.223,0.000,0.000
Tarik Skubal,1,883,1985,2868,0.692,0.308,0.329,0.000,0.000,0.203,0.147,0.042,0.000,0.000,0.000,0.000,0.269,0.000,0.000
Alex Faedo,2,376,631,1007,0.627,0.373,0.352,0.000,0.000,0.054,0.396,0.000,0.000,0.000,0.000,0.000,0.199,0.000,0.000
Alex Lange,2,159,218,377,0.578,0.422,0.135,0.000,0.000,0.215,0.000,0.578,0.000,0.000,0.000,0.000,0.072,0.000,0.000
Beau Brieske,2,420,733,1153,0.636,0.364,0.404,0.000,0.000,0.159,0.173,0.000,0.000,0.000,0.000,0.000,0.265,0.000,0.000
Brant Hurter,2,195,450,645,0.698,0.302,0.071,0.000,0.000,0.504,0.000,0.000,0.000,0.307,0.000,0.000,0.118,0.000,0.000
Brenan Hanifee,2,148,299,447,0.669,0.331,0.141,0.000,0.000,0.539,0.224,0.000,0.000,0.000,0.000,0.000,0.094,0.000,0.000
Bryan Sammons,2,121,253,374,0.676,0.324,0.393,0.000,0.254,0.000,0.000,0.078,0.000,0.193,0.000,0.000,0.083,0.000,0.000
Jackson Jobe,2,17,31,48,0.646,0.354,0.563,0.000,0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,0.000,0.000
Jason Foley,2,303,603,906,0.666,0.334,0.082,0.000,0.000,0.547,0.315,0.000,0.000,0.000,0.000,0.000,0.056,0.000,0.000
Kenta Maeda,2,724,1236,1960,0.631,0.369,0.225,0.000,0.016,0.072,0.230,0.016,0.000,0.130,0.000,0.312,0.000,0.000,0.000
Mason Englert,2,131,234,365,0.641,0.359,0.268,0.000,0.137,0.104,0.164,0.036,0.000,0.000,0.000,0.000,0.290,0.000,0.000
Matt Manning,2,149,289,438,0.660,0.340,0.482,0.000,0.000,0.000,0.041,0.098,0.000,0.338,0.000,0.041,0.000,0.000,0.000
Ricky Vanasco,2,7,10,17,0.588,0.412,0.644,0.000,0.044,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sean Guenther,2,73,170,243,0.700,0.300,0.033,0.000,0.000,0.379,0.276,0.000,0.000,0.000,0.000,0.313,0.000,0.000,0.000
Shelby Miller,2,290,563,853,0.660,0.340,0.606,0.000,0.000,0.000,0.204,0.000,0.000,0.000,0.000,0.188,0.000,0.000,0.000
Ty Madden,2,147,256,403,0.635,0.365,0.427,0.000,0.154,0.047,0.181,0.040,0.000,0.000,0.000,0.151,0.000,0.000,0.000
Tyler Holton,2,452,888,1340,0.663,0.337,0.152,0.000,0.273,0.216,0.000,0.015,0.000,0.155,0.000,0.000,0.189,0.000,0.000
Will Vest,2,387,775,1162,0.667,0.333,0.560,0.000,0.000,0.126,0.216,0.000,0.000,0.000,0.000,0.000,0.098,0.000,0.000
Zach McKinstry,2,11,13,24,0.542,0.458,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000
