Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Bailey Ober,1,876,1821,2697,0.675,0.325,0.381,0.000,0.195,0.000,0.118,0.011,0.000,0.000,0.000,0.000,0.294,0.000,0.000
Chris Paddack,1,503,959,1462,0.656,0.344,0.429,0.000,0.000,0.000,0.177,0.136,0.000,0.000,0.000,0.000,0.259,0.000,0.000
David Festa,1,386,713,1099,0.649,0.351,0.402,0.000,0.000,0.000,0.318,0.000,0.000,0.000,0.000,0.000,0.280,0.000,0.000
Joe Ryan,1,676,1432,2108,0.679,0.321,0.485,0.000,0.000,0.060,0.071,0.000,0.000,0.162,0.000,0.222,0.000,0.000,0.000
Pablo López,1,995,1991,2986,0.667,0.333,0.408,0.000,0.000,0.073,0.000,0.099,0.000,0.219,0.000,0.000,0.201,0.000,0.000
Zebby Matthews,1,252,465,717,0.649,0.351,0.428,0.000,0.162,0.000,0.259,0.071,0.000,0.000,0.000,0.000,0.079,0.000,0.000
Brent Headrick,2,24,36,60,0.600,0.400,0.383,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.117,0.000,0.000
Brock Stewart,2,92,176,268,0.657,0.343,0.451,0.000,0.179,0.108,0.000,0.000,0.000,0.250,0.000,0.000,0.011,0.000,0.000
Caleb Boushley,2,25,38,63,0.603,0.397,0.397,0.000,0.000,0.190,0.000,0.159,0.000,0.143,0.000,0.000,0.111,0.000,0.000
Caleb Thielbar,2,297,590,887,0.665,0.335,0.434,0.000,0.000,0.000,0.000,0.248,0.000,0.311,0.000,0.000,0.000,0.000,0.000
Cole Irvin,2,32,45,77,0.584,0.416,0.264,0.000,0.109,0.200,0.041,0.252,0.000,0.000,0.000,0.000,0.134,0.000,0.000
Cole Sands,2,385,769,1154,0.666,0.334,0.282,0.000,0.296,0.109,0.000,0.141,0.000,0.000,0.000,0.172,0.000,0.000,0.000
Daniel Duarte,2,18,38,56,0.679,0.321,0.250,0.000,0.196,0.000,0.357,0.000,0.000,0.000,0.000,0.000,0.143,0.000,0.000
Diego Castillo,2,75,102,177,0.576,0.424,0.119,0.000,0.000,0.232,0.627,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.000
Griffin Jax,2,328,740,1068,0.693,0.307,0.299,0.000,0.000,0.098,0.000,0.062,0.000,0.375,0.000,0.000,0.167,0.000,0.000
Jay Jackson,2,162,291,453,0.642,0.358,0.260,0.000,0.000,0.051,0.556,0.000,0.000,0.000,0.000,0.000,0.132,0.000,0.000
Jhoan Duran,2,308,575,883,0.651,0.349,0.407,0.000,0.000,0.000,0.000,0.278,0.000,0.000,0.000,0.314,0.000,0.000,0.000
Jorge Alcala,2,333,601,934,0.643,0.357,0.443,0.000,0.000,0.075,0.387,0.000,0.000,0.000,0.000,0.000,0.096,0.000,0.000
Josh Staumont,2,159,261,420,0.621,0.379,0.100,0.000,0.000,0.271,0.614,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Josh Winder,2,54,87,141,0.617,0.383,0.277,0.000,0.000,0.078,0.206,0.000,0.000,0.213,0.000,0.000,0.227,0.000,0.000
Justin Topa,2,4,16,20,0.800,0.200,0.000,0.000,0.100,0.250,0.000,0.000,0.000,0.300,0.000,0.000,0.350,0.000,0.000
Kody Funderburk,2,252,401,653,0.614,0.386,0.000,0.000,0.437,0.201,0.325,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.000
Louie Varland,2,315,586,901,0.650,0.350,0.425,0.000,0.277,0.038,0.000,0.155,0.000,0.000,0.000,0.000,0.104,0.000,0.000
Michael Tonkin,2,128,193,321,0.601,0.399,0.378,0.000,0.000,0.171,0.357,0.000,0.000,0.094,0.000,0.000,0.000,0.000,0.000
Randy Dobnak,2,71,112,183,0.612,0.388,0.120,0.000,0.000,0.224,0.311,0.000,0.000,0.000,0.000,0.000,0.344,0.000,0.000
Ronny Henriquez,2,107,196,303,0.647,0.353,0.294,0.000,0.000,0.033,0.333,0.000,0.000,0.000,0.000,0.000,0.340,0.000,0.000
Scott Blewett,2,115,205,320,0.641,0.359,0.404,0.000,0.000,0.000,0.376,0.000,0.000,0.000,0.000,0.219,0.000,0.000,0.000
Steven Okert,2,219,398,617,0.645,0.355,0.237,0.000,0.000,0.091,0.593,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000
Trevor Richards,2,103,152,255,0.596,0.404,0.464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.536,0.000,0.000
