Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Davis Martin,1,327,565,892,0.633,0.367,0.285,0.000,0.175,0.000,0.268,0.076,0.000,0.000,0.000,0.000,0.196,0.000,0.000
Garrett Crochet,1,773,1622,2395,0.677,0.323,0.537,0.000,0.284,0.021,0.000,0.000,0.000,0.098,0.000,0.000,0.059,0.000,0.000
Jonathan Cannon,1,753,1276,2029,0.629,0.371,0.123,0.000,0.192,0.280,0.000,0.000,0.000,0.218,0.000,0.000,0.187,0.000,0.000
Bryan Shaw,2,42,53,95,0.558,0.442,0.000,0.000,0.642,0.063,0.126,0.116,0.000,0.000,0.000,0.000,0.053,0.000,0.000
Chad Kuhl,2,410,570,980,0.582,0.418,0.091,0.000,0.093,0.232,0.356,0.000,0.000,0.103,0.000,0.000,0.126,0.000,0.000
Chris Flexen,2,1080,1717,2797,0.614,0.386,0.370,0.000,0.261,0.002,0.087,0.122,0.000,0.000,0.000,0.000,0.157,0.000,0.000
Deivi García,2,123,160,283,0.565,0.435,0.558,0.000,0.000,0.000,0.000,0.159,0.000,0.159,0.000,0.000,0.124,0.000,0.000
Dominic Leone,2,151,210,361,0.582,0.418,0.266,0.000,0.150,0.083,0.194,0.000,0.000,0.047,0.000,0.000,0.260,0.000,0.000
Drew Thorpe,2,287,434,721,0.602,0.398,0.322,0.000,0.139,0.000,0.153,0.000,0.000,0.032,0.000,0.000,0.355,0.000,0.000
Fraser Ellard,2,173,260,433,0.600,0.400,0.556,0.000,0.088,0.083,0.234,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.000
Gus Varland,2,106,225,331,0.680,0.320,0.534,0.000,0.000,0.033,0.382,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000
Jairo Iriarte,2,65,72,137,0.526,0.474,0.460,0.000,0.000,0.000,0.401,0.000,0.000,0.000,0.000,0.000,0.139,0.000,0.000
Jake Eder,2,19,26,45,0.578,0.422,0.489,0.000,0.244,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.244,0.000,0.000
Jared Shuster,2,509,781,1290,0.605,0.395,0.375,0.000,0.000,0.047,0.284,0.000,0.000,0.000,0.000,0.000,0.294,0.000,0.000
Jordan Leasure,2,213,347,560,0.620,0.380,0.598,0.000,0.000,0.000,0.287,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Justin Anderson,2,360,585,945,0.619,0.381,0.326,0.000,0.076,0.145,0.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ky Bush,2,137,191,328,0.582,0.418,0.509,0.000,0.000,0.000,0.244,0.149,0.000,0.000,0.000,0.000,0.098,0.000,0.000
Matt Foster,2,45,63,108,0.583,0.417,0.444,0.000,0.000,0.000,0.315,0.083,0.000,0.000,0.000,0.000,0.157,0.000,0.000
Michael Soroka,2,574,869,1443,0.602,0.398,0.325,0.000,0.000,0.212,0.365,0.000,0.000,0.000,0.000,0.000,0.098,0.000,0.000
Mike Clevinger,2,112,191,303,0.630,0.370,0.399,0.000,0.116,0.056,0.191,0.026,0.000,0.000,0.000,0.000,0.211,0.000,0.000
Nick Nastrini,2,338,398,736,0.541,0.459,0.454,0.000,0.000,0.000,0.362,0.086,0.000,0.000,0.000,0.000,0.098,0.000,0.000
Prelander Berroa,2,138,213,351,0.607,0.393,0.405,0.000,0.000,0.029,0.566,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sammy Peralta,2,103,180,283,0.636,0.364,0.465,0.000,0.000,0.000,0.057,0.000,0.000,0.252,0.000,0.000,0.227,0.000,0.000
Sean Burke,2,115,194,309,0.628,0.372,0.405,0.000,0.000,0.000,0.285,0.249,0.000,0.000,0.000,0.000,0.061,0.000,0.000
Steven Wilson,2,244,379,623,0.608,0.392,0.398,0.000,0.000,0.000,0.000,0.000,0.000,0.512,0.000,0.000,0.080,0.000,0.000
Touki Toussaint,2,207,284,491,0.578,0.422,0.116,0.000,0.000,0.251,0.000,0.261,0.000,0.000,0.000,0.371,0.000,0.000,0.000
