Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Carlos Rodón,1,1121,1981,3102,0.639,0.361,0.494,0.000,0.035,0.000,0.260,0.083,0.000,0.000,0.000,0.000,0.129,0.000,0.000
Clarke Schmidt,1,548,908,1456,0.624,0.376,0.000,0.000,0.350,0.210,0.000,0.182,0.000,0.252,0.000,0.000,0.006,0.000,0.000
Gerrit Cole,1,539,998,1537,0.649,0.351,0.456,0.000,0.158,0.008,0.151,0.187,0.000,0.000,0.000,0.000,0.040,0.000,0.000
Luis Gil,1,1045,1621,2666,0.608,0.392,0.488,0.000,0.000,0.000,0.259,0.000,0.000,0.000,0.000,0.000,0.253,0.000,0.000
Anthony Misiewicz,2,13,17,30,0.567,0.433,0.000,0.000,0.533,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Clay Holmes,2,381,704,1085,0.649,0.351,0.000,0.000,0.000,0.563,0.230,0.000,0.000,0.205,0.000,0.000,0.000,0.000,0.000
Clayton Andrews,2,5,10,15,0.667,0.333,0.067,0.000,0.000,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000
Clayton Beeter,2,17,34,51,0.667,0.333,0.667,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cody Poteet,2,152,233,385,0.605,0.395,0.284,0.000,0.000,0.247,0.000,0.099,0.000,0.172,0.000,0.000,0.198,0.000,0.000
Ian Hamilton,2,206,414,620,0.668,0.332,0.225,0.000,0.000,0.233,0.543,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jake Cousins,2,239,406,645,0.629,0.371,0.009,0.000,0.000,0.334,0.657,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jonathan Loáisiga,2,17,44,61,0.721,0.279,0.000,0.000,0.000,0.672,0.000,0.000,0.000,0.000,0.000,0.000,0.164,0.000,0.000
Jose Trevino,2,15,28,43,0.651,0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Josh Maciejewski,2,36,60,96,0.625,0.375,0.000,0.000,0.000,0.427,0.115,0.000,0.000,0.000,0.000,0.000,0.458,0.000,0.000
Luke Weaver,2,491,883,1374,0.643,0.357,0.485,0.000,0.226,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.277,0.000,0.000
Marcus Stroman,2,1041,1627,2668,0.610,0.390,0.031,0.000,0.182,0.350,0.159,0.026,0.000,0.000,0.138,0.110,0.000,0.000,0.000
Nestor Cortes,2,997,1854,2851,0.650,0.350,0.442,0.000,0.280,0.014,0.009,0.000,0.000,0.158,0.000,0.000,0.097,0.000,0.000
Nick Burdi,2,87,123,210,0.586,0.414,0.595,0.000,0.000,0.000,0.390,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000
Phil Bickford,2,55,99,154,0.643,0.357,0.766,0.000,0.000,0.000,0.234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ron Marinaccio,2,144,251,395,0.635,0.365,0.511,0.000,0.000,0.000,0.000,0.000,0.000,0.149,0.000,0.000,0.339,0.000,0.000
Scott Effross,2,21,34,55,0.618,0.382,0.182,0.000,0.000,0.345,0.345,0.000,0.000,0.000,0.000,0.000,0.127,0.000,0.000
Tim Hill,2,161,411,572,0.719,0.281,0.261,0.000,0.000,0.687,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tim Mayza,2,85,173,258,0.671,0.329,0.008,0.000,0.000,0.718,0.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tommy Kahnle,2,279,471,750,0.628,0.372,0.193,0.000,0.000,0.020,0.056,0.000,0.000,0.000,0.000,0.000,0.731,0.000,0.000
Victor González,2,159,227,386,0.588,0.412,0.000,0.000,0.000,0.479,0.285,0.000,0.000,0.000,0.000,0.000,0.236,0.000,0.000
Will Warren,2,177,281,458,0.614,0.386,0.306,0.000,0.044,0.264,0.000,0.000,0.000,0.264,0.000,0.000,0.122,0.000,0.000
Yoendrys Gómez,2,81,133,214,0.621,0.379,0.360,0.000,0.000,0.000,0.121,0.103,0.000,0.336,0.000,0.000,0.079,0.000,0.000
