Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Sam Aldegheri,1,128,222,57.7,42.3,56.8,0,0,0,13.5,8.6,0,0,0,0,21.2,0,0
Tyler Anderson,1,1863,2915,63.9,36.1,39.6,0,18.5,3.3,1.3,0,0,0,0,0,37.1,0,0
Caden Dana,1,122,206,59.2,40.8,52.4,0,4.4,0,26.7,7.3,0,0,0,0,9.2,0,0
Reid Detmers,1,1021,1559,65.5,34.5,46.8,0,0,0,24.4,14.6,0,0.1,0,0,14.1,0,0
Jack Kochanowicz,1,587,859,68.3,31.7,6.2,0,0,72.4,0,18.4,0,0,0,0,3,0,0
Chase Silseth,1,106,167,63.5,36.5,42.5,0,0,9,0,0,0,26.3,0,19.2,0,0,0
José Soriano,1,1089,1739,62.6,37.4,14.6,0,0,46.4,5.5,25.4,0,0,0,8.1,0,0,0
Brock Burke,2,219,305,71.8,28.2,52.5,0,0,4.7,25.9,0,0,0,0,0,16.9,0,0
Griffin Canning,2,1806,2872,62.9,37.1,37.6,0,0,1,24,10.7,0,0,0,0,26.7,0,0
Adam Cimber,2,254,416,61.1,38.9,31.5,0,0,35.8,32.7,0,0,0,0,0,0,0,0
José Cisnero,2,190,313,60.7,39.3,31.9,0,0,25.2,29.1,0,0,0,0,0,13.1,0,0
Roansy Contreras,2,527,820,64.3,35.7,37.6,0,0,10,25,9.4,0,7.3,0,0,10.5,0,0
Hans Crouse,2,267,437,61.1,38.9,0,0,0,49.4,38.9,0,0,0,0,0,11.2,0,0
Johnny Cueto,2,108,169,63.9,36.1,9,0,5.4,35.9,20.4,0,0,0,0,0,28.7,0,0
Davis Daniel,2,347,508,68.3,31.7,48,0,0,0,23.8,7.7,0,0,0,0,20.5,0,0
Carson Fulmer,2,932,1474,63.2,36.8,23.4,0,0,23.7,16.1,5.6,0,4.3,0,0,27,0,0
Amir Garrett,2,60,104,57.7,42.3,34.6,0,0,1.9,63.5,0,0,0,0,0,0,0,0
Ben Joyce,2,350,541,64.7,35.3,45.7,0,0,35.3,15.2,0,0,0,0,0,3.9,0,0
Zac Kristofak,2,23,39,59,41,43.6,0,0,0,35.9,5.1,0,0,0,0,15.4,0,0
José Marte,2,185,311,59.5,40.5,24.1,0,0,28.3,38.6,0,0,0,0,0,9,0,0
Victor Mederos,2,60,108,55.6,44.4,32.7,0,0,18.7,22.4,15.9,0,0,0,0,10.3,0,0
Ryan Miller,2,142,220,64.5,35.5,0,0,0,42.5,40.6,0,0,16.9,0,0,0,0,0
Matt Moore,2,531,854,62.2,37.8,50,0,0.7,0,0,17.6,0,0,0,0,31.7,0,0
Zach Plesac,2,125,209,59.8,40.2,44.2,0,0,0,26.9,5.3,0,0,0,0,23.6,0,0
José Quijada,2,216,379,57,43,94.5,0,0,0,0,0,0,0,0,0,4.2,0,0
Kenny Rosenberg,2,253,403,62.8,37.2,48.6,0,13.6,0,0,5,0,0,0,0,32.8,0,0
Patrick Sandoval,2,909,1447,62.8,37.2,16,0,0,17.4,24.7,9,0,4.6,0,0,28.3,0,0
Miguel Sanó,2,3,3,100,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0
Michael Stefanic,2,9,15,60,40,0,0,0,0,0,6.7,0,0,0,0,0,0,0
Hunter Strickland,2,738,1162,63.5,36.5,31.9,0,31.4,9,13.1,0,0,8.5,0,0,6.1,0,0
José Suarez,2,594,990,60,40,39.9,0,1.5,8.8,12.7,0,0,12.3,0,0,24.7,0,0
Andrew Wantz,2,21,35,60,40,20,0,22.9,28.6,0,0,0,28.6,0,0,0,0,0
Ryan Zeferjahn,2,135,208,64.9,35.1,35.6,0,47.6,0,0,0,0,16.3,0,0,0,0,0
Guillo Zuñiga,2,162,271,59.8,40.2,32.5,0,0,34.7,21.8,0,0,0,0,0,11.1,0,0
