name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Cristian Javier,1,337,571,59,41,39.3,0,0,0,29.5,4.4,0,0,0,0,26.8,0,0
Framber Valdez,1,1647,2605,63.2,36.7,1.2,0,0,45.8,4.3,31.3,0,0,0,0,17.5,0,0
Hunter Brown,1,1821,2890,63,37,34.8,0,16.8,18.1,5.3,12.5,0,0,0,0,12.6,0,0
J.P. France,1,269,466,57.7,42.3,29.4,0,23.8,0,0,19.3,0,3,0,0,22.7,0,0
Ronel Blanco,1,1759,2753,63.9,36.1,38.3,0,0,0,30.2,9.4,0,0,0,0,22.1,0,0
Spencer Arrighetti,1,1612,2509,64.2,35.8,41,0,19.6,0,0,19.9,0,10.8,0,0,8.6,0,0
Alex Speas,2,23,39,59,41,20.5,0,71.8,0,0,0,0,7.7,0,0,0,0,0
Blair Henley,2,18,40,45,55,38.5,0,0,0,0,23.1,0,12.8,0,0,0,0,0
Bryan Abreu,2,840,1302,64.5,35.5,46.4,0,0,0,53.1,0,0,0,0,0,0,0,0
Bryan King,2,273,416,65.6,34.4,52.4,0,0,5.5,34.6,7.5,0,0,0,0,0,0,0
Caleb Ferguson,2,225,352,63.9,36.1,43.3,0,26.5,9.8,0,0,0,0,20.2,0,0,0,0
Dylan Coleman,2,9,16,56.3,43.7,62.5,0,31.3,0,0,0,0,0,0,0,0,0,0
Forrest Whitley,2,55,94,58.5,41.5,5.3,0,5.3,62.8,0,18.1,0,0,4.3,2.1,0,0,0
Héctor Neris,2,155,222,69.8,30.2,46.3,0,0,9.8,3.5,0,0,0,0,40.4,0,0,0
Jake Bloss,2,157,239,65.7,34.3,43.7,0,0,1.7,23.1,13,0,10.5,0,0,8,0,0
Josh Hader,2,779,1168,66.7,33.3,0,0,0,71.5,27.4,0,0,0,0,0,1,0,0
Justin Verlander,2,779,1168,66.7,33.3,48.7,0,0,0,19.3,21.9,0,0,0,0,10.1,0,0
Kaleb Ort,2,242,366,66.1,33.9,55.5,0,18.9,0,0,0,0,17.8,0,0,7.9,0,0
Luis Contreras,2,64,105,61,39,46.7,0,0,0,22.9,21,0,0,0,0,9.5,0,0
Miguel Díaz,2,7,10,70,39,30,0,0,0,0,0,0,0,0,0,50,0,0
Nick Hernandez,2,93,141,66,34,37.4,0,0,0,58.3,0,0,0,0,0,4.3,0,0
Parker Mushinski,2,120,194,61.9,38.1,18.6,0,41.2,9.3,0,21.6,0,9.3,0,0,0,0,0
Rafael Montero,2,406,683,59.4,40.6,45.8,0,0,23.4,7.5,0,0,0,0,0,23.3,0,0
Ryan Pressly,2,631,969,65.1,34.8,33.3,0,0,1.8,28.9,24.9,0,0,0,0,11.1,0,0
Seth Martinez,2,530,839,63.2,36.8,32.6,0,0,21,0,0,0,31.9,0,0,14.6,0,0
Shawn Dubin,2,510,840,60.7,39.3,43.9,0,15.8,0,0,15.8,0,9.3,0,0,15.1,0,0
Tayler Scott,2,729,1204,60.5,39.4,48.5,0,0,5.7,22.1,0,0,0,0,23.7,0,0,0
Wander Suero,2,729,1204,60.5,39.4,0,0,100,0,0,0,0,0,0,0,0,0,0
Yusei Kikuchi,2,636,971,65.5,34.5,47,0,0,0,23.6,18.3,0,0,0,0,11.1,0,0
