Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Joey Estes,1,1400,2027,69.1,30.9,51.7,0,0.7,3.4,13.6,0,0,19.5,0,0,11.1,0,0
JP Sears,1,1865,2858,65.3,34.7,36.3,0,0,10.6,9.8,0,0,24,0,0,19.2,0,0
Luis Medina,1,451,720,62.6,37.4,42.5,0,0,14.3,25.1,10.1,0,0,0,0,7.9,0,0
Mitch Spence,1,1600,2482,64.5,35.5,0,0,39.5,14.6,32.6,12.1,0,0,0,0,1.1,0,0
Aaron Brooks,2,261,403,64.8,35.2,28,0,0,24.3,32.5,1.7,0,0,0,0,13.4,0,0
Alex Wood,2,466,756,61.6,38.4,0,0,0,46.2,31.5,0,0,0,0,0,22.4,0,0
Austin Adams,2,481,805,59.8,40.2,23.9,0,0,2.4,73.8,0,0,0,0,0,0,0,0
Brady Basso,2,223,350,63.7,36.3,46.9,0,18,0,0,20.6,0,0,0,0,12.3,0,0
Brandon Bielak,2,122,200,61,39,22.9,0,0,24.1,15.1,10,0,0,0,0,27.8,0,0
Dany Jiménez,2,275,450,61.1,38.9,37.6,0,0,0,58.4,0,0,0,0,0,4,0,0
Gerardo Reyes,2,48,79,60.8,39.2,53.2,0,7.6,7.6,30.4,0,0,0,0,0,0,0,0
Grant Holman,2,172,292,58.9,41.1,53.1,0,0,0,13.4,0,0,0,0,0,33.6,0,0
Hogan Harris,2,766,1213,63.1,36.9,56.3,0,0,0,11.5,15.7,0,0,0,0,16.5,0,0
J.T. Ginn,2,320,516,62,38,3.5,0,0,51.1,30.9,0,0,0,0,0,14.6,0,0
Jack O'Loughlin,2,109,176,61.9,38.1,50.6,0,0,0,22.2,15.9,0,0,0,0,9.7,0,0
Janson Junk,2,17,33,51.5,48.5,48,0,0,8,24.6,12.6,0,6.9,0,0,0,0,0
Joe Boyle,2,541,966,56,44,59,0,0,0,34.3,3.7,0,3,0,0,0,0,0
Kyle Muller,2,492,727,67.7,32.3,53.4,0,0,0,24.7,14.1,0,0,0,0,7.9,0,0
Mason Miller,2,694,1025,67.7,32.3,63.1,0,0,0,35,0,0,0,0,0.3,1.7,0,0
Michael Kelly,2,309,470,65.7,34.3,31.9,0,0,0.9,13.2,0,0,54,0,0,0,0,0
Michel Otañez,2,378,602,62.8,37.2,41.1,0,0,17.8,41.1,0,0,0,0,0,0,0,0
Osvaldo Bido,2,659,1056,62.4,37.6,39.3,0,14.3,9.9,21.1,0,0,0,0,0,15.2,0,0
Ross Stripling,2,897,1359,66,34,30.3,0,15.9,14.2,13.4,8.6,0,0,0,0,17.6,0,0
Scott Alexander,2,366,568,64.4,35.6,0,0,0,64.5,22.6,0,0,0,0,0,12.9,0,0
Sean Newcomb,2,103,185,55.7,44.3,47.3,0,0,12,0,16.3,0,0,20.7,0,3.8,0,0
T.J. McFarland,2,559,837,66.8,33.2,0.6,0,0,48.6,0,0,0,38.4,0,0,12.3,0,0
Tyler Ferguson,2,536,819,65.4,34.6,38.6,0,12.6,21.9,0,0,0,24.5,0,0,2.4,0,0
Will Klein,2,21,45,46.7,53.3,56.8,0,0,0,13.7,29.5,0,0,0,0,0,0,0
