Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Alek Manoah,1,143,251,394,63.7,36.3,27.7,0,0,27.2,30.5,0,0,0,0,0,14.7,0,0
Chris Bassitt,1,1086,1882,2968,63.4,36.6,4.5,0,19.7,40.7,4.4,13.7,0,7.4,0,4.3,5.3,0,0
José Berríos,1,1005,1911,2916,65.5,34.5,18.3,0,3.5,33.7,0,0,0,0,28.6,0,16,0,0
Kevin Gausman,1,1032,1927,2959,65.1,34.9,51.1,0,0,5.3,8.1,0,0,0,0,32.4,0,0,0
Yariel Rodríguez,1,572,930,1502,61.9,38.1,40.9,0,0,10.8,28.2,10.5,0,0,0,9.6,0,0,0
Yerry Rodríguez,1,31,65,96,67.7,32.3,58,0,0,0,30.8,0,0,0,0,0,11.2,0,0
Bowden Francis,2,509,1052,1561,67.4,32.6,51.3,0,0,2.9,9.2,18.2,0,0,0,18.4,0,0,0
Brandon Eisert,2,45,65,110,59.1,40.9,36.4,0,0,0,40.9,0,0,0,0,0,22.7,0,0
Brendon Little,2,271,426,697,61.1,38.9,0,0,11.2,57,0,31.8,0,0,0,0,0,0,0
Chad Green,2,281,559,840,66.5,33.5,60,0,0,0,39.3,0,0,0,0,0,0,0,0
Dillon Tate,2,26,36,62,58.1,41.9,0,0,0,54.1,0,0,0,33.4,0,0,12.5,0,0
Easton Lucas,2,30,53,83,63.9,36.1,53.7,0,21.1,0,19.1,0,0,0,0,0,5.7,0,0
Erik Swanson,2,241,426,667,63.9,36.1,49.8,0,0,0,19.2,0,0,0,0,30.9,0,0,0
Ernie Clement,2,5,11,16,68.9,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Génesis Cabrera,2,386,645,1031,62.6,37.4,18.4,0,39.3,22.5,0,12,0,0,0,0,7.7,0,0
Jordan Romano,2,75,140,215,65.1,34.9,47.9,0,0,0,52.1,0,0,0,0,0,0,0,0
Jose Cuas,2,30,32,62,51.6,48.4,33.5,0,0,39.8,0,0,0,23.2,0,0,3.4,0,0
Luis Frías,2,36,53,89,59.6,40.4,28.4,0,46.3,9.6,15.7,0,0,0,0,0,0,0,0
Nick Robertson,2,5,7,12,58.3,41.7,44.7,0,0,0,16.6,0,0,14.3,0,0,23,0,0
Paolo Espino,2,61,97,158,61.4,38.6,32.9,0,0,0,0,31.6,0,12,0,0,23.4,0,0
Ryan Burr,2,194,376,570,65.9,34.1,39.5,0,0,0,60.5,0,0,0,0,0,0,0,0
Ryan Yarbrough,2,160,296,456,64.9,35.1,21.5,0,9.9,25.6,0,27.5,0,0,0,0,15.5,0,0
Tommy Nance,2,108,214,322,66.5,33.5,0,0,0,36.3,25.8,37.6,0,0,0,0,0,0,0
Zach Pop,2,270,474,744,63.7,36.3,0,0,12.4,73,14.5,0,0,0,0,0,0,0,0
