name,Rotation,Balls,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Chris Sale,1,925,1893,2818,67.2,32.8,37.8,0,0,7.2,40.3,0,0,0,0,0,14.7,0,0
Reynaldo López,1,737,1380,2117,65.2,34.8,55.2,0,0,0,29.4,11.6,0,0,0,0,3.8,0,0
Spencer Schwellenbach,1,580,1307,1887,69.3,30.7,29.1,0,16.8,6.8,19.9,14.6,0,0,0,12.8,0,0,0
Spencer Strider,1,63,115,178,64.6,35.4,51.1,0,0,0,32,12.4,0,0,0,0,4.5,0,0
A.J. Minter,2,168,354,522,67.8,32.2,47.7,0,34.5,0,0,0,0,0,0,0,17.8,0,0
Aaron Bummer,2,353,622,975,63.8,36.2,10,0,5,39.8,0,2.3,0,41.8,0,0,1.1,0,0
AJ Smith-Shawver,2,32,55,87,63.2,36.8,54,0,0,0,0,20.7,0,0,0,0,25.3,0,0
Allan Winans,2,50,97,147,66,34,15.6,0,0,23.1,19.7,0,0,0,0,0,41.5,0,0
Bryce Elder,2,328,536,864,62,38,12.7,0,0,42.6,31.5,0,0,0,0,0,13.2,0,0
Charlie Morton,2,1031,1764,2795,63.1,36.9,28.9,0,7.8,9.9,0,42.4,0,0,0,0,11,0,0
Darius Vines,2,92,165,257,64.2,35.8,37.7,0,12.5,0,13.2,5.4,0,0,0,0,31.1,0,0
Daysbel Hernández,2,122,208,330,63,37,40.9,0,0,4.8,54.2,0,0,0,0,0,0,0,0
Dylan Dodd,2,12,22,34,64.7,35.3,0,0,20.6,0,23.5,0,0,0,0,0,14.7,0,0
Dylan Lee,2,252,611,863,70.8,29.2,33.2,0,0,0,54.7,0,0,0,0,0,12.1,0,0
Grant Holmes,2,332,692,1024,67.6,32.4,37.3,0,8.2,0,31.8,21.5,0,0,0,0,1.2,0,0
Hurston Waldrep,2,53,80,133,60.2,39.8,39.8,0,0,0,22.6,3.8,0,0,0,33.8,0,0,0
Jackson Stephens,2,15,36,51,70.6,29.4,27.5,0,9.8,25.5,0,23.5,0,0,0,0,9.8,0,0
Jesse Chavez,2,379,666,1045,63.7,36.3,0,0,51.1,26.9,1.6,7,0,0,0,0,13.4,0,0
Jimmy Herget,2,59,130,189,68.8,31.2,17.5,0,0,25.9,10.1,40.2,0,0,0,0,6.3,0,0
Joe Jiménez,2,350,739,1089,67.9,32.1,46.2,0,0,0,49.6,0,0,0,0,0,4.2,0,0
John Brebbia,2,36,73,109,67,33,47.9,0,0,0,51.8,0,0,0,0,0,0,0,0
Luke Jackson,2,134,209,343,60.9,39.1,31.7,0,0.9,0,51.9,15.5,0,0,0,0,0,0,0
Max Fried,2,1009,1757,2766,63.5,36.5,33.6,0,4.7,15.6,5.6,21,0,5.9,0,0,13.6,0,0
Parker Dunshee,2,22,29,51,56.9,43.1,0,0,0,39.2,52.9,7.8,0,0,0,0,0,0,0
Pierce Johnson,2,328,589,917,64.2,35.8,24.1,0,4.3,0,0,71.6,0,0,0,0,0,0,0
Raisel Iglesias,2,291,637,928,68.6,31.4,28.4,0,0,20.2,20.7,0,0,0,0,0,30.7,0,0
Ray Kerr,2,137,246,383,64.2,35.8,44.6,0,0,0,0,47,0,0,0,4.4,0,0,0
Tyler Matzek,2,57,122,179,68.2,31.8,67,0,0,0,32.4,0,0,0,0,0,0,0,0
