Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Aaron Civale,1,439,801,1240,64.6,35.4,9.9,0,32.2,24,1.4,15.6,0,14.9,0,2,0,0,0
Freddy Peralta,1,1204,1866,3070,60.8,39.2,53.9,0,0,0,21.6,7.1,0,0,0,0,17.5,0,0
Robert Gasser,1,116,283,399,70.9,29.1,19.8,0,9.3,24.6,0,0,0,32.1,0,0,14.3,0,0
Tobias Myers,1,734,1419,2153,65.9,34.1,40.1,0,23,0.5,21,4.1,0,0,0,0,11.4,0,0
Aaron Ashby,2,167,317,484,65.5,34.5,1.4,0,0,45.5,13.6,19.2,0,0,0,0,20.2,0,0
Abner Uribe,2,111,147,258,57,43,0,0,0,64.7,34.5,0,0,0,0,0,0,0,0
Bryan Hudson,2,310,619,929,66.6,33.4,52.1,0,24.6,0,0,0,0,23.3,0,0,0,0,0
Bryse Wilson,2,568,1075,1643,65.4,34.6,15,0,34.9,32,0,13.9,0,0,0,0,4.2,0,0
Carlos Rodriguez,2,88,145,233,62.2,37.8,18.5,0,18,21.5,15.5,10.7,0,0,0,0,15.9,0,0
Colin Rea,2,927,1725,2652,65,35,19.3,0,19.4,31.1,0,4.2,0,17.2,0,8.8,0,0,0
Dallas Keuchel,2,140,168,308,54.5,45.5,0,0,14.6,56.8,0,0,0,0,0,0,27.6,0,0
Devin Williams,2,149,242,391,61.9,38.1,53.5,0,1.5,0,0,0,0,0,0,0,45,0,0
DL Hall,2,298,485,783,61.9,38.1,45.3,0,0,0,14.3,19.9,0,0,0,0,20.5,0,0
Elieser Hernández,2,37,55,92,59.8,40.2,43.4,0,28.3,6.8,3.2,0,0,0,0,0,18.3,0,0
Elvis Peguero,2,295,535,830,64.5,35.5,0,0,0,49.3,50.5,0,0,0,0,0,0,0,0
Frankie Montas,2,379,643,1022,62.9,37.1,33.2,0,18.7,19.1,10.7,0,0,0,0,18.3,0,0,0
Hoby Milner,2,368,677,1045,64.8,35.2,21.4,0,0,32,0,0,0,32.9,0,0,13.7,0,0
J.B. Bukauskas,2,33,55,88,62.5,37.5,0,0,0,48.9,51.1,0,0,0,0,0,0,0,0
James Meeker,2,8,8,16,50,50,50,0,37.5,0,0,0,0,0,0,0,0,0,0
Jared Koenig,2,345,674,1019,66.1,33.9,0.6,0,25.2,57.2,0,13.1,0,0,0,0,3.9,0,0
Joe Ross,2,414,784,1198,65.4,34.6,16,0,0,36.6,37.3,1.7,0,0,0,0,8.4,0,0
Joel Payamps,2,316,584,900,64.9,35.1,32.9,0,0,19.1,40.3,0,0,0,0,0,7.7,0,0
Kevin Herget,2,46,105,151,69.5,30.5,47,0,15.9,0,2,0,0,0,0,0,35.1,0,0
Mitch White,2,41,89,130,68.5,31.5,38.7,0,0,13.8,11.4,13.6,0,22.5,0,0,0,0,0
Nick Mears,2,56,142,198,71.7,28.3,60.2,0,0,0,22.6,17.2,0,0,0,0,0,0,0
Rob Zastryzny,2,39,82,121,67.8,32.2,40.3,0,48.7,0,0,0,0,6.7,0,0,4.2,0,0
Trevor Megill,2,216,452,668,67.7,32.3,71.3,0,0,0,0,28.4,0,0,0,0,0,0,0
Tyler Jay,2,22,42,64,65.6,34.4,7.8,0,22.2,52.3,0,0,0,17.6,0,0,0,0,0
Wade Miley,2,47,71,118,60.2,39.8,21.2,0,38.1,15.3,0,2.5,0,0,0,0,20.3,0,0
