Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Andre Pallante,1,754,1227,1981,61.9,38.1,50,0,0,18.6,16.8,12.3,0,0,0,0,0,0,0
Erick Fedde,1,355,565,920,61.4,38.6,0.3,0,32.3,30.8,0,0,0,20.2,0,0,16.4,0,0
Michael McGreevy,1,107,204,311,65.6,34.4,19.6,0,10.9,35,19,6.1,0,0,0,0,9.3,0,0
Miles Mikolas,1,844,1861,2705,68.8,31.2,27.8,0,0,23.1,24.2,12.1,0,4.1,0,0,8.5,0,0
Sonny Gray,1,835,1651,2486,66.4,33.6,23.9,0,17.8,17.8,0,13.9,0,20.1,0,0,6.4,0,0
Adam Kloffenstein,2,5,10,15,66.7,33.3,0,0,0,66.7,0,26.7,0,0,0,0,0,0,0
Andrew Kittredge,2,318,712,1030,69.1,30.9,12.4,0,0.6,37.5,49.4,0,0,0,0,0,0,0,0
Brandon Crawford,2,21,14,35,40,60,40,0,0,0,0,0,0,0,0,0,45.7,0,0
Chris Roycroft,2,212,384,596,64.4,35.6,32.4,0,0,46.6,21,0,0,0,0,0,0,0,0
Giovanny Gallegos,2,154,247,401,61.6,38.4,44.1,0,0,0,49.1,0,0,0,0,0,6.7,0,0
Gordon Graceffo,2,35,70,105,66.7,33.3,41,0,0,0,19,15.2,0,0,0,0,24.8,0,0
John King,2,278,580,858,67.6,32.4,1.5,0,0,58.8,12,0,0,0,0,0,27.7,0,0
JoJo Romero,2,343,578,921,62.8,37.2,9.9,0,0,39.1,33.9,0,0,0,0,0,17.1,0,0
Kyle Gibson,2,1113,1651,2764,59.7,40.3,13.2,0,21.1,26.4,0,8.6,0,20.7,0,0,9.9,0,0
Kyle Leahy,2,239,456,695,65.6,34.4,44.3,0,0,0,25.5,6.3,0,14.7,0,0,9.2,0,0
Lance Lynn,2,766,1274,2040,62.5,37.5,47.2,0,22.3,16.7,0,6.2,0,1.3,0,0,6.3,0,0
Matthew Liberatore,2,453,905,1358,66.6,33.4,28.3,0,12.8,20.4,27.5,6.5,0,0,0,0,4.4,0,0
Riley O'Brien,2,86,108,194,55.7,44.3,2.1,0,0,45.9,25.8,24.7,0,1.5,0,0,0,0,0
Ryan Fernandez,2,468,725,1193,60.8,39.2,40.2,0,10.3,1.3,48.1,0,0,0,0,0,0,0,0
Ryan Helsley,2,288,647,935,69.2,30.8,45.4,0,0,0,48.3,6.2,0,0,0,0,0,0,0
Ryan Loutos,2,16,19,35,54.3,45.7,0,0,0,54.3,0,0,0,42.9,0,0,0,0,0
Steven Matz,2,266,488,754,64.7,35.3,0,0,0,59.8,6.9,7.6,0,0,0,0,25.7,0,0
Zack Thompson,2,112,205,317,64.7,35.3,36,0,0,0,27.8,14.2,0,0,0,22.1,0,0,0
