name,Rotation,Balls,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Jameson Taillon,1,833,1650,2483,66.5,33.5,29.6,0,25.1,10.9,0,14.7,0,15.5,0,0,4.3,0,0
Javier Assad,1,982,1556,2538,61.3,38.7,15.8,0,21.6,35.7,1.7,11.6,0,9,0,0,4.6,0,0
Jordan Wicks,1,318,534,852,62.7,37.3,44.8,0,1.4,13.1,8.7,6.1,0,0,0,0,25.8,0,0
Justin Steele,1,642,1405,2047,68.6,31.4,59.5,0,0,5.3,29.7,2.2,0,0,0,0,3.3,0,0
Shota Imanaga,1,816,1778,2594,68.5,31.5,52,0,0.5,2.1,0,3.3,0,7.7,0,30.6,3.9,0,0
Adbert Alzolay,2,123,206,329,62.6,37.4,20.4,0,7.6,23.7,47.4,0,0,0.3,0,0,0,0,0
Ben Brown,2,294,555,849,65.4,34.6,62.7,0,0,0,0,35.7,0,0,0,0,1.6,0,0
Caleb Kilian,2,62,105,167,62.9,37.1,45.5,0,38.3,2.4,0,4.8,0,7.8,0,0,1.2,0,0
Colten Brewer,2,148,244,392,62.2,37.8,40.4,0,1.8,2,26.9,28.9,0,0,0,0,0,0,0
Daniel Palencia,2,106,158,264,59.8,40.2,56.7,0,0,8,24.3,0,0,0,0,9.9,0,0,0
Drew Smyly,2,371,646,1017,63.5,36.5,0,0,3.3,48,0,48.6,0,0,0,0,0,0,0
Enoli Paredes,2,1,8,9,88.9,11.1,40.4,0,0,21.9,37.6,0,0,0,0,0,0,0,0
Ethan Roberts,2,174,300,474,63.3,36.7,0,0,32.1,8.6,0,0,0,59.3,0,0,0,0,0
Gavin Hollowell,2,10,19,29,65.5,34.5,48.3,0,0,10.3,0,0,0,41.4,0,0,0,0,0
Hayden Wesneski,2,386,691,1077,64.2,35.8,36.5,0,8.8,11.2,0,0,0,40.6,0,0,3,0,0
Jack Neely,2,37,61,98,62.2,37.8,53.1,0,0,0,46.9,0,0,0,0,0,0,0,0
Jorge López,2,114,256,370,69.2,30.8,20,0,0,36.2,18.8,13.2,0,0,0,0,11.8,0,0
Julian Merryweather,2,104,169,273,61.9,38.1,43.8,0,0,0,43,0,0,0,0,0,12.1,0,0
Keegan Thompson,2,210,328,538,61,39,36.1,0,30.5,1.7,0,15.4,0,14.1,0,0,2.2,0,0
Kyle Hendricks,2,754,1381,2135,64.7,35.3,12.7,0,0,35.5,0,13.1,0,0,0,0,38.7,0,0
Luke Little,2,180,259,439,59,41,72.4,0,0,0,0,0,0,26.3,0,1.4,0,0,0
Nate Pearson,2,109,233,342,68.1,31.9,46,0,0,1.7,40.7,11.5,0,0,0,0.1,0,0,0
Porter Hodge,2,243,400,643,62.2,37.8,61.2,0,0,0,0,0,0,37.5,0,1.2,0,0,0
Shawn Armstrong,2,46,79,125,63.2,36.8,33.2,0,31.5,27.1,3,0,0,5.2,0,0,0,0,0
Trey Wingenter,2,42,78,120,65,35,49.7,0,0,0,45.3,0,0,0,0,5,0,0,0
Tyson Miller,2,266,509,775,65.7,34.3,47.3,0,0,3.4,0,3.2,0,43.8,0,0,2.2,0,0
Yency Almonte,2,115,153,268,57.1,42.9,11.2,0,13.1,37.5,0,0,0,35.6,0,0,0,0,0
