Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Landon Knack,1,724,1149,63,37,46.3,0,0,0,22.3,16.2,0,0.7,0,0,14.5,0,0
Tyler Glasnow,1,1309,2012,65.1,34.9,45,0,0,8.7,27.7,18.6,0,0,0,0,0,0,0
Yoshinobu Yamamoto,1,981,1474,66.6,33.4,40.4,0,6.1,2.9,3.3,23.1,0,0,0,24.2,0,0,0
Alex Vesia,2,696,1112,62.6,37.4,63.2,0,0,0,31.7,0,0,0,0,0,5.1,0,0
Anthony Banda,2,510,774,65.9,34.1,35.1,0,0,24.2,28.3,0,0,0,0,0,12.4,0,0
Ben Casparius,2,103,156,66,34,48.7,0,3.8,0,35.9,11.5,0,0,0,0,0,0,0
Blake Treinen,2,490,737,66.5,33.5,11.1,0,16.1,34.2,0,0,0,38.5,0,0,0,0,0
Bobby Miller,2,637,1054,60.4,39.6,37.9,0,0,13.6,9.6,19,0,0,0,0,19.9,0,0
Brent Honeywell,2,342,534,64,36,51.1,0,0,1,21.8,0,0,1.8,0,0,0.3,0,0
Brusdar Graterol,2,67,101,66.3,33.7,14.9,0,11.9,41.6,30.7,0,0,0,0,0,0,0,0
Clayton Kershaw,2,334,504,66.3,33.7,35.1,0,0,0,43.7,16.1,0,0,0,4.2,0.4,0,0
Connor Brogdon,2,11,21,52.4,47.6,43.3,0,20.6,0,0,0,0,0,0,0,36.1,0,0
Daniel Hudson,2,635,999,63.6,36.4,49.5,0,0,5.8,40.9,0,0,0,0,0,3.7,0,0
Dinelson Lamet,2,47,74,63.5,36.5,51.4,0,0,0,45.9,0,0,0,0,0,0,0,0
Edgardo Henriquez,2,37,59,62.7,37.3,64.4,0,35.6,0,0,6.7,0,0,0,0,0,0,0
Evan Phillips,2,601,917,65.5,34.5,36.5,0,14.7,10.1,0,0,0,38.6,0,0,0,0,0
Gavin Stone,2,1406,2153,65.3,34.7,24.7,0,5.3,22.6,14.8,4.2,0,1.7,0,0,26.6,0,0
J.P. Feyereisen,2,115,180,63.9,36.1,47.5,0,0,0,24,0,0,0,0,0,28.5,0,0
Jack Flaherty,2,600,967,62,38,43,0,0,2.1,28.2,21.2,0,0,0,0,2.6,0,0
Joe Kelly,2,348,554,62.8,37.2,24.6,0,0,29,21.7,17.8,0,0,0,0,6.9,0,0
Justin Wrobleski,2,373,593,62.9,37.1,59.1,0,13,4.4,8.3,12,0,0,0,0,3.2,0,0
Kyle Hurt,2,65,87,74.7,25.3,37.9,0,0,4.6,0,2.3,0,0,0,0,54,0,0
Michael Grove,2,527,827,63.7,36.3,1.8,0,16,22.1,53.1,7,0,0,0,0,0,0,0
Michael Kopeck,2,229,367,62.4,37.6,78.4,0,10.5,0,10.9,0,0,0,0,0,0,0,0
Nabil Crismatt,2,66,93,71,29,18.3,0,0,2.2,4.3,5.4,0,0,0,0,69.9,0,0
Nick Ramirez,2,124,194,63.9,36.1,0,0,0,48.5,0,0,0,23.2,0,0,27.3,0,0
River Ryan,2,183,296,61.8,38.2,40,0,3.1,10.2,22.7,15.6,0,0,0,0,8.5,0,0
Ryan Brasier,2,270,375,72,28,29.4,0,12,16.3,42.2,0,0,0,0,0,0,0,0
Walker Buehler,2,846,1336,63.3,36.7,29,0,20.8,16.3,1.3,19.2,0,8.2,0,0,5.2,0,0
Zach Logue,2,34,43,79.1,20.9,74.4,0,4.7,4.7,0,11.6,0,0,0,0,4.7,0,0
