Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Hayden Birdsong,1,820,1388,59.1,40.9,44.6,0,0,0,18.4,18.7,0,0,0,0,18.4,0,0
Keaton Winn,1,586,877,66.8,33.2,25.4,0,0,18.6,13.5,0,0,0,0,39.1,0,0,0
Landen Roupp,1,564,907,62.2,37.8,0,0,0,40.5,4.2,44.1,0,0,0,0,9.4,0,0
Logan Webb,1,2117,3202,66.1,33.9,5.3,0,2.6,39.9,0,0,0,21.2,0,0,30.9,0,0
Mason Black,1,438,663,66.1,33.9,32.1,0,0,28.5,11.8,0,0,25.3,0,0,2.3,0,0
Robbie Ray,1,357,568,62.9,37.1,53,0,0,0,32,15,0,0,0,0,0,0,0
Austin Warren,2,113,173,65.3,34.7,20.2,0,12.7,27.7,39.3,0,0,0,0,0,0,0,0
Blake Snell,2,1110,1774,62.6,37.4,46.4,0,0,0,10,26.1,0,0,0,0,17.5,0,0
Camilo Doval,2,681,1121,60.7,39.3,0,0,34.8,14.2,51.1,0,0,0,0,0,0,0,0
Erik Miller,2,754,1271,59.3,40.7,49.7,0,0,0,16.4,0,0,0,0,0,33.9,0,0
Jordan Hicks,2,1193,1960,60.9,39.1,5.4,0,0,51.5,0,0,0,24.1,0,19.1,0,0,0
Kai-Wei Teng,2,116,204,56.9,43.1,5.9,0,0,44.1,10.8,18.6,0,17.2,0,0,0,0,0
Kyle Harrison,2,1330,2078,64,36,57.7,0,0,0,0.3,0,0,0,22.3,0,19.7,0,0
Nick Avila,2,144,225,64,36,34.7,0,31.1,12.9,4,17.3,0,0,0,0,0,0,0
Randy Rodríguez,2,571,879,65,35,47.3,0,0,7.3,39.8,0,0,0,0,0,5.6,0,0
Raymond Burgos,2,14,25,56,44,12,0,0,48,0,0,0,16,0,0,24,0,0
Ryan Walker,2,821,1221,67.2,32.8,0.5,0,0,54.7,44.7,0,0,0,0,0,0,0,0
Sean Hjelle,2,822,1209,68,32,0,0,10.6,55,0,34.4,0,0,0,0,0,0,0
Spencer Bivens,2,498,768,64.8,35.2,6.1,0,9.9,46.6,0,0,0,23.8,0,0,13.5,0,0
Taylor Rogers,2,699,1082,64.6,35.4,0.8,0,0,63.7,35.5,0,0,47.2,0,0,0,0,0
Trevor McDonald,2,26,39,66.7,33.3,7.7,0,0,43.6,38.5,0,0,0,0,0,10.3,0,0
Tristan Beck,2,165,242,68.2,31.8,50.4,0,0,0,14.5,19.8,0,15.3,0,0,0,0,0
