name,Rotation,Balls,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Ben Lively,1,835,1574,2409,65.3,34.7,31.4,0,0,29,4.9,8.8,0,16.9,0,0,9.1,0,0
Gavin Williams,1,488,880,1368,64.3,35.7,51.5,0,12,0,11.3,19.8,0,0,0,0,5.4,0,0
Tanner Bibee,1,963,1890,2853,66.2,33.8,43.4,0,24.5,0.3,6.9,6.9,0,0,0,0,18,0,0
Alex Cobb,2,91,151,242,62.4,37.6,0,0,0,43,0,13.2,0,0,0,43.8,0,0,0
Andrew Walters,2,49,84,133,63.2,36.8,62.9,0,0,0,37.1,0,0,0,0,0,0,0,0
Anthony Gose,2,26,53,79,67.1,32.9,55.7,0,0,0,44.3,0,0,0,0,0,0,0,0
Cade Smith,2,365,801,1166,68.7,31.3,69.1,0,0,0,0,0,0,10.2,0,20.7,0,0,0
Carlos Carrasco,2,596,1097,1693,64.8,35.2,25.8,0,0,16.5,24.3,6.9,0,3.2,0,0,23.3,0,0
Connor Gillispie,2,55,83,138,60.1,39.9,42,0,21.7,0,13.8,0,0,0,0,0,22.5,0,0
Eli Morgan,2,204,443,647,68.5,31.5,40.2,0,0,0,36.1,0,0,0,0,0,23.7,0,0
Emmanuel Clase,2,282,702,984,71.3,28.7,1.2,0,77.8,0,20.5,0,0,0,0,0,0,0,0
Erik Sabrowski,2,68,130,198,65.7,34.3,57.6,0,0,0,16.7,25.8,0,0,0,0,0,0,0
Hunter Gaddis,2,340,735,1075,68.4,31.6,38.3,0,0,0,44.8,0,0,0,0,0,16.8,0,0
Joey Cantillo,2,276,435,711,61.2,38.8,48.8,0,0,0,8.4,15.2,0,0,0,0,27.6,0,0
Logan Allen,2,624,1041,1665,62.5,37.5,48.4,0,14.6,0,0,0,0,18.7,0,0,18.3,0,0
Matthew Boyd,2,235,434,669,64.9,35.1,38.3,0,0,10.2,17.3,8.1,0,0,0,0,26.2,0,0
Nick Sandlin,2,390,614,1004,61.2,38.8,29.5,0,0,9.2,34.8,0,0,0,0,26.5,0,0,0
Pedro Avila,2,484,813,1297,62.7,37.3,39.2,0,0,12.3,6.8,16.1,0,3.7,0,0,22,0,0
Peter Strzelecki,2,75,117,192,60.9,39.1,42.2,0,13,7.3,17.7,0,0,0,0,0,19.8,0,0
Sam Hentges,2,112,239,351,68.1,31.9,30.8,0,0,16,21.4,31.9,0,0,0,0,0,0,0
Scott Barlow,2,420,603,1023,58.9,41.1,20.5,0,0,13.4,45.1,21,0,0,0,0,0,0,0
Shane Bieber,2,56,110,166,66.3,33.7,41.6,0,9.6,0,24.7,10.8,0,0,0,0,13.3,0,0
Spencer Howard,2,41,80,121,66.1,33.9,51,0,0,0,25.1,6.9,0,0,0,0,16.9,0,0
Tim Herrin,2,345,666,1011,65.9,34.1,24.5,0,0,12.6,27.6,35.3,0,0,0,0,0,0,0
Triston McKenzie,2,534,774,1308,59.2,40.8,52.4,0,0,0,21,26.6,0,0,0,0,0,0,0
Tyler Beede,2,103,167,270,61.9,38.1,29.4,0,0,7.5,0,23.4,0,0,0,39.6,0,0,0
Wes Parsons,2,18,42,60,70,30,37.2,0,0,15.5,20.3,21.6,0,0,0,0,5.4,0,0
