Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Braxton Garrett,1,198,391,589,66.4,33.6,14.1,0,9.2,33.3,26.5,4.4,0,0,0,0,12.4,0,0
Edward Cabrera,1,670,1064,1734,61.4,38.6,27.4,0,0,9.2,8.5,21.7,0,0,0,0,33.2,0,0
Jesús Luzardo,1,390,694,1084,64,36,39.4,0,0,8.3,29.2,0,0,0,0,0,22.9,0,0
Max Meyer,1,371,597,968,61.7,38.3,39.4,0,0,2.1,40.7,0,0,0,0,0,17.9,0,0
Ryan Weathers,1,528,887,1415,62.7,37.3,39.7,0,0,12.1,0.9,0,0,21.3,0,0,26,0,0
Valente Bellozo,1,417,678,1095,61.9,38.1,37.4,0,25.3,0,0,12.5,0,10.3,0,0,14.4,0,0
Adam Oller,2,284,427,711,60.1,39.9,51.4,0,0,0,0.8,14.9,0,0,25.8,0,7,0,0
Andrew Nardi,2,316,590,906,65.1,34.9,60.8,0,0,0,38.4,0,0,0,0,0,0.8,0,0
Anthony Bender,2,339,616,955,64.5,35.5,4.1,0,0,45.2,0,0,0,46.9,0,0,3.9,0,0
Anthony Maldonado,2,109,188,297,63.3,36.7,0,0,0,34.3,62,0,0,0,0,0,0,0,0
Anthony Veneziano,2,64,133,197,67.5,32.5,47.1,0,0,0,23.6,0,0,23.1,0,0,6.2,0,0
Austin Kitchen,2,56,102,158,64.6,35.4,13.9,0,0,34.2,0,11.4,0,22.8,0,0,17.7,0,0
Calvin Faucher,2,398,591,989,59.8,40.2,0,0,38.1,33.2,0,21.8,0,6.9,0,0,0,0,0
Darren McCaughan,2,204,388,592,65.5,34.5,19.5,0,0,31.5,0,0,0,38,0,0,11.1,0,0
David Hensley,2,12,14,26,53.8,46.2,0,0,0,0,0,3.8,0,0,0,0,0,0,0
Declan Cronin,2,392,705,1097,64.3,35.7,7.2,0,0,40.6,51.6,0,0,0,0,0,0,0,0
Eli Villalobos,2,32,39,71,54.9,45.1,53.5,0,0,0,31,0,0,0,0,15.5,0,0,0
Emmanuel Ramirez,2,145,226,371,60.9,39.1,53.4,0,0,0,9.7,0,0,0,0,36.9,0,0,0
George Soriano,2,191,329,520,63.3,36.7,43,0,0,0,39.5,0,0,0,0,0,17.5,0,0
Jesus Tinoco,2,118,265,383,69.2,30.8,12.7,0,0.2,31.1,52.3,0,0,0,0,0,3.7,0,0
John McMillon,2,65,115,180,63.9,36.1,38.9,0,0,0,60.6,0,0,0,0,0,0,0,0
Jonathan Bermúdez,2,51,71,122,58.2,41.8,49.6,0,0,0,9.9,0,0,28.9,0,0,11.6,0,0
Kent Emanuel,2,112,190,302,62.9,37.1,0,0,0,58.3,0,0,0,28.5,0,0,12.9,0,0
Kyle Tyler,2,236,345,581,59.4,40.6,14.5,0,44.8,0,11.2,28.4,0,0,0,0,0,0,0
Lake Bachar,2,65,96,161,59.6,40.4,47.8,0,0,0,31.1,0,0,0,0,0,21.1,0,0
Matt Andriese,2,24,65,89,73,27,40.9,0,27.3,15.9,0,14.8,0,0,0,0,0,0,0
Michael Petersen,2,34,60,94,63.8,36.2,65.6,0,31.1,0,0.6,0,0,0,0,0,2.8,0,0
Mike Baumann,2,104,178,282,63.1,36.9,40.5,0,0,0.3,23.8,33.5,0,0,0,0,1.9,0,0
Roddery Muñoz,2,582,904,1486,60.8,39.2,26.9,0,21.2,22.8,19.8,0,0,0,0,0,9.3,0,0
Shaun Anderson,2,53,135,188,71.8,28.2,30.3,0,0,13.1,37.3,0,0,7.8,0,0,11.5,0,0
Sixto Sánchez,2,225,397,622,63.8,36.2,29.8,0,34,4.8,0,0,0,0,0,0,31.4,0,0
Vidal Bruján,2,24,31,55,56.4,43.6,0,0,0,0,0,9.1,0,0,0,0,0,0,0
Vladimir Gutierrez,2,33,47,80,58.8,41.2,33.8,0,0,0,28.7,11.3,0,0,0,0,26.3,0,0
Xzavion Curry,2,84,160,244,65.6,34.4,49.5,0,0,0,34.4,13.9,0,0,0,0.8,1.4,0,0
Yonny Chirinos,2,178,338,516,65.5,34.5,16.5,0,0,29.7,39,0,0,0,0,14.8,0,0,0
