name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
David Peterson,1,667,1208,1875,64.4,35.6,26.5,0,0,31,18.4,7.6,0,0,0,0,16.4,0,0
Kodai Senga,1,21,52,73,71.2,28.8,39.7,0,15.1,0,4.1,1.4,0,0,0,32.9,0,0,0
Paul Blackburn,1,153,255,408,62.5,37.5,19.5,0,22,13.6,16.7,10.1,0,0,0,0,18.1,0,0
Adam Ottavino,2,352,654,1006,65,35,9.9,0,10.7,33.9,2.3,0,0,38.3,0,0,5,0,0
Adrian Houser,2,420,711,1131,62.9,37.1,16.8,0,0,44.5,17.3,8.7,0,0,0,0,12.7,0,0
Alex Young,2,95,141,236,59.7,40.3,0.7,0,0,38.2,0.4,14.2,0,0,0,0,46.4,0,0
Brooks Raley,2,42,77,119,64.7,35.3,0,0,24.4,0,0,0,0,47.9,0,0,18.5,0,0
Christian Scott,2,279,509,788,64.6,35.4,52.9,0,0,0,17.9,0,0,18.8,0,10.4,0,0,0
Danny Young,2,278,419,697,60.1,39.9,0,0,0.6,47.2,0,0,0,52.2,0,0,0,0,0
Dedniel Núñez,2,142,380,522,72.8,27.2,47.6,0,0,2.5,48.9,0.2,0,0,0,0,0.8,0,0
Drew Smith,2,113,215,328,65.5,34.5,43.6,0,26.8,2.7,14,7.6,0,0,0,0,5.2,0,0
Eddy Alvarez,2,5,8,13,61.5,38.5,0,0,0,0,61.5,23.1,0,0,0,0,15.4,0,0
Edwin Díaz,2,333,581,914,63.6,36.4,52.1,0,0,0,47.9,0,0,0,0,0,0,0,0
Eric Orze,2,18,24,42,57.1,42.9,42.9,0,0,0,0,0,0,0,0,0,47.6,0,0
Grant Hartwig,2,56,62,118,52.5,47.5,4.2,0,21.2,34.7,0,0,0,33.1,0,0,6.8,0,0
Huascar Brazobán,2,161,242,403,60,40,21.8,0,24.9,24.6,0,0,0,0,0,0,28.7,0,0
Jake Diekman,2,249,378,627,60.3,39.7,61.2,0,0,0.2,0,0,0,28.9,0,0,9.7,0,0
Joey Lucchesi,2,78,102,180,56.7,43.3,0,0,26.8,45.3,0,27.4,0,0,0,0,0,0,0
José Buttó,2,514,709,1223,58,42,31.5,0,0,23,12.9,0,0,10.5,0,0,22.1,0,0
Jose Quintana,2,1150,1676,2826,59.3,40.7,22.5,0,0,30.4,0,21.9,0,0,6,0,19.3,0,0
Josh Walker,2,78,137,215,63.7,36.3,34,0,0,27.9,0,38.1,0,0,0,0,0,0,0
Julio Teheran,2,31,37,68,54.4,45.6,0,0,29.4,42.6,0,11.8,0,0,0,0,8.8,0,0
Luis Severino,2,1007,1885,2892,65.2,34.8,35.5,0,8.1,24.8,7,0,0,17.2,0,0,7.5,0,0
Phil Maton,2,167,303,470,64.5,35.5,0,0,35.5,9.3,4,28.8,0,22.4,0,0,0,0,0
Reed Garrett,2,375,605,980,61.7,38.3,16.5,0,23.7,12.8,0,0,0,19.9,0,27.1,0,0,0
Ryne Stanek,2,104,179,283,63.3,36.7,60,0,0,2,16.6,0,0,0,0,21.4,0,0,0
Sean Manaea,2,1050,1947,2997,65,35,11.3,0,7.1,44.7,5.9,0,0,19.2,0,0,11.8,0,0
Sean Reid-Foley,2,145,240,385,62.3,37.7,67.3,0,0,0,12.5,0,0,0,0,0,19.7,0,0
Ty Adcock,2,32,55,87,63.2,36.8,38.4,0,27.9,0,33.7,0,0,0,0,0,0,0,0
Tylor Megill,2,496,871,1367,63.7,36.3,46.7,0,14.3,9.8,10.9,7.6,0,1.6,0,7.5,1.5,0,0
