name,Rotation,Balls,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
DJ Herz,1,567,1020,1587,64.3,35.7,54.2,0,0,0,17.9,3.3,0,0,0,0,24.5,0,0
Jackson Rutledge,1,49,90,139,64.7,35.3,15.1,0,15.8,33.8,23.7,2.9,0,0,0,8.6,0,0,0
Jake Irvin,1,1061,1985,3046,65.2,34.8,37.9,0,6.5,20.5,0.3,31.3,0,0,0,0,3.5,0,0
Josiah Gray,1,66,110,176,62.5,37.5,22.2,0,24.4,9.7,11.9,10.8,0,10.8,0,0,10.2,0,0
MacKenzie Gore,1,1074,1921,2995,64.1,35.9,55.3,0,0,0,14.3,19.6,0,1.6,0,0,9.3,0,0
Mitchell Parker,1,799,1605,2404,66.8,33.2,48.6,0,0,0,9.8,22.5,0,0,0,19.1,0,0,0
Amos Willingham,2,7,13,20,65,35,65,0,20,0,15,0,0,0,0,0,0,0,0
Derek Law,2,483,888,1371,64.8,35.2,13.6,0,37.9,9.8,30,3.6,0,0,0,0,5.1,0,0
Eduardo Salazar,2,178,273,451,60.5,39.5,6.9,0,0,49.8,42.7,0,0,0,0,0,0.4,0,0
Ildemaro Vargas,2,9,14,23,60.9,39.1,0,0,0,0,0,13,0,0,0,0,0,0,0
Jacob Barnes,2,415,703,1118,62.9,37.1,47.2,0,49.1,0,3.7,0,0,0,0,0,0,0,0
Joan Adon,2,68,110,178,61.8,38.2,37.1,0,0,21.3,10.7,11.8,0,0,0,0,19.1,0,0
Jordan Weems,2,269,465,734,63.4,36.6,61.5,0,0,0,34.9,0.8,0,0,0,2.7,0,0,0
Kyle Finnegan,2,349,729,1078,67.6,32.4,67.6,0,0,0,5.6,0,0,0,0,26.8,0,0,0
Matt Barnes,2,99,138,237,58.2,41.8,39.2,0,0,0,0,43.5,0,0,0,17.3,0,0,0
Orlando Ribalta,2,33,64,97,66,34,46.4,0,0,0,19.6,0,0,0,0,0,34,0,0
Patrick Corbin,2,1057,1831,2888,63.4,36.6,7.6,0,19.2,33.8,34.3,1.7,0,0,0,0,3.4,0,0
Robert Garcia,2,290,658,948,69.4,30.6,52.9,0,0,0,16,0,0,0,0,0,31.2,0,0
Tanner Rainey,2,355,584,939,62.2,37.8,70.9,0,0,0,27.7,0,0,0,0,0,1.4,0,0
Trevor Williams,2,397,667,1064,62.7,37.3,36.4,0,0,12.1,13.5,0,0,21.1,0,0,16.8,0,0
Zach Brzykcy,2,38,67,105,63.8,36.2,55.8,0,0,0,0,23.1,0,0,0,0,21.2,0,0
