name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Aaron Nola,1,1101,2092,3193,65.5,34.5,27.8,0,9.2,20.4,0,32.9,0,0,0,0,9.6,0,0
Cristopher Sánchez,1,902,1896,2798,67.8,32.2,0,0,0,47.3,16.9,0,0,0,0,0,35.7,0,0
Ranger Suárez,1,830,1525,2355,64.8,35.2,19.5,0,12.1,31.5,0.1,20.5,0,0,0,0,16.3,0,0
Taijuan Walker,1,543,892,1435,62.2,37.8,12.5,0,9.4,27.5,0,10.8,0,17.8,0,21.9,0,0,0
Zack Wheeler,1,1079,2057,3136,65.6,34.4,41.4,0,9.6,19,0,10.1,0,12.5,0,7.3,0,0,0
Carlos Estévez,2,112,231,343,67.3,32.7,61.1,0,0,0,28.1,0,0,0,0,0,10.4,0,0
Jeff Hoffman,2,333,669,1002,66.8,33.2,39.1,0,0,8.2,40.8,0,0,0,0,12,0,0,0
José Alvarado,2,405,651,1056,61.6,38.4,0,0,40.3,59.4,0,0.3,0,0,0,0,0,0,0
José Ruiz,2,289,546,835,65.4,34.6,27.8,0,0,23.8,4,41.2,0,0,0,0,3.2,0,0
Kolby Allard,2,148,288,436,66.1,33.9,40.1,0,17.4,6,0,12.2,0,0,0,0,24.3,0,0
Matt Strahm,2,298,685,983,69.7,30.3,54.1,0,11.8,14.6,19.5,0,0,0,0,0,0,0,0
Max Lazar,2,74,140,214,65.4,34.6,61.2,0,16.8,0,0,21.5,0,0,0,0,0,0,0
Michael Mercado,2,102,158,260,60.8,39.2,47.3,0,25.4,0,0,22.3,0,0,0,0,5,0,0
Nick Nelson,2,34,62,96,64.6,35.4,27.1,0,0,29.2,24,0,0,0,0,0,17.7,0,0
Orion Kerkering,2,379,708,1087,65.1,34.9,29.2,0,0,15.2,0,0,0,55.7,0,0,0,0,0
Ricardo Pinto,2,88,133,221,60.2,39.8,7.7,0,0,44.5,10.9,0,0,6.8,0,30,0,0,0
Seth Johnson,2,21,37,58,63.8,36.2,48.3,0,0,0,29.3,10.3,0,0,0,0,12.1,0,0
Spencer Turnbull,2,363,557,920,60.5,39.5,34.8,0,0,12.3,5.3,9,0,33.2,0,0,5.3,0,0
Tanner Banks,2,137,255,392,65.1,34.9,30.9,0,0,8.4,32.9,14.9,0,0,0,0,12.9,0,0
Tyler Gilbert,2,46,99,145,68.3,31.7,32.4,0,13.1,36.6,0,2.1,0,15.2,0,0,0,0,0
Tyler Phillips,2,195,383,578,66.3,33.7,18.7,0,0,31.1,0,14.4,0,29.2,0,0,6.6,0,0
Yunior Marte,2,195,290,485,59.8,40.2,16,0,0.8,35.3,41.7,0,0,0,0,6.2,0,0,0
