name,Rotation,Balls,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Bailey Falter,1,727,1413,2140,66,34,48.5,0,0,14.2,21.6,15.2,0,0,0,0.6,0,0,0
Jared Jones,1,636,1276,1912,66.7,33.3,49.3,0,0,0,34.8,9.3,0,0,0,0,6.6,0,0
Mitch Keller,1,962,1890,2852,66.3,33.7,30.3,0,12.2,22,9.5,9.6,0,15.5,0,0,0.7,0,0
Paul Skenes,1,721,1406,2127,66.1,33.9,39.2,0,0,28.4,6.1,10.8,0,10.1,0,0,5.4,0,0
Aroldis Chapman,2,418,712,1130,63,37,34.2,0,0,27.2,26.6,0,0,0,0,12,0,0,0
Ben Heller,2,102,153,255,60,40,13.3,0,20.4,23.5,16.9,0,0,4.3,0,0,21.6,0,0
Brady Feigl,2,15,29,44,65.9,34.1,63.6,0,0,0,0,25,0,0,0,0,11.4,0,0
Carmen Mlodzinski,2,318,549,867,63.3,36.7,39.8,0,20,0,27.9,0,0,11.9,0,0,0.3,0,0
Colin Holderman,2,335,535,870,61.5,38.5,0.7,0,25.7,26,0,0,0,47.6,0,0,0,0,0
Daulton Jefferies,2,52,120,172,69.8,30.2,8.5,0,14.6,37.4,24.6,0,0,0,0,0,14.9,0,0
David Bednar,2,354,672,1026,65.5,34.5,55.5,0,0,0,0,20.4,0,0,0,24,0,0,0
Dennis Santana,2,221,460,681,67.5,32.5,26.2,0,19.2,13.4,32.8,0,0,0,0,0,8.4,0,0
Domingo Germán,2,140,233,373,62.5,37.5,39.9,0,0,4.3,0,33.2,0,0,0,0,22.5,0,0
Hunter Stratton,2,193,394,587,67.1,32.9,36.8,0,37,1.2,25,0,0,0,0,0,0,0,0
Isaac Mattson,2,38,62,100,62,38,70,0,0,0,0,0,0,0,0,0,23,0,0
Jake Woodford,2,170,275,445,61.8,38.2,3.2,0,19.1,44.5,0,0,0,28.2,0,0,5,0,0
Jalen Beeks,2,141,218,359,60.7,39.3,55.6,0,17.8,0,0,1,0,0,0,0,25.5,0,0
Joey Wentz,2,88,129,217,59.4,40.6,36.5,0,31.4,0,0,13,0,0,0,0,19.1,0,0
Josh Fleming,2,207,327,534,61.2,38.8,0,0,25.5,37.6,0,6.2,0,0,0,0,30,0,0
Justin Bruihl,2,27,72,99,72.7,27.3,0,0,28.3,30.3,0,0,0,41.4,0,0,0,0,0
Kyle Nicolas,2,379,571,950,60.1,39.9,55.1,0,0,0,22.4,22.5,0,0,0,0,0,0,0
Marco Gonzales,2,174,372,546,68.1,31.9,31.5,0,23.8,9.2,0,10.1,0,0,0,0,25.5,0,0
Mike Burrows,2,27,41,68,60.3,39.7,54.4,0,0,0,8.8,10.3,0,0,0,0,26.5,0,0
Ryan Borucki,2,61,113,174,64.9,35.1,0,0,0,24.7,52.3,0,0,10.3,0,0,12.6,0,0
Ryder Ryan,2,116,228,344,66.3,33.7,14.1,0,0,41.8,43.8,0,0,0,0,0,0,0,0
