Name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Cody Bradford,1,801,1176,68.1,31.9,52.3,0,0.7,0,7,12.8,0,0,0,0,27.3,0,0
Jacob deGrom,1,117,172,68,32,45.9,0,0,0,45.3,0,0,0,0,0,5.8,0,0
Jon Gray,1,1087,1631,66.6,33.4,44.4,0,0,0,43.9,4.6,0,0,0,0,7.1,0,0
Tyler Mahle,1,150,229,65.5,34.5,52.8,0,0,0,13.5,0,0,0,0,30.1,0,0,0
Kumar Rocker,1,138,218,63.3,36.7,42.2,0,0,17,38.5,0,0,0,0,0,0,0,0
Chase Anderson,2,81,132,61.4,38.6,14.9,0,33.9,1.7,0,4,0,15.2,0,0,30.4,0,0
Grant Anderson,2,309,483,64,36,27.5,0,0,24,41,0,0,0,0,0,7.5,0,0
Andrew Chafin,2,196,350,56,44,16.6,0,0,37.5,45.8,0,0,0,0,0,0,0,0
Marc Church,2,12,15,80,20,46.7,0,0,0,53.3,0,0,0,0,0,0,0,0
Dane Dunning,2,1061,1689,62.8,37.2,2.8,0,18.8,37.7,23.4,4.7,0,0,0,0,12.5,0,0
Nathan Eovaldi,2,1778,2623,67.8,32.2,37.4,0,14.8,0,3.3,13.7,0,0,0,30.8,0,0,0
Matt Festa,2,246,359,68.5,31.5,40,0,26.5,0,0,0,0,33.2,0,0,0,0,0
Gerson Garabito,2,305,492,62,38,39.2,0,0,10.4,4.9,33.9,0,0,0,0,11.6,0,0
Andrew Heaney,2,1791,2735,65.5,34.5,50.1,0,0.1,1.4,27.8,3.6,0,0,0,0,17,0,0
Jacob Latz,2,499,815,61.2,38.8,49.4,0,0,0,22.9,5,0,0,0,0,22.6,0,0
José Leclerc,2,740,1204,61.5,38.5,34.8,0,15.7,7.1,32.2,0,0,0,0,0,10.2,0,0
Jack Leiter,2,422,669,63.1,36.9,51.9,0,1.8,0,29.1,11.4,0,0,0,0,5.8,0,0
Walter Pennington,2,197,322,61.2,38.8,0,0,27,29.7,40.9,0,0,0,0,0,0,0,0
Austin Pruitt,2,45,78,57.7,42.3,26.9,0,0,15.4,34.6,10.3,0,0,0,0,12.8,0,0
Daniel Robert,2,62,104,59.6,40.4,45.6,0,0,0,2.9,0,0,48.5,0,0,0,0,0
David Robertson,2,773,1212,63.8,36.2,0,0,63.4,1.4,6.7,26.8,0,0,0,0,1.7,0,0
Josh Sborz,2,192,284,67.6,32.4,45.8,0,0,0,31.3,22.9,0,0,0,0,0,0,0
Max Scherzer,2,460,670,68.7,31.3,43.9,0,6.1,0,22.1,13.9,0,0,0,0,13.9,0,0
José Ureña,2,1088,1761,61.8,38.2,6.3,0,0,40.9,34.1,0,0,0,0,0,18.6,0,0
Owen White,2,47,69,68.1,31.9,49.3,0,11.6,0,14.5,14.5,0,0,0,0,5.8,0,0
Cole Winn,2,195,286,68.2,31.8,42.3,0,0,7.3,26.6,0,0,0,0,21,0,0,0
Kirby Yates,2,661,1028,64.3,35.7,60.7,0,0,0,0,0,0,0,0,38.7,0,0,0
