name,Rotation,Balls,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Jacob Waguespack,1,91,130,221,58.8,41.2,38.9,0,35.3,0,0,14,0,0,0,0,11.8,0,0
Jeffrey Springs,1,204,361,565,63.9,36.1,42.3,0,0,0,20.4,0,0,3.2,0,0,31.7,0,0
Ryan Pepiot,1,774,1376,2150,64,36,50.6,0,6,0,17.3,2.7,0,0,0,0,23.5,0,0
Shane Baz,1,419,788,1207,65.3,34.7,47.9,0,0,0,21.3,20.5,0,0,0,0,10.3,0,0
Taj Bradley,1,813,1483,2296,64.6,35.4,41.7,0,22.5,0,0,8.9,0,0,0,26.9,0,0,0
Zack Littell,1,808,1680,2488,67.5,32.5,22.1,0,0,14.8,34.8,0,0,5.1,0,23.2,0,0,0
Ben Rortvedt,2,19,17,36,47.2,52.8,0,0,0,0,0,0,0,0,0,0,13.9,0,0
Chris Devenski,2,201,333,534,62.4,37.6,31,0,13.9,0,0,0,0,7.7,0,0,47.5,0,0
Cole Sulser,2,74,124,198,62.6,37.4,49,0,17.1,0,8.2,0,0,0,0,0,25.7,0,0
Colin Poche,2,204,339,543,62.4,37.6,68.1,0,0,0,31.9,0,0,0,0,0,0,0,0
Drew Rasmussen,2,148,312,460,67.8,32.2,37.7,0,27.7,29.2,0,0,0,5.4,0,0,0,0,0
Edwin Uceta,2,223,451,674,66.9,33.1,40.2,0,21.3,0,0,0.6,0,3.9,0,0,34.1,0,0
Erasmo Ramírez,2,108,194,302,64.2,35.8,4.3,0,39.7,39.4,0,9.9,0,0,0,0,6.6,0,0
Garrett Cleavinger,2,384,673,1057,63.7,36.3,24.8,0,26.3,9.5,22,0,0,17.4,0,0,0,0,0
Hunter Bigge,2,82,147,229,64.2,35.8,59,0,0,0,29.7,7,0,4.3,0,0,0,0,0
Jacob Lopez,2,78,100,178,56.2,43.8,42.1,0,12.9,0,37.6,0,0,0,0,0,7.3,0,0
Joel Kuhnel,2,36,71,107,66.4,33.6,27.8,0,0,17.1,41.1,0,0,0,0,0,12,0,0
Justin Sterner,2,22,42,64,65.6,34.4,64.1,0,34.4,0,0,0,0,1.6,0,0,0,0,0
Kevin Kelly,2,326,707,1033,68.4,31.6,2.2,0,8.4,61.5,0,0,0,27.8,0,0,0,0,0
Manuel Rodríguez,2,216,389,605,64.3,35.7,22.5,0,0,30.9,46,0,0,0.7,0,0,0,0,0
Mason Montgomery,2,58,101,159,63.5,36.5,72.8,0,0,0,27.2,0,0,0,0,0,0,0,0
Pete Fairbanks,2,240,456,696,65.5,34.5,52.2,0,0,0,44.8,0,0,0,0,0,3,0,0
Richard Lovelady,2,145,276,421,65.6,34.4,19.7,0,0,34.3,46,0,0,0,0,0,0,0,0
Tyler Alexander,2,523,1146,1669,68.7,31.3,22.3,0,31.8,13.1,0.3,0,0,18.8,0,0,13.7,0,0
Tyler Zuber,2,32,43,75,57.3,42.7,42.7,0,21.3,0,0,0,0,36,0,0,0,0,0
