name,Rotation,Balls,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Andrew Abbott,1,843,1490,2333,63.9,36.1,53.5,0,0,0,0.2,11.6,0,18.3,0,0,16.3,0,0
Carson Spiers,1,540,1014,1554,65.3,34.7,29.9,0,16,17.5,0.8,0,0,23.7,0,0,12.1,0,0
Graham Ashcraft,1,499,843,1342,62.8,37.2,0,0,47.9,17.2,31.9,0,0,0,0,0,3,0,0
Hunter Greene,1,916,1647,2563,64.3,35.7,55.2,0,0,0,34.6,1.8,0,0,0,8.3,0,0,0
Nick Lodolo,1,678,1187,1865,63.6,36.4,43,0,0,13.3,0,27.3,0,0,0,0,16.4,0,0
Nick Martinez,1,691,1435,2126,67.5,32.5,22.4,0,20.3,17.6,6.1,11.9,0,0,0,0,21.6,0,0
Rhett Lowder,1,188,310,498,62.2,37.8,27.3,0,0,25.9,27.3,0,0,0,0,0,19.5,0,0
Alan Busenitz,2,28,47,75,62.7,37.3,21.3,0,20,22.7,0,12,0,17.3,0,0,6.7,0,0
Alexis Díaz,2,377,600,977,61.4,38.6,57.9,0,0,0,42.1,0,0,0,0,0,0,0,0
Brandon Leibrandt,2,39,78,117,66.7,33.3,26.5,0,0,6,27.4,0,0,0,0,0,32.5,0,0
Brandon Williamson,2,101,155,256,60.5,39.5,25,0,45.7,0,0,7,0,0,0,0,21.9,0,0
Brent Suter,2,355,667,1022,65.3,34.7,42.9,0,0,21,16.3,0,0,0,0,0,19.8,0,0
Buck Farmer,2,426,745,1171,63.6,36.4,19.8,0,0,24.3,34.8,0,0,0,0,0,20.9,0,0
Casey Kelly,2,26,52,78,66.7,33.3,25.6,0,0,16.7,25.6,11.5,0,0,0,0,20.5,0,0
Casey Legumina,2,52,114,166,68.7,31.3,50,0,0,0,22.9,0,0,0,0,0,26.5,0,0
David Buchanan,2,25,33,58,56.9,43.1,1.7,0,34.5,25.9,0,12.1,0,0,0,0,25.9,0,0
Emilio Pagán,2,185,409,594,68.9,31.1,57.8,0,27.2,0,0,0,0,0,0,15,0,0,0
Evan Kravetz,2,2,2,4,50,50,50,0,0,0,0,0,0,0,0,25,0,0,0
Fernando Cruz,2,431,708,1139,62.2,37.8,32.5,0,25.6,0,0,0,0,0,0,41.9,0,0,0
Ian Gibaut,2,13,27,40,67.5,32.5,40,0,35,0,0,0,0,15,0,0,7.5,0,0
Jakob Junis,2,182,398,580,68.6,31.4,10,0,0.2,36.2,45.3,0,0,0,0,0,8.4,0,0
Julian Aguiar,2,193,338,531,63.7,36.3,0,0,0,54,17.9,9.2,0,0,0,0,18.9,0,0
Justin Wilson,2,264,554,818,67.7,32.3,49.5,0,24,0,25.4,0,0,0,0,1.1,0,0,0
Luke Maile,2,21,44,65,67.7,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon Richardson,2,9,17,26,65.4,34.6,26.9,0,0,19.2,0,0,0,0,0,0,30.8,0,0
Sam Moll,2,225,399,624,63.9,36.1,38,0,0,28.5,0,0,0,24.5,0,0,9,0,0
Tejay Antone,2,24,23,47,48.9,51.1,34,0,0,25.5,25.5,14.9,0,0,0,0,0,0,0
Tony Santillan,2,168,337,505,66.7,33.3,60.3,0,0,0,38.7,0,0,0,0,0,1,0,0
Yosver Zulueta,2,113,175,288,60.8,39.2,4.9,0,0,60.8,23.4,0,0,9.1,0,0,1.7,0,0
