name,Rotation,Balls,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Brayan Bello,1,1001,1712,2713,63.1,36.9,4.8,0,0,40.3,28,0,0,0,0,0,26.9,0,0
Garrett Whitlock,1,116,205,321,63.9,36.1,0,0,19.3,22.7,15.3,0,0,14.3,0,0,28.3,0,0
Kutter Crawford,1,911,1912,2823,67.7,32.3,33.7,0,32.1,0,0,7.2,0,18.5,0,8.6,0,0,0
Tanner Houck,1,927,1809,2736,66.1,33.9,0,0,1.5,32.4,0,0,0,41.4,0,24.8,0,0,0
Bailey Horn,2,108,196,304,64.5,35.5,23.8,0,9.9,0,0,6.3,0,60.1,0,0,0,0,0
Brad Keller,2,158,260,418,62.2,37.8,37.7,0,0,5,36.5,1.5,0,6.3,0,0,13.1,0,0
Brennan Bernardino,2,295,565,860,65.7,34.3,0,0,11.2,46.6,7.1,35.1,0,0,0,0,0,0,0
Cam Booser,2,228,467,695,67.2,32.8,41,0,35.4,0,0,0,0,23.6,0,0,0,0,0
Chase Shugart,2,44,98,142,69,31,15.5,0,19.7,19,0,0,0,27.5,0,0,18.3,0,0
Chris Martin,2,186,472,658,71.7,28.3,31.1,0,45.5,9.4,0,0,0,0.9,0,13.1,0,0,0
Cooper Criswell,2,645,1112,1757,63.3,36.7,0,0,15.4,29.7,1.9,0,0,26.8,0,0,26.1,0,0
Greg Weissert,2,343,688,1031,66.7,33.3,22.8,0,0,33.4,5.7,0,0,29.2,0,0,8.8,0,0
Isaiah Campbell,2,43,76,119,63.9,36.1,19.3,0,0,1.7,47.9,0,0,31.1,0,0,0,0,0
James Paxton,2,53,114,167,68.3,31.7,55.1,0,3.1,5,0,30.3,0,0,0,0,6.6,0,0
Joely Rodríguez,2,78,171,249,68.7,31.3,0,0,0,49,0,0,0,14.9,0,0,36.1,0,0
Josh Winckowski,2,440,800,1240,64.5,35.5,5.1,0,35.2,33.6,13.3,0,0,0,0,0,12.8,0,0
Justin Slaten,2,265,547,812,67.4,32.6,29.2,0,37.7,0,0,8.4,0,24.7,0,0,0,0,0
Kenley Jansen,2,263,539,802,67.2,32.8,0,0,84.9,7.4,7.7,0,0,0,0,0,0,0,0
Lucas Sims,2,101,149,250,59.6,40.4,31.4,0,15.5,0,2.7,7.1,0,43.1,0,0.2,0,0,0
Luis García,2,65,156,221,70.6,29.4,6,0,1.7,52.4,12.4,0,0,8.8,0,18.6,0,0,0
Luis Guerrero,2,43,90,133,67.7,32.3,46.6,0,0,0,28.6,0,0,0,0,0,24.8,0,0
Naoyuki Uwasawa,2,25,38,63,60.3,39.7,22.6,0,11.3,0,0,8.1,0,0,0,56.5,0,0,0
Nick Pivetta,2,802,1586,2388,66.4,33.6,48.6,0,5.9,0,3.4,16.3,0,25.7,0,0,0,0,0
Pablo Reyes,2,9,9,18,50,50,0,0,0,0,0,16.7,0,0,0,0,0,0,0
Quinn Priester,2,31,58,89,65.2,34.8,14.4,0,0,30.2,27.9,14.5,0,0,0,0,12.9,0,0
Rich Hill,2,31,40,71,56.3,43.7,16.9,0,12.7,22.5,0,11.3,0,36.6,0,0,0,0,0
Richard Fitts,2,102,212,314,67.5,32.5,44.6,0,0,0,31.2,0,0,13.4,0,10.8,0,0,0
Yohan Ramírez,2,13,16,29,55.2,44.8,16.8,0,0,40.2,0,14.1,0,28.9,0,0,0,0,0
Zach Penrod,2,38,48,86,55.8,44.2,45.3,0,0,0,24.4,0,0,0,0,0,30.2,0,0
Zack Kelly,2,348,610,958,63.7,36.3,29.9,0,21.8,0,0,0,0,27.2,0,0,20.9,0,0
