name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Antonio Senzatela,1,127,218,58.3,41.7,58.3,0,0,0.5,22.5,6.9,0,0,0,0,11.9,0,0
Austin Gomber,1,1725,2622,65.8,34.2,40.3,0,0,0.1,16.7,22.4,0,0,0,0,20.5,0,0
Bradley Blalock,1,327,531,61.6,38.4,47.3,0,4,0,22.1,10.5,0,0,0,15.9,0,0,0
Kyle Freeland,1,1180,1769,66.7,33.3,20.2,0,0,24.5,22.7,18.8,0,0,0,0,13.7,0,0
Ryan Feltner,1,1662,2580,64.4,35.6,37,0,0,12.7,20.4,10.1,0,5,0,0,14.7,0,0
Angel Chivilli,2,335,514,65.2,34.8,0,0,0,41.5,18.3,0,0,0,0,0,40,0,0
Anthony Molina,2,662,1049,63.1,36.9,48.3,0,0,0,22.4,6.9,0,0,0,0,22.4,0,0
Cal Quantrill,2,1613,2645,61,39,0,0,13.5,40.2,0,12.6,0,0,0,32,1.8,0,0
Chasen Shreve,2,6,10,60,40,30,0,0,0,0,0,0,30,0,40,0,0,0
Dakota Hudson,2,900,1512,59.5,40.4,15.3,0,0.5,32.7,24.4,17.2,0,0,0,0,9.9,0,0
Evan Justice,2,4,8,50,50,50,0,0,0,12.5,0,0,0,0,0,0,0,0
Geoff Hartlieb,2,95,138,68.8,31.2,29,0,25.4,26.8,18.8,0,0,0,0,0,0,0,0
Germán Márquez,2,41,70,58.6,41.4,41.4,0,0,10,27.1,18.6,0,0,0,0,0,0,0
Jaden Hill,2,98,151,64.9,35.1,9.9,0,0,44.4,0,0,0,17.9,0,0,27.8,0,0
Jake Bird,2,429,684,62.7,37.3,0.7,0,7.2,44.4,29.7,17.7,0,0,0,0,0,0,0
Jeff Criswell,2,215,354,60.7,39.3,40.4,0,0,2.5,40.1,2.5,0,0,0,0,14.4,0,0
John Curtiss,2,29,38,76.3,23.7,44.7,0,0,0,52.6,0,0,0,0,0,0,0,0
Josh Rogers,2,109,170,64.1,35.9,34.7,0,5.9,4.7,11.8,0,0,38.2,0,0,4.7,0,0
Justin Lawrence,2,654,1081,60.5,39.5,0,0,0,58.9,0,0,0,41.1,0,0,0,0,0
Lucas Gilbreath,2,28,47,59.6,40.4,66,0,0,0,34,0,0,0,0,0,0,0,0
Luis Peralta,2,110,182,60.4,39.6,75.7,0,0,0,0,23.8,0,0,0,0,0,0,0
Matt Carasiti,2,114,170,67.1,32.9,18.2,0,17.6,32.9,0,0,0,0,0,31.2,0,0,0
Matt Koch,2,14,23,60.9,39.1,30.4,0,0,0,13,0,0,0,0,0,0,0,0
Noah Davis,2,234,365,64.1,35.9,1.1,0,20.5,46,0,3.3,0,21.4,0,0,0,0,0
Peter Lambert,2,656,1039,63.1,36.9,38.5,0,1,2.3,18.8,3.9,0,0,10.5,0,25,0,0
Riley Pint,2,50,102,49,51,29.4,0,0,0,69.6,0,0,0,0,0,0,0,0
Seth Halvorsen,2,120,179,67,33,37.1,0,0,18.5,15.7,0,0,0,0,28.1,0,0,0
Tanner Gordon,2,418,607,68.9,31.1,48.8,0,0,1,26.7,4.4,0,0,0,0,19.1,0,0
Ty Blach,2,756,1133,66.7,33.3,34.5,0,13.7,16.2,0,10.9,0,0,0,0,24.5,0,0
Tyler Kinley,2,745,1187,62.8,37.2,33.6,0,0,0,62.7,0,0,0,0,0,3.5,0,0
Victor Vodnik,2,806,1342,60.1,39.9,63.3,0,0,0,20.1,0,0,0,0,0,16.6,0,0
