Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Cole Ragans,1,1138,1980,3118,63.5,36.5,41.8,0,11.3,0,12.8,10.4,0,0,0,0,23.7,0,0
Michael Wacha,1,927,1676,2603,64.4,35.6,23.8,0,11.4,15.3,9.2,8.1,0,0,0,0,32.2,0,0
Seth Lugo,1,1079,2033,3112,65.3,34.7,24,0,8.2,18.5,9.5,16.1,0,4,10.1,2.6,6.9,0,0
Alec Marsh,2,771,1392,2163,64.4,35.6,37,0,0,13.8,17.9,16.4,0,4.9,0,0,10,0,0
Angel Zerpa,2,351,603,954,63.2,36.8,20.1,0,0,43.3,26,0,0,0,0,0,10.3,0,0
Brady Singer,2,1105,1864,2969,62.8,37.2,11.3,0,0,41.3,40.3,0,0,5.2,0,0,1.9,0,0
Carlos Hernández,2,204,356,560,63.6,36.4,54.1,0,0,0,20.2,14.3,0,0,0,11.4,0,0,0
Chris Stratton,2,394,601,995,60.4,39.6,38.2,0,0,8.7,20.6,22.1,0,0.3,0,0,9.9,0,0
Dan Altavilla,2,35,48,83,57.8,42.2,57.8,0,0,0,37.3,0,0,0,0,0,4.8,0,0
Garrett Hampson,2,7,6,13,46.2,53.8,0,0,0,0,38.5,61.5,0,0,0,0,0,0,0
Hunter Harvey,2,51,73,124,58.9,41.1,62.9,0,0,0,4.6,9.3,0,0,0,23.2,0,0,0
James McArthur,2,307,597,904,66,34,9,0,0,35.7,21.6,33.6,0,0,0,0,0,0,0
John Schreiber,2,338,557,895,62.2,37.8,24.5,0,16.5,25.9,0,0,0,26.9,0,0,6.1,0,0
Jonathan Bowlan,2,25,43,68,63.2,36.8,44.1,0,0,19.1,19.1,13.2,0,0,0,0,4.4,0,0
Jordan Lyles,2,27,45,72,62.5,37.5,26.4,0,18.1,9.7,0,12.5,0,15.3,0,0,18.1,0,0
Kris Bubic,2,141,326,467,69.8,30.2,44.3,0,0,2.8,36,0,0,0,0,0,16.5,0,0
Lucas Erceg,2,128,254,382,66.5,33.5,30.9,0,0,21.3,27.9,0,0,0,0,0,19.9,0,0
Matt Sauer,2,127,200,327,61.2,38.8,45.3,0,0,8.9,23.2,16.2,0,0,0,6.4,0,0,0
Michael Lorenzen,2,168,270,438,61.6,38.4,27.2,0,10,21.2,8.8,7.9,0,6.1,0,0,18.8,0,0
Nick Anderson,2,203,371,574,64.6,35.4,22.5,0,0,26,0,45.5,0,0,0,0,5.9,0,0
Sam Long,2,257,447,704,63.5,36.5,38.5,0,0,0,30.8,22.2,0,0,0,8.5,0,0,0
Steven Cruz,2,26,56,82,68.3,31.7,41.5,0,34.1,0,22,0,0,0,0,0,0,0,0
Tyler Duffey,2,81,108,189,57.1,42.9,28,0,0,16.4,17.5,30.2,0,0,0,0,7.9,0,0
Will Smith,2,241,432,673,64.2,35.8,29,0,0,0,44.7,11.7,0,0,0,0,14.6,0,0
