name,Rotation,Balls,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Casey Mize,1,623,1167,1790,65.2,34.8,38.6,0,0,8,27.7,7.5,0,0,0,18.1,0,0,0
Keider Montero,1,526,1014,1540,65.8,34.2,41.7,0,0,7.7,28.3,11.7,0,0,0,0,10.7,0,0
Reese Olson,1,690,1165,1855,62.8,37.2,23.6,0,0,20.3,27.8,6,0,0,0,0,22.3,0,0
Tarik Skubal,1,883,1985,2868,69.2,30.8,32.9,0,0,20.3,14.7,4.2,0,0,0,0,26.9,0,0
Alex Faedo,2,376,631,1007,62.7,37.3,35.2,0,0,5.4,39.6,0,0,0,0,0,19.9,0,0
Alex Lange,2,159,218,377,57.8,42.2,13.5,0,0,21.5,0,57.8,0,0,0,0,7.2,0,0
Beau Brieske,2,420,733,1153,63.6,36.4,40.4,0,0,15.9,17.3,0,0,0,0,0,26.5,0,0
Brant Hurter,2,195,450,645,69.8,30.2,7.1,0,0,50.4,0,0,0,30.7,0,0,11.8,0,0
Brenan Hanifee,2,148,299,447,66.9,33.1,14.1,0,0,53.9,22.4,0,0,0,0,0,9.4,0,0
Bryan Sammons,2,121,253,374,67.6,32.4,39.3,0,25.4,0,0,7.8,0,19.3,0,0,8.3,0,0
Jackson Jobe,2,17,31,48,64.6,35.4,56.3,0,20.8,0,0,0,0,0,0,0,14.6,0,0
Jason Foley,2,303,603,906,66.6,33.4,8.2,0,0,54.7,31.5,0,0,0,0,0,5.6,0,0
Kenta Maeda,2,724,1236,1960,63.1,36.9,22.5,0,1.6,7.2,23,1.6,0,13,0,31.2,0,0,0
Mason Englert,2,131,234,365,64.1,35.9,26.8,0,13.7,10.4,16.4,3.6,0,0,0,0,29,0,0
Matt Manning,2,149,289,438,66,34,48.2,0,0,0,4.1,9.8,0,33.8,0,4.1,0,0,0
Ricky Vanasco,2,7,10,17,58.8,41.2,64.4,0,4.4,0,0,20,0,0,0,0,0,0,0
Sean Guenther,2,73,170,243,70,30,3.3,0,0,37.9,27.6,0,0,0,0,31.3,0,0,0
Shelby Miller,2,290,563,853,66,34,60.6,0,0,0,20.4,0,0,0,0,18.8,0,0,0
Ty Madden,2,147,256,403,63.5,36.5,42.7,0,15.4,4.7,18.1,4,0,0,0,15.1,0,0,0
Tyler Holton,2,452,888,1340,66.3,33.7,15.2,0,27.3,21.6,0,1.5,0,15.5,0,0,18.9,0,0
Will Vest,2,387,775,1162,66.7,33.3,56,0,0,12.6,21.6,0,0,0,0,0,9.8,0,0
Zach McKinstry,2,11,13,24,54.2,45.8,0,0,0,0,0,50,0,0,0,0,0,0,0
