name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Bailey Ober,1,876,1821,2697,67.5,32.5,38.1,0,19.5,0,11.8,1.1,0,0,0,0,29.4,0,0
Chris Paddack,1,503,959,1462,65.6,34.4,42.9,0,0,0,17.7,13.6,0,0,0,0,25.9,0,0
David Festa,1,386,713,1099,64.9,35.1,40.2,0,0,0,31.8,0,0,0,0,0,28,0,0
Joe Ryan,1,676,1432,2108,67.9,32.1,48.5,0,0,6,7.1,0,0,16.2,0,22.2,0,0,0
Pablo López,1,995,1991,2986,66.7,33.3,40.8,0,0,7.3,0,9.9,0,21.9,0,0,20.1,0,0
Zebby Matthews,1,252,465,717,64.9,35.1,42.8,0,16.2,0,25.9,7.1,0,0,0,0,7.9,0,0
Brent Headrick,2,24,36,60,60,40,38.3,0,0,0,50,0,0,0,0,0,11.7,0,0
Brock Stewart,2,92,176,268,65.7,34.3,45.1,0,17.9,10.8,0,0,0,25,0,0,1.1,0,0
Caleb Boushley,2,25,38,63,60.3,39.7,39.7,0,0,19,0,15.9,0,14.3,0,0,11.1,0,0
Caleb Thielbar,2,297,590,887,66.5,33.5,43.4,0,0,0,0,24.8,0,31.1,0,0,0,0,0
Cole Irvin,2,32,45,77,58.4,41.6,26.4,0,10.9,20,4.1,25.2,0,0,0,0,13.4,0,0
Cole Sands,2,385,769,1154,66.6,33.4,28.2,0,29.6,10.9,0,14.1,0,0,0,17.2,0,0,0
Daniel Duarte,2,18,38,56,67.9,32.1,25,0,19.6,0,35.7,0,0,0,0,0,14.3,0,0
Diego Castillo,2,75,102,177,57.6,42.4,11.9,0,0,23.2,62.7,0,0,0,0,0,2.3,0,0
Griffin Jax,2,328,740,1068,69.3,30.7,29.9,0,0,9.8,0,6.2,0,37.5,0,0,16.7,0,0
Jay Jackson,2,162,291,453,64.2,35.8,26,0,0,5.1,55.6,0,0,0,0,0,13.2,0,0
Jhoan Duran,2,308,575,883,65.1,34.9,40.7,0,0,0,0,27.8,0,0,0,31.4,0,0,0
Jorge Alcala,2,333,601,934,64.3,35.7,44.3,0,0,7.5,38.7,0,0,0,0,0,9.6,0,0
Josh Staumont,2,159,261,420,62.1,37.9,10,0,0,27.1,61.4,1.4,0,0,0,0,0,0,0
Josh Winder,2,54,87,141,61.7,38.3,27.7,0,0,7.8,20.6,0,0,21.3,0,0,22.7,0,0
Justin Topa,2,4,16,20,80,20,0,0,10,25,0,0,0,30,0,0,35,0,0
Kody Funderburk,2,252,401,653,61.4,38.6,0,0,43.7,20.1,32.5,0,0,0,0,0,3.7,0,0
Louie Varland,2,315,586,901,65,35,42.5,0,27.7,3.8,0,15.5,0,0,0,0,10.4,0,0
Michael Tonkin,2,128,193,321,60.1,39.9,37.8,0,0,17.1,35.7,0,0,9.4,0,0,0,0,0
Randy Dobnak,2,71,112,183,61.2,38.8,12,0,0,22.4,31.1,0,0,0,0,0,34.4,0,0
Ronny Henriquez,2,107,196,303,64.7,35.3,29.4,0,0,3.3,33.3,0,0,0,0,0,34,0,0
Scott Blewett,2,115,205,320,64.1,35.9,40.4,0,0,0,37.6,0,0,0,0,21.9,0,0,0
Steven Okert,2,219,398,617,64.5,35.5,23.7,0,0,9.1,59.3,0,0,0,0,0,8,0,0
Trevor Richards,2,103,152,255,59.6,40.4,46.4,0,0,0,0,0,0,0,0,0,53.6,0,0
