name,Rotation,Balls,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Davis Martin,1,327,565,892,63.3,36.7,28.5,0,17.5,0,26.8,7.6,0,0,0,0,19.6,0,0
Garrett Crochet,1,773,1622,2395,67.7,32.3,53.7,0,28.4,2.1,0,0,0,9.8,0,0,5.9,0,0
Jonathan Cannon,1,753,1276,2029,62.9,37.1,12.3,0,19.2,28,0,0,0,21.8,0,0,18.7,0,0
Bryan Shaw,2,42,53,95,55.8,44.2,0,0,64.2,6.3,12.6,11.6,0,0,0,0,5.3,0,0
Chad Kuhl,2,410,570,980,58.2,41.8,9.1,0,9.3,23.2,35.6,0,0,10.3,0,0,12.6,0,0
Chris Flexen,2,1080,1717,2797,61.4,38.6,37,0,26.1,0.2,8.7,12.2,0,0,0,0,15.7,0,0
Deivi García,2,123,160,283,56.5,43.5,55.8,0,0,0,0,15.9,0,15.9,0,0,12.4,0,0
Dominic Leone,2,151,210,361,58.2,41.8,26.6,0,15,8.3,19.4,0,0,4.7,0,0,26,0,0
Drew Thorpe,2,287,434,721,60.2,39.8,32.2,0,13.9,0,15.3,0,0,3.2,0,0,35.5,0,0
Fraser Ellard,2,173,260,433,60,40,55.6,0,8.8,8.3,23.4,0,0,0,0,0,3.9,0,0
Gus Varland,2,106,225,331,68,32,53.4,0,0,3.3,38.2,0,0,0,0,0,5.1,0,0
Jairo Iriarte,2,65,72,137,52.6,47.4,46,0,0,0,40.1,0,0,0,0,0,13.9,0,0
Jake Eder,2,19,26,45,57.8,42.2,48.9,0,24.4,0,0,0,0,0,0,0,24.4,0,0
Jared Shuster,2,509,781,1290,60.5,39.5,37.5,0,0,4.7,28.4,0,0,0,0,0,29.4,0,0
Jordan Leasure,2,213,347,560,62,38,59.8,0,0,0,28.7,11.4,0,0,0,0,0,0,0
Justin Anderson,2,360,585,945,61.9,38.1,32.6,0,7.6,14.5,45.3,0,0,0,0,0,0,0,0
Ky Bush,2,137,191,328,58.2,41.8,50.9,0,0,0,24.4,14.9,0,0,0,0,9.8,0,0
Matt Foster,2,45,63,108,58.3,41.7,44.4,0,0,0,31.5,8.3,0,0,0,0,15.7,0,0
Michael Soroka,2,574,869,1443,60.2,39.8,32.5,0,0,21.2,36.5,0,0,0,0,0,9.8,0,0
Mike Clevinger,2,112,191,303,63,37,39.9,0,11.6,5.6,19.1,2.6,0,0,0,0,21.1,0,0
Nick Nastrini,2,338,398,736,54.1,45.9,45.4,0,0,0,36.2,8.6,0,0,0,0,9.8,0,0
Prelander Berroa,2,138,213,351,60.7,39.3,40.5,0,0,2.9,56.6,0,0,0,0,0,0,0,0
Sammy Peralta,2,103,180,283,63.6,36.4,46.5,0,0,0,5.7,0,0,25.2,0,0,22.7,0,0
Sean Burke,2,115,194,309,62.8,37.2,40.5,0,0,0,28.5,24.9,0,0,0,0,6.1,0,0
Steven Wilson,2,244,379,623,60.8,39.2,39.8,0,0,0,0,0,0,51.2,0,0,8,0,0
Touki Toussaint,2,207,284,491,57.8,42.2,11.6,0,0,25.1,0,26.1,0,0,0,37.1,0,0,0
