Name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Carlos Rodón,1,1121,1981,3102,63.9,36.1,49.4,0,3.5,0,26,8.3,0,0,0,0,12.9,0,0
Clarke Schmidt,1,548,908,1456,62.4,37.6,0,0,35,21,0,18.2,0,25.2,0,0,0.6,0,0
Gerrit Cole,1,539,998,1537,64.9,35.1,45.6,0,15.8,0.8,15.1,18.7,0,0,0,0,4,0,0
Luis Gil,1,1045,1621,2666,60.8,39.2,48.8,0,0,0,25.9,0,0,0,0,0,25.3,0,0
Anthony Misiewicz,2,13,17,30,56.7,43.3,0,0,53.3,0,0,40,0,0,0,0,0,0,0
Clay Holmes,2,381,704,1085,64.9,35.1,0,0,0,56.3,23,0,0,20.5,0,0,0,0,0
Clayton Andrews,2,5,10,15,66.7,33.3,6.7,0,0,13.3,0,0,0,0,0,0,60,0,0
Clayton Beeter,2,17,34,51,66.7,33.3,66.7,0,0,0,33.3,0,0,0,0,0,0,0,0
Cody Poteet,2,152,233,385,60.5,39.5,28.4,0,0,24.7,0,9.9,0,17.2,0,0,19.8,0,0
Ian Hamilton,2,206,414,620,66.8,33.2,22.5,0,0,23.3,54.3,0,0,0,0,0,0,0,0
Jake Cousins,2,239,406,645,62.9,37.1,0.9,0,0,33.4,65.7,0,0,0,0,0,0,0,0
Jonathan Loáisiga,2,17,44,61,72.1,27.9,0,0,0,67.2,0,0,0,0,0,0,16.4,0,0
Jose Trevino,2,15,28,43,65.1,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Maciejewski,2,36,60,96,62.5,37.5,0,0,0,42.7,11.5,0,0,0,0,0,45.8,0,0
Luke Weaver,2,491,883,1374,64.3,35.7,48.5,0,22.6,0,0,1.2,0,0,0,0,27.7,0,0
Marcus Stroman,2,1041,1627,2668,61,39,3.1,0,18.2,35,15.9,2.6,0,0,13.8,11,0,0,0
Nestor Cortes,2,997,1854,2851,65,35,44.2,0,28,1.4,0.9,0,0,15.8,0,0,9.7,0,0
Nick Burdi,2,87,123,210,58.6,41.4,59.5,0,0,0,39,0,0,0,0,0,1,0,0
Phil Bickford,2,55,99,154,64.3,35.7,76.6,0,0,0,23.4,0,0,0,0,0,0,0,0
Ron Marinaccio,2,144,251,395,63.5,36.5,51.1,0,0,0,0,0,0,14.9,0,0,33.9,0,0
Scott Effross,2,21,34,55,61.8,38.2,18.2,0,0,34.5,34.5,0,0,0,0,0,12.7,0,0
Tim Hill,2,161,411,572,71.9,28.1,26.1,0,0,68.7,5.2,0,0,0,0,0,0,0,0
Tim Mayza,2,85,173,258,67.1,32.9,0.8,0,0,71.8,27.4,0,0,0,0,0,0,0,0
Tommy Kahnle,2,279,471,750,62.8,37.2,19.3,0,0,2,5.6,0,0,0,0,0,73.1,0,0
Victor González,2,159,227,386,58.8,41.2,0,0,0,47.9,28.5,0,0,0,0,0,23.6,0,0
Will Warren,2,177,281,458,61.4,38.6,30.6,0,4.4,26.4,0,0,0,26.4,0,0,12.2,0,0
Yoendrys Gómez,2,81,133,214,62.1,37.9,36,0,0,0,12.1,10.3,0,33.6,0,0,7.9,0,0
