name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Sam Aldegheri,1,4-Seam Fastball,56.8,128,222,57.7,42.3
Sam Aldegheri,1,Changeup,21.2,128,222,57.7,42.3
Sam Aldegheri,1,Slider,13.5,128,222,57.7,42.3
Sam Aldegheri,1,Curveball,8.6,128,222,57.7,42.3
Tyler Anderson,1,Changeup,37.1,1863,2915,63.9,36.1
Tyler Anderson,1,4-Seam Fastball,39.6,1863,2915,63.9,36.1
Tyler Anderson,1,Cutter,18.5,1863,2915,63.9,36.1
Tyler Anderson,1,Sinker,3.3,1863,2915,63.9,36.1
Tyler Anderson,1,Slider,1.3,1863,2915,63.9,36.1
Brock Burke,2,4-Seam Fastball,52.5,219,305,71.8,28.2
Brock Burke,2,Slider,25.9,219,305,71.8,28.2
Brock Burke,2,Changeup,16.9,219,305,71.8,28.2
Brock Burke,2,Sinker,4.7,219,305,71.8,28.2
Griffin Canning,2,4-Seam Fastball,37.6,1806,2872,62.9,37.1
Griffin Canning,2,Changeup,26.7,1806,2872,62.9,37.1
Griffin Canning,2,Slider,24,1806,2872,62.9,37.1
Griffin Canning,2,Curveball,10.7,1806,2872,62.9,37.1
Griffin Canning,2,Sinker,1,1806,2872,62.9,37.1
Adam Cimber,2,Sinker,35.8,254,416,61.1,38.9
Adam Cimber,2,Slider,32.7,254,416,61.1,38.9
Adam Cimber,2,4-Seam Fastball,31.5,254,416,61.1,38.9
José Cisnero,2,4-Seam Fastball,31.9,190,313,60.7,39.3
José Cisnero,2,Sinker,25.2,190,313,60.7,39.3
José Cisnero,2,Slider,29.1,190,313,60.7,39.3
José Cisnero,2,Changeup,13.1,190,313,60.7,39.3
Roansy Contreras,2,4-Seam Fastball,37.6,527,820,64.3,35.7
Roansy Contreras,2,Slider,25,527,820,64.3,35.7
Roansy Contreras,2,Changeup,10.5,527,820,64.3,35.7
Roansy Contreras,2,Sinker,10,527,820,64.3,35.7
Roansy Contreras,2,Sweeper,7.3,527,820,64.3,35.7
Roansy Contreras,2,Curveball,9.4,527,820,64.3,35.7
Hans Crouse,2,Sinker,49.4,267,437,61.1,38.9
Hans Crouse,2,Slider,38.9,267,437,61.1,38.9
Hans Crouse,2,Changeup,11.2,267,437,61.1,38.9
Johnny Cueto,2,Sinker,35.9,108,169,63.9,36.1
Johnny Cueto,2,Changeup,28.7,108,169,63.9,36.1
Johnny Cueto,2,Slider,20.4,108,169,63.9,36.1
Johnny Cueto,2,4-Seam Fastball,9,108,169,63.9,36.1
Johnny Cueto,2,Cutter,5.4,108,169,63.9,36.1
Caden Dana,1,4-Seam Fastball,52.4,122,206,59.2,40.8
Caden Dana,1,Slider,26.7,122,206,59.2,40.8
Caden Dana,1,Changeup,9.2,122,206,59.2,40.8
Caden Dana,1,Cutter,4.4,122,206,59.2,40.8
Caden Dana,1,Curveball,7.3,122,206,59.2,40.8
Davis Daniel,2,4-Seam Fastball,48,347,508,68.3,31.7
Davis Daniel,2,Slider,23.8,347,508,68.3,31.7
Davis Daniel,2,Changeup,20.5,347,508,68.3,31.7
Davis Daniel,2,Curveball,7.7,347,508,68.3,31.7
Reid Detmers,1,4-Seam Fastball,46.8,1021,1559,65.5,34.5
Reid Detmers,1,Slider,24.4,1021,1559,65.5,34.5
Reid Detmers,1,Changeup,14.1,1021,1559,65.5,34.5
Reid Detmers,1,Curveball,14.6,1021,1559,65.5,34.5
Reid Detmers,1,Sweeper,0.1,1021,1559,65.5,34.5
Carson Fulmer,2,Changeup,27,932,1474,63.2,36.8
Carson Fulmer,2,Sinker,23.7,932,1474,63.2,36.8
Carson Fulmer,2,4-Seam Fastball,23.4,932,1474,63.2,36.8
Carson Fulmer,2,Slider,16.1,932,1474,63.2,36.8
Carson Fulmer,2,Curveball,5.6,932,1474,63.2,36.8
Carson Fulmer,2,Sweeper,4.3,932,1474,63.2,36.8
Amir Garrett,2,Slider,63.5,60,104,57.7,42.3
Amir Garrett,2,4-Seam Fastball,34.6,60,104,57.7,42.3
Amir Garrett,2,Sinker,1.9,60,104,57.7,42.3
Ben Joyce,2,4-Seam Fastball,45.7,350,541,64.7,35.3
Ben Joyce,2,Sinker,35.3,350,541,64.7,35.3
Ben Joyce,2,Slider,15.2,350,541,64.7,35.3
Ben Joyce,2,Changeup,3.9,350,541,64.7,35.3
Jack Kochanowicz,1,Sinker,72.4,587,859,68.3,31.7
Jack Kochanowicz,1,Curveball,18.4,587,859,68.3,31.7
Jack Kochanowicz,1,4-Seam Fastball,6.2,587,859,68.3,31.7
Jack Kochanowicz,1,Changeup,3,587,859,68.3,31.7
Zac Kristofak,2,Slider,35.9,23,39,59,41
Zac Kristofak,2,Changeup,15.4,23,39,59,41
Zac Kristofak,2,4-Seam Fastball,43.6,23,39,59,41
Zac Kristofak,2,Curveball,5.1,23,39,59,41
José Marte,2,Slider,38.6,185,311,59.5,40.5
