name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Alex Speas,2,Cutter,71.8,23,39,59,41
Alex Speas,2,Sweeper,7.7,23,39,59,41
Alex Speas,2,4-Seam Fastball,20.5,23,39,59,41
Blair Henley,2,4-Seam Fastball,38.5,18,40,45,55
Blair Henley,2,Curveball,23.1,18,40,45,55
Blair Henley,2,Sweeper,12.8,18,40,45,55
Bryan Abreu,2,Slider,53.1,840,1302,64.5,35.5
Bryan Abreu,2,4-Seam Fastball,46.4,840,1302,64.5,35.5
Bryan King,2,4-Seam Fastball,52.4,273,416,65.6,34.4
Bryan King,2,Slider,34.6,273,416,65.6,34.4
Bryan King,2,Curveball,7.5,273,416,65.6,34.4
Bryan King,2,Sinker,5.5,273,416,65.6,34.4
Caleb Ferguson,2,4-Seam Fastball,43.3,225,352,63.9,36.1
Caleb Ferguson,2,Cutter,26.5,225,352,63.9,36.1
Caleb Ferguson,2,Slurve,20.2,225,352,63.9,36.1
Caleb Ferguson,2,Sinker,9.8,225,352,63.9,36.1
Cristian Javier,1,4-Seam Fastball,39.3,337,571,59,41
Cristian Javier,1,Slider,29.5,337,571,59,41
Cristian Javier,1,Changeup,26.8,337,571,59,41
Cristian Javier,1,Curveball,4.4,337,571,59,41
Dylan Coleman,2,4-Seam Fastball,62.5,9,16,56.3,43.7
Dylan Coleman,2,Cutter,31.3,9,16,56.3,43.7
Forrest Whitley,2,Sinker,62.8,55,94,58.5,41.5
Forrest Whitley,2,Slurve,4.3,55,94,58.5,41.5
Forrest Whitley,2,Curveball,18.1,55,94,58.5,41.5
Forrest Whitley,2,Cutter,5.3,55,94,58.5,41.5
Forrest Whitley,2,4-Seam Fastball,5.3,55,94,58.5,41.5
Forrest Whitley,2,Split-Finger,2.1,55,94,58.5,41.5
Framber Valdez,1,Sinker,45.8,1647,2605,63.2,36.7
Framber Valdez,1,Curveball,31.3,1647,2605,63.2,36.7
Framber Valdez,1,Changeup,17.5,1647,2605,63.2,36.7
Framber Valdez,1,Slider,4.3,1647,2605,63.2,36.7
Framber Valdez,1,4-Seam Fastball,1.2,1647,2605,63.2,36.7
Héctor Neris,2,4-Seam Fastball,46.3,155,222,69.8,30.2
Héctor Neris,2,Split-Finger,40.4,155,222,69.8,30.2
Héctor Neris,2,Sinker,9.8,155,222,69.8,30.2
Héctor Neris,2,Slider,3.5,155,222,69.8,30.2
Hunter Brown,1,4-Seam Fastball,34.8,1821,2890,63,37
Hunter Brown,1,Sinker,18.1,1821,2890,63,37
Hunter Brown,1,Cutter,16.8,1821,2890,63,37
Hunter Brown,1,Changeup,12.6,1821,2890,63,37
Hunter Brown,1,Curveball,12.5,1821,2890,63,37
Hunter Brown,1,Slider,5.3,1821,2890,63,37
J.P. France,1,4-Seam Fastball,29.4,269,466,57.7,42.3
J.P. France,1,Cutter,23.8,269,466,57.7,42.3
J.P. France,1,Changeup,22.7,269,466,57.7,42.3
J.P. France,1,Curveball,19.3,269,466,57.7,42.3
J.P. France,1,Sweeper,3,269,466,57.7,42.3
Jake Bloss,2,4-Seam Fastball,43.7,157,239,65.7,34.3
Jake Bloss,2,Slider,23.1,157,239,65.7,34.3
Jake Bloss,2,Curveball,13,157,239,65.7,34.3
Jake Bloss,2,Changeup,8,157,239,65.7,34.3
Jake Bloss,2,Sweeper,10.5,157,239,65.7,34.3
Jake Bloss,2,Sinker,1.7,157,239,65.7,34.3
Josh Hader,2,Sinker,71.5,779,1168,66.7,33.3
Josh Hader,2,Slider,27.4,779,1168,66.7,33.3
Josh Hader,2,Changeup,1,779,1168,66.7,33.3
Justin Verlander,2,4-Seam Fastball,48.7,779,1168,66.7,33.3
Justin Verlander,2,Slider,19.3,779,1168,66.7,33.3
Justin Verlander,2,Curveball,21.9,1033,1580,65.4,34.5
Justin Verlander,2,Changeup,10.1,1033,1580,65.4,34.5
Kaleb Ort,2,4-Seam Fastball,55.5,242,366,66.1,33.9
Kaleb Ort,2,Cutter,18.9,242,366,66.1,33.9
Kaleb Ort,2,Sweeper,17.8,242,366,66.1,33.9
Kaleb Ort,2,Changeup,7.9,242,366,66.1,33.9
Luis Contreras,2,4-Seam Fastball,46.7,64,105,61,39
Luis Contreras,2,Curveball,21,64,105,61,39
Luis Contreras,2,Slider,22.9,64,105,61,39
Luis Contreras,2,Changeup,9.5,64,105,61,39
Miguel Díaz,2,Changeup,50,7,10,70,39
Miguel Díaz,2,4-Seam Fastball,30,7,10,70,39
Nick Hernandez,2,Slider,58.3,93,141,66,34
Nick Hernandez,2,4-Seam Fastball,37.4,93,141,66,34
Nick Hernandez,2,Changeup,4.3,93,141,66,34
Parker Mushinski,2,Cutter,41.2,120,194,61.9,38.1
Parker Mushinski,2,4-Seam Fastball,18.6,120,194,61.9,38.1
Parker Mushinski,2,Curveball,21.6,120,194,61.9,38.1
Parker Mushinski,2,Sinker,9.3,120,194,61.9,38.1
Parker Mushinski,2,Sweeper,9.3,120,194,61.9,38.1
Rafael Montero,2,Sinker,23.4,406,683,59.4,40.6
Rafael Montero,2,4-Seam Fastball,45.8,406,683,59.4,40.6
Rafael Montero,2,Changeup,23.3,406,683,59.4,40.6
Rafael Montero,2,Slider,7.5,406,683,59.4,40.6
Ronel Blanco,1,Slider,30.2,1759,2753,63.9,36.1
Ronel Blanco,1,4-Seam Fastball,38.3,1759,2753,63.9,36.1
Ronel Blanco,1,Changeup,22.1,1759,2753,63.9,36.1
Ronel Blanco,1,Curveball,9.4,1759,2753,63.9,36.1
Ryan Pressly,2,Slider,28.9,631,969,65.1,34.8
Ryan Pressly,2,4-Seam Fastball,33.3,631,969,65.1,34.8
Ryan Pressly,2,Curveball,24.9,631,969,65.1,34.8
Ryan Pressly,2,Changeup,11.1,631,969,65.1,34.8
Ryan Pressly,2,Sinker,1.8,631,969,65.1,34.8
Seth Martinez,2,4-Seam Fastball,32.6,530,839,63.2,36.8
Seth Martinez,2,Sweeper,31.9,530,839,63.2,36.8
Seth Martinez,2,Sinker,21,530,839,63.2,36.8
Seth Martinez,2,Changeup,14.6,530,839,63.2,36.8
Shawn Dubin,2,4-Seam Fastball,43.9,510,840,60.7,39.3
Shawn Dubin,2,Curveball,15.8,510,840,60.7,39.3
Shawn Dubin,2,Changeup,15.1,510,840,60.7,39.3
Shawn Dubin,2,Cutter,15.8,510,840,60.7,39.3
Shawn Dubin,2,Sweeper,9.3,510,840,60.7,39.3
Spencer Arrighetti,1,4-Seam Fastball,41,1612,2509,64.2,35.8
Spencer Arrighetti,1,Cutter,19.6,1612,2509,64.2,35.8
Spencer Arrighetti,1,Curveball,19.9,1612,2509,64.2,35.8
Spencer Arrighetti,1,Sweeper,10.8,1612,2509,64.2,35.8
Spencer Arrighetti,1,Changeup,8.6,1612,2509,64.2,35.8
Tayler Scott,2,4-Seam Fastball,48.5,729,1204,60.5,39.4
Tayler Scott,2,Slider,22.1,729,1204,60.5,39.4
Tayler Scott,2,Split-Finger,23.7,729,1204,60.5,39.4
Tayler Scott,2,Sinker,5.7,729,1204,60.5,39.4
Wander Suero,2,Cutter,100,729,1204,60.5,39.4
