name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Aaron Brooks,2,Sinker,24.3,261,403,64.8,35.2
Aaron Brooks,2,Slider,32.5,261,403,64.8,35.2
Aaron Brooks,2,4-Seam Fastball,28,261,403,64.8,35.2
Aaron Brooks,2,Changeup,13.4,261,403,64.8,35.2
Aaron Brooks,2,Curveball,1.7,261,403,64.8,35.2
Alex Wood,2,Sinker,46.2,466,756,61.6,38.4
Alex Wood,2,Slider,31.5,466,756,61.6,38.4
Alex Wood,2,Changeup,22.4,466,756,61.6,38.4
Austin Adams,2,Slider,73.8,481,805,59.8,40.2
Austin Adams,2,4-Seam Fastball,23.9,481,805,59.8,40.2
Austin Adams,2,Sinker,2.4,481,805,59.8,40.2
Brady Basso,2,4-Seam Fastball,46.9,223,350,63.7,36.3
Brady Basso,2,Curveball,20.6,223,350,63.7,36.3
Brady Basso,2,Changeup,12.3,223,350,63.7,36.3
Brady Basso,2,Cutter,18,223,350,63.7,36.3
Brandon Bielak,2,Changeup,27.8,122,200,61,39
Brandon Bielak,2,Sinker,24.1,122,200,61,39
Brandon Bielak,2,4-Seam Fastball,22.9,122,200,61,39
Brandon Bielak,2,Slider,15.1,122,200,61,39
Brandon Bielak,2,Curveball,10,122,200,61,39
Dany Jiménez,2,Slider,58.4,275,450,61.1,38.9
Dany Jiménez,2,4-Seam Fastball,37.6,275,450,61.1,38.9
Dany Jiménez,2,Changeup,4,275,450,61.1,38.9
Gerardo Reyes,2,4-Seam Fastball,53.2,48,79,60.8,39.2
Gerardo Reyes,2,Slider,30.4,48,79,60.8,39.2
Gerardo Reyes,2,Sinker,7.6,48,79,60.8,39.2
Gerardo Reyes,2,Cutter,7.6,48,79,60.8,39.2
Grant Holman,2,4-Seam Fastball,53.1,172,292,58.9,41.1
Grant Holman,2,Changeup,33.6,172,292,58.9,41.1
Grant Holman,2,Slider,13.4,172,292,58.9,41.1
Hogan Harris,2,4-Seam Fastball,56.3,766,1213,63.1,36.9
Hogan Harris,2,Curveball,15.7,766,1213,63.1,36.9
Hogan Harris,2,Slider,11.5,766,1213,63.1,36.9
Hogan Harris,2,Changeup,16.5,766,1213,63.1,36.9
J.T. Ginn,2,Sinker,51.1,320,516,62,38
J.T. Ginn,2,Slider,30.9,320,516,62,38
J.T. Ginn,2,Changeup,14.6,320,516,62,38
J.T. Ginn,2,4-Seam Fastball,3.5,320,516,62,38
Jack O'Loughlin,2,4-Seam Fastball,50.6,109,176,61.9,38.1
Jack O'Loughlin,2,Slider,22.2,109,176,61.9,38.1
Jack O'Loughlin,2,Curveball,15.9,109,176,61.9,38.1
Jack O'Loughlin,2,Changeup,9.7,109,176,61.9,38.1
Janson Junk,2,4-Seam Fastball,48,17,33,51.5,48.5
Janson Junk,2,Slider,24.6,17,33,51.5,48.5
Janson Junk,2,Curveball,12.6,17,33,51.5,48.5
Janson Junk,2,Sinker,8,17,33,51.5,48.5
Janson Junk,2,Sweeper,6.9,17,33,51.5,48.5
Joe Boyle,2,4-Seam Fastball,59,541,966,56,44
Joe Boyle,2,Slider,34.3,541,966,56,44
Joe Boyle,2,Sweeper,3,541,966,56,44
Joe Boyle,2,Curveball,3.7,541,966,56,44
Joey Estes,1,4-Seam Fastball,51.7,1400,2027,69.1,30.9
