name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Alek Manoah,1,Slider,30.5,143,251,394,63.7,36.3
Alek Manoah,1,Sinker,27.2,143,251,394,63.7,36.3
Alek Manoah,1,4-Seam Fastball,27.7,143,251,394,63.7,36.3
Alek Manoah,1,Changeup,14.7,143,251,394,63.7,36.3
Bowden Francis,2,4-Seam Fastball,51.3,509,1052,1561,67.4,32.6
Bowden Francis,2,Split-Finger,18.4,509,1052,1561,67.4,32.6
Bowden Francis,2,Curveball,18.2,509,1052,1561,67.4,32.6
Bowden Francis,2,Slider,9.2,509,1052,1561,67.4,32.6
Bowden Francis,2,Sinker,2.9,509,1052,1561,67.4,32.6
Brandon Eisert,2,Slider,40.9,45,65,110,59.1,40.9
Brandon Eisert,2,4-Seam Fastball,36.4,45,65,110,59.1,40.9
Brandon Eisert,2,Changeup,22.7,45,65,110,59.1,40.9
Brendon Little,2,Sinker,57.0,271,426,697,61.1,38.9
Brendon Little,2,Curveball,31.8,271,426,697,61.1,38.9
Brendon Little,2,Cutter,11.2,271,426,697,61.1,38.9
Chad Green,2,4-Seam Fastball,60.0,281,559,840,66.5,33.5
Chad Green,2,Slider,39.3,281,559,840,66.5,33.5
Chris Bassitt,1,Sinker,40.7,1086,1882,2968,63.4,36.6
Chris Bassitt,1,Cutter,19.7,1086,1882,2968,63.4,36.6
Chris Bassitt,1,Curveball,13.7,1086,1882,2968,63.4,36.6
Chris Bassitt,1,Sweeper,7.4,1086,1882,2968,63.4,36.6
Chris Bassitt,1,4-Seam Fastball,4.5,1086,1882,2968,63.4,36.6
Chris Bassitt,1,Split-Finger,4.3,1086,1882,2968,63.4,36.6
Chris Bassitt,1,Slider,4.4,1086,1882,2968,63.4,36.6
Chris Bassitt,1,Changeup,5.3,1086,1882,2968,63.4,36.6
Dillon Tate,2,Sinker,54.1,26,36,62,58.1,41.9
Dillon Tate,2,Sweeper,33.4,26,36,62,58.1,41.9
Dillon Tate,2,Changeup,12.5,26,36,62,58.1,41.9
Easton Lucas,2,4-Seam Fastball,53.7,30,53,83,63.9,36.1
Easton Lucas,2,Cutter,21.1,30,53,83,63.9,36.1
Easton Lucas,2,Slider,19.1,30,53,83,63.9,36.1
Easton Lucas,2,Changeup,5.7,30,53,83,63.9,36.1
Erik Swanson,2,4-Seam Fastball,49.8,241,426,667,63.9,36.1
Erik Swanson,2,Split-Finger,30.9,241,426,667,63.9,36.1
Erik Swanson,2,Slider,19.2,241,426,667,63.9,36.1
Ernie Clement,2,Knuckleball,25.0,5,11,16,68.9,31.1
Génesis Cabrera,2,Cutter,39.3,386,645,1031,62.6,37.4
Génesis Cabrera,2,Sinker,22.5,386,645,1031,62.6,37.4
Génesis Cabrera,2,4-Seam Fastball,18.4,386,645,1031,62.6,37.4
Génesis Cabrera,2,Curveball,12.0,386,645,1031,62.6,37.4
Génesis Cabrera,2,Changeup,7.7,386,645,1031,62.6,37.4
Jordan Romano,2,Slider,52.1,75,140,215,65.1,34.9
Jordan Romano,2,4-Seam Fastball,47.9,75,140,215,65.1,34.9
José Berríos,1,Sinker,33.7,1005,1911,2916,65.5,34.5
José Berríos,1,Slurve,28.6,1005,1911,2916,65.5,34.5
José Berríos,1,Changeup,16.0,1005,1911,2916,65.5,34.5
José Berríos,1,4-Seam Fastball,18.3,1005,1911,2916,65.5,34.5
José Berríos,1,Cutter,3.5,1005,1911,2916,65.5,34.5
Jose Cuas,2,Sinker,39.8,30,32,62,51.6,48.4
Jose Cuas,2,4-Seam Fastball,33.5,30,32,62,51.6,48.4
Jose Cuas,2,Sweeper,23.2,30,32,62,51.6,48.4
Jose Cuas,2,Changeup,3.4,30,32,62,51.6,48.4
Kevin Gausman,1,4-Seam Fastball,51.1,1032,1927,2959,65.1,34.9
Kevin Gausman,1,Split-Finger,32.4,1032,1927,2959,65.1,34.9
Kevin Gausman,1,Slider,8.1,1032,1927,2959,65.1,34.9
Kevin Gausman,1,Sinker,5.3,1032,1927,2959,65.1,34.9
Luis Frías,2,Cutter,46.3,36,53,89,59.6,40.4
Luis Frías,2,4-Seam Fastball,28.4,36,53,89,59.6,40.4
Luis Frías,2,Sinker,9.6,36,53,89,59.6,40.4
Luis Frías,2,Slider,15.7,36,53,89,59.6,40.4
Nick Robertson,2,4-Seam Fastball,44.7,5,7,12,58.3,41.7
Nick Robertson,2,Changeup,23.0,5,7,12,58.3,41.7
Nick Robertson,2,Slider,16.6,5,7,12,58.3,41.7
Nick Robertson,2,Sweeper,14.3,5,7,12,58.3,41.7
Paolo Espino,2,4-Seam Fastball,32.9,61,97,158,61.4,38.6
Paolo Espino,2,Curveball,31.6,61,97,158,61.4,38.6
Paolo Espino,2,Changeup,23.4,61,97,158,61.4,38.6
Paolo Espino,2,Sweeper,12.0,61,97,158,61.4,38.6
Ryan Burr,2,Slider,60.5,194,376,570,65.9,34.1
Ryan Burr,2,4-Seam Fastball,39.5,194,376,570,65.9,34.1
Ryan Yarbrough,2,Sinker,25.6,160,296,456,64.9,35.1
Ryan Yarbrough,2,Curveball,27.5,160,296,456,64.9,35.1
Ryan Yarbrough,2,4-Seam Fastball,21.5,160,296,456,64.9,35.1
Ryan Yarbrough,2,Changeup,15.5,160,296,456,64.9,35.1
Ryan Yarbrough,2,Cutter,9.9,160,296,456,64.9,35.1
Tommy Nance,2,Sinker,36.3,108,214,322,66.5,33.5
Tommy Nance,2,Curveball,37.6,108,214,322,66.5,33.5
Tommy Nance,2,Slider,25.8,108,214,322,66.5,33.5
Yariel Rodríguez,1,Slider,28.2,572,930,1502,61.9,38.1
Yariel Rodríguez,1,4-Seam Fastball,40.9,572,930,1502,61.9,38.1
Yariel Rodríguez,1,Split-Finger,9.6,572,930,1502,61.9,38.1
Yariel Rodríguez,1,Sinker,10.8,572,930,1502,61.9,38.1
Yariel Rodríguez,1,Curveball,10.5,572,930,1502,61.9,38.1
Yerry Rodríguez,1,4-Seam Fastball,58.0,31,65,96,67.7,32.3
Yerry Rodríguez,1,Slider,30.8,31,65,96,67.7,32.3
Yerry Rodríguez,1,Changeup,11.2,31,65,96,67.7,32.3
Zach Pop,2,Sinker,73.0,270,474,744,63.7,36.3
Zach Pop,2,Slider,14.5,270,474,744,63.7,36.3
Zach Pop,2,Cutter,12.4,270,474,744,63.7,36.3
