name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
A.J. Minter,2,4-Seam Fastball,47.7,168,354,522,67.8,32.2
A.J. Minter,2,Cutter,34.5,168,354,522,67.8,32.2
A.J. Minter,2,Changeup,17.8,168,354,522,67.8,32.2
Aaron Bummer,2,Sweeper,41.8,353,622,975,63.8,36.2
Aaron Bummer,2,Sinker,39.8,353,622,975,63.8,36.2
Aaron Bummer,2,4-Seam Fastball,10.0,353,622,975,63.8,36.2
Aaron Bummer,2,Cutter,5.0,353,622,975,63.8,36.2
Aaron Bummer,2,Curveball,2.3,353,622,975,63.8,36.2
Aaron Bummer,2,Changeup,1.1,353,622,975,63.8,36.2
AJ Smith-Shawver,2,4-Seam Fastball,54.0,32,55,87,63.2,36.8
AJ Smith-Shawver,2,Curveball,20.7,32,55,87,63.2,36.8
AJ Smith-Shawver,2,Changeup,25.3,32,55,87,63.2,36.8
Allan Winans,2,Changeup,41.5,50,97,147,66.0,34.0
Allan Winans,2,Sinker,23.1,50,97,147,66.0,34.0
Allan Winans,2,4-Seam Fastball,15.6,50,97,147,66.0,34.0
Allan Winans,2,Slider,19.7,50,97,147,66.0,34.0
Bryce Elder,2,Sinker,42.6,328,536,864,62.0,38.0
Bryce Elder,2,Slider,31.5,328,536,864,62.0,38.0
Bryce Elder,2,Changeup,13.2,328,536,864,62.0,38.0
Bryce Elder,2,4-Seam Fastball,12.7,328,536,864,62.0,38.0
Charlie Morton,2,Curveball,42.4,1031,1764,2795,63.1,36.9
Charlie Morton,2,4-Seam Fastball,28.9,1031,1764,2795,63.1,36.9
Charlie Morton,2,Sinker,9.9,1031,1764,2795,63.1,36.9
Charlie Morton,2,Changeup,11.0,1031,1764,2795,63.1,36.9
Charlie Morton,2,Cutter,7.8,1031,1764,2795,63.1,36.9
Chris Sale,1,Slider,40.3,925,1893,2818,67.2,32.8
Chris Sale,1,4-Seam Fastball,37.8,925,1893,2818,67.2,32.8
Chris Sale,1,Changeup,14.7,925,1893,2818,67.2,32.8
