name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Adam Kloffenstein,2,Sinker,66.7,5,10,15,66.7,33.3
Adam Kloffenstein,2,Curveball,26.7,5,10,15,66.7,33.3
Andre Pallante,1,4-Seam Fastball,50.0,754,1227,1981,61.9,38.1
Andre Pallante,1,Sinker,18.6,754,1227,1981,61.9,38.1
Andre Pallante,1,Slider,16.8,754,1227,1981,61.9,38.1
Andre Pallante,1,Curveball,12.3,754,1227,1981,61.9,38.1
Andrew Kittredge,2,Slider,49.4,318,712,1030,69.1,30.9
Andrew Kittredge,2,Sinker,37.5,318,712,1030,69.1,30.9
Andrew Kittredge,2,4-Seam Fastball,12.4,318,712,1030,69.1,30.9
Andrew Kittredge,2,Cutter,0.6,318,712,1030,69.1,30.9
Brandon Crawford,2,Changeup,45.7,21,14,35,40.0,60.0
Brandon Crawford,2,4-Seam Fastball,40.0,21,14,35,40.0,60.0
Chris Roycroft,2,Sinker,46.6,212,384,596,64.4,35.6
Chris Roycroft,2,4-Seam Fastball,32.4,212,384,596,64.4,35.6
Chris Roycroft,2,Slider,21.0,212,384,596,64.4,35.6
Erick Fedde,1,Cutter,32.3,355,565,920,61.4,38.6
Erick Fedde,1,Sinker,30.8,355,565,920,61.4,38.6
Erick Fedde,1,Sweeper,20.2,355,565,920,61.4,38.6
Erick Fedde,1,Changeup,16.4,355,565,920,61.4,38.6
Erick Fedde,1,4-Seam Fastball,0.3,355,565,920,61.4,38.6
Giovanny Gallegos,2,4-Seam Fastball,44.1,154,247,401,61.6,38.4
Giovanny Gallegos,2,Slider,49.1,154,247,401,61.6,38.4
Giovanny Gallegos,2,Changeup,6.7,154,247,401,61.6,38.4
Gordon Graceffo,2,4-Seam Fastball,41.0,35,70,105,66.7,33.3
Gordon Graceffo,2,Changeup,24.8,35,70,105,66.7,33.3
Gordon Graceffo,2,Slider,19.0,35,70,105,66.7,33.3
Gordon Graceffo,2,Curveball,15.2,35,70,105,66.7,33.3
John King,2,Sinker,58.8,278,580,858,67.6,32.4
John King,2,Changeup,27.7,278,580,858,67.6,32.4
John King,2,Slider,12.0,278,580,858,67.6,32.4
John King,2,4-Seam Fastball,1.5,278,580,858,67.6,32.4
JoJo Romero,2,Sinker,39.1,343,578,921,62.8,37.2
JoJo Romero,2,Slider,33.9,343,578,921,62.8,37.2
JoJo Romero,2,Changeup,17.1,343,578,921,62.8,37.2
JoJo Romero,2,4-Seam Fastball,9.9,343,578,921,62.8,37.2
Kyle Gibson,2,Sinker,26.4,1113,1651,2764,59.7,40.3
Kyle Gibson,2,Sweeper,20.7,1113,1651,2764,59.7,40.3
Kyle Gibson,2,Cutter,21.1,1113,1651,2764,59.7,40.3
Kyle Gibson,2,4-Seam Fastball,13.2,1113,1651,2764,59.7,40.3
Kyle Gibson,2,Changeup,9.9,1113,1651,2764,59.7,40.3
Kyle Gibson,2,Curveball,8.6,1113,1651,2764,59.7,40.3
Kyle Leahy,2,4-Seam Fastball,44.3,239,456,695,65.6,34.4
Kyle Leahy,2,Slider,25.5,239,456,695,65.6,34.4
Kyle Leahy,2,Sweeper,14.7,239,456,695,65.6,34.4
Kyle Leahy,2,Changeup,9.2,239,456,695,65.6,34.4
Kyle Leahy,2,Curveball,6.3,239,456,695,65.6,34.4
Lance Lynn,2,4-Seam Fastball,47.2,766,1274,2040,62.5,37.5
Lance Lynn,2,Cutter,22.3,766,1274,2040,62.5,37.5
Lance Lynn,2,Sinker,16.7,766,1274,2040,62.5,37.5
Lance Lynn,2,Curveball,6.2,766,1274,2040,62.5,37.5
Lance Lynn,2,Changeup,6.3,766,1274,2040,62.5,37.5
Lance Lynn,2,Sweeper,1.3,766,1274,2040,62.5,37.5
Matthew Liberatore,2,Slider,27.5,453,905,1358,66.6,33.4
Matthew Liberatore,2,Sinker,20.4,453,905,1358,66.6,33.4
Matthew Liberatore,2,4-Seam Fastball,28.3,453,905,1358,66.6,33.4
Matthew Liberatore,2,Cutter,12.8,453,905,1358,66.6,33.4
Matthew Liberatore,2,Curveball,6.5,453,905,1358,66.6,33.4
Matthew Liberatore,2,Changeup,4.4,453,905,1358,66.6,33.4
Michael McGreevy,1,Sinker,35.0,107,204,311,65.6,34.4
Michael McGreevy,1,Slider,19.0,107,204,311,65.6,34.4
Michael McGreevy,1,4-Seam Fastball,19.6,107,204,311,65.6,34.4
Michael McGreevy,1,Changeup,9.3,107,204,311,65.6,34.4
Michael McGreevy,1,Cutter,10.9,107,204,311,65.6,34.4
Michael McGreevy,1,Curveball,6.1,107,204,311,65.6,34.4
Miles Mikolas,1,Sinker,23.1,844,1861,2705,68.8,31.2
Miles Mikolas,1,Slider,24.2,844,1861,2705,68.8,31.2
Miles Mikolas,1,4-Seam Fastball,27.8,844,1861,2705,68.8,31.2
Miles Mikolas,1,Curveball,12.1,844,1861,2705,68.8,31.2
Miles Mikolas,1,Changeup,8.5,844,1861,2705,68.8,31.2
Miles Mikolas,1,Sweeper,4.1,844,1861,2705,68.8,31.2
Riley O'Brien,2,Sinker,45.9,86,108,194,55.7,44.3
Riley O'Brien,2,Slider,25.8,86,108,194,55.7,44.3
Riley O'Brien,2,Curveball,24.7,86,108,194,55.7,44.3
Riley O'Brien,2,4-Seam Fastball,2.1,86,108,194,55.7,44.3
Riley O'Brien,2,Sweeper,1.5,86,108,194,55.7,44.3
Ryan Fernandez,2,Slider,48.1,468,725,1193,60.8,39.2
Ryan Fernandez,2,4-Seam Fastball,40.2,468,725,1193,60.8,39.2
Ryan Fernandez,2,Cutter,10.3,468,725,1193,60.8,39.2
Ryan Fernandez,2,Sinker,1.3,468,725,1193,60.8,39.2
Ryan Helsley,2,Slider,48.3,288,647,935,69.2,30.8
Ryan Helsley,2,4-Seam Fastball,45.4,288,647,935,69.2,30.8
Ryan Helsley,2,Curveball,6.2,288,647,935,69.2,30.8
Ryan Loutos,2,Sinker,54.3,16,19,35,54.3,45.7
Ryan Loutos,2,Sweeper,42.9,16,19,35,54.3,45.7
Sonny Gray,1,Sweeper,20.1,835,1651,2486,66.4,33.6
Sonny Gray,1,Sinker,17.8,835,1651,2486,66.4,33.6
Sonny Gray,1,4-Seam Fastball,23.9,835,1651,2486,66.4,33.6
Sonny Gray,1,Cutter,17.8,835,1651,2486,66.4,33.6
Sonny Gray,1,Curveball,13.9,835,1651,2486,66.4,33.6
Sonny Gray,1,Changeup,6.4,835,1651,2486,66.4,33.6
Steven Matz,2,Sinker,59.8,266,488,754,64.7,35.3
Steven Matz,2,Changeup,25.7,266,488,754,64.7,35.3
Steven Matz,2,Slider,6.9,266,488,754,64.7,35.3
Steven Matz,2,Curveball,7.6,266,488,754,64.7,35.3
Zack Thompson,2,4-Seam Fastball,36.0,112,205,317,64.7,35.3
Zack Thompson,2,Slider,27.8,112,205,317,64.7,35.3
Zack Thompson,2,Split-Finger,22.1,112,205,317,64.7,35.3
Zack Thompson,2,Curveball,14.2,112,205,317,64.7,35.3
