name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
A.J. Puk,2,4-Seam Fastball,42.9,295,417,70.7,29.3
A.J. Puk,2,Slider,21.6,295,417,70.7,29.3
A.J. Puk,2,Sinker,15.1,295,417,70.7,29.3
A.J. Puk,2,Sweeper,16.5,295,417,70.7,29.3
A.J. Puk,2,Split-Finger,2.6,295,417,70.7,29.3
A.J. Puk,2,Changeup,1.4,295,417,70.7,29.3
Andrew Saalfrank,2,Sinker,73.1,11,26,42.3,57.7
Blake Walston,2,4-Seam Fastball,32.7,208,343,60.6,39.4
Blake Walston,2,Sweeper,16.3,208,343,60.6,39.4
Blake Walston,2,Cutter,17.8,208,343,60.6,39.4
Blake Walston,2,Curveball,13.1,208,343,60.6,39.4
Blake Walston,2,Changeup,16.3,208,343,60.6,39.4
Blake Walston,2,Sinker,3.8,208,343,60.6,39.4
Brandon Hughes,1,Slider,40.3,212,351,60.4,39.6
Brandon Hughes,1,4-Seam Fastball,37.1,212,351,60.4,39.6
Brandon Hughes,1,Sinker,22.6,212,351,60.4,39.6
Brandon Pfaadt,2,4-Seam Fastball,33.4,1869,2797,66.8,33.2
Brandon Pfaadt,2,Sweeper,27.3,1869,2797,66.8,33.2
Brandon Pfaadt,2,Sinker,22.2,1869,2797,66.8,33.2
Brandon Pfaadt,2,Changeup,11.2,1869,2797,66.8,33.2
Brandon Pfaadt,2,Curveball,5.3,1869,2797,66.8,33.2
Brandon Pfaadt,2,Split-Finger,0.6,1869,2797,66.8,33.2
Bryce Jarvis,2,4-Seam Fastball,34.4,634,1008,62.9,37.1
Bryce Jarvis,2,Slider,23.7,634,1008,62.9,37.1
Bryce Jarvis,2,Sinker,14.9,634,1008,62.9,37.1
Bryce Jarvis,2,Cutter,12.7,634,1008,62.9,37.1
Bryce Jarvis,2,Changeup,13.6,634,1008,62.9,37.1
Bryce Jarvis,2,Curveball,0.7,634,1008,62.9,37.1
Cristian Mena,2,Curveball,31.4,40,70,57.1,42.9
Cristian Mena,2,4-Seam Fastball,38.6,40,70,57.1,42.9
Cristian Mena,2,Sweeper,10,40,70,57.1,42.9
Cristian Mena,2,Changeup,11.4,40,70,57.1,42.9
Dylan Floro,2,Sinker,47.7,170,272,62.5,37.5
Dylan Floro,2,Slider,26.9,170,272,62.5,37.5
