name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Alex Vesia,2,4-Seam Fastball,63.2,696,1112,62.6,37.4
Alex Vesia,2,Slider,31.7,696,1112,62.6,37.4
Alex Vesia,2,Changeup,5.1,696,1112,62.6,37.4
Anthony Banda,2,4-Seam Fastball,35.1,510,774,65.9,34.1
Anthony Banda,2,Sinker,24.2,510,774,65.9,34.1
Anthony Banda,2,Slider,28.3,510,774,65.9,34.1
Anthony Banda,2,Changeup,12.4,510,774,65.9,34.1
Ben Casparius,2,4-Seam Fastball,48.7,103,156,66,34
Ben Casparius,2,Slider,35.9,103,156,66,34
Ben Casparius,2,Cutter,3.8,103,156,66,34
Ben Casparius,2,Curveball,11.5,103,156,66,34
Blake Treinen,2,Sweeper,38.5,490,737,66.5,33.5
Blake Treinen,2,Sinker,34.2,490,737,66.5,33.5
Blake Treinen,2,Cutter,16.1,490,737,66.5,33.5
Blake Treinen,2,4-Seam Fastball,11.1,490,737,66.5,33.5
Bobby Miller,2,4-Seam Fastball,37.9,637,1054,60.4,39.6
Bobby Miller,2,Changeup,19.9,637,1054,60.4,39.6
Bobby Miller,2,Sinker,13.6,637,1054,60.4,39.6
Bobby Miller,2,Curveball,19,637,1054,60.4,39.6
Bobby Miller,2,Slider,9.6,637,1054,60.4,39.6
Brent Honeywell,2,4-Seam Fastball,51.1,342,534,64,36
Brent Honeywell,2,Slider,21.8,342,534,64,36
Brent Honeywell,2,Screwball,23.9,342,534,64,36
Brent Honeywell,2,Sinker,1,342,534,64,36
Brent Honeywell,2,Sweeper,1.8,342,534,64,36
Brent Honeywell,2,Changeup,0.3,342,534,64,36
Brusdar Graterol,2,Slider,30.7,67,101,66.3,33.7
Brusdar Graterol,2,Sinker,41.6,67,101,66.3,33.7
Brusdar Graterol,2,4-Seam Fastball,14.9,67,101,66.3,33.7
Brusdar Graterol,2,Cutter,11.9,67,101,66.3,33.7
Clayton Kershaw,2,Slider,43.7,334,504,66.3,33.7
Clayton Kershaw,2,4-Seam Fastball,35.1,334,504,66.3,33.7
Clayton Kershaw,2,Curveball,16.1,334,504,66.3,33.7
Clayton Kershaw,2,Split-Finger,4.2,334,504,66.3,33.7
Clayton Kershaw,2,Changeup,0.4,334,504,66.3,33.7
Connor Brogdon,2,4-Seam Fastball,43.3,11,21,52.4,47.6
Connor Brogdon,2,Changeup,36.1,11,21,52.4,47.6
Connor Brogdon,2,Cutter,20.6,11,21,52.4,47.6
Daniel Hudson,2,4-Seam Fastball,49.5,635,999,63.6,36.4
Daniel Hudson,2,Slider,40.9,635,999,63.6,36.4
Daniel Hudson,2,Sinker,5.8,635,999,63.6,36.4
Daniel Hudson,2,Changeup,3.7,635,999,63.6,36.4
Dinelson Lamet,2,4-Seam Fastball,51.4,47,74,63.5,36.5
Dinelson Lamet,2,Slider,45.9,47,74,63.5,36.5
Edgardo Henriquez,2,4-Seam Fastball,64.4,37,59,62.7,37.3
Edgardo Henriquez,2,Cutter,35.6,37,59,62.7,37.3
Edgardo Henriquez,2,Curveball,6.7,27,45,60,40
Evan Phillips,2,Sweeper,38.6,601,917,65.5,34.5
Evan Phillips,2,4-Seam Fastball,36.5,601,917,65.5,34.5
Evan Phillips,2,Cutter,14.7,601,917,65.5,34.5
Evan Phillips,2,Sinker,10.1,601,917,65.5,34.5
Gavin Stone,2,Sinker,22.6,1406,2153,65.3,34.7
Gavin Stone,2,4-Seam Fastball,24.7,1406,2153,65.3,34.7
